"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.712353664483496,2,7,1,7,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
2,1.03326006266037,1,1,1,8,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
3,0.6589659173999,2,4,1,12,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
4,0.696631735726543,1,3,1,15,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
5,0.93582839195773,2,3,1,18,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
6,0.598328854610241,2,2,1,20,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
7,1.23836325478648,2,0,1,20,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
8,0.554667460635028,1,3,1,23,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
9,1.16100740364122,2,-1,1,22,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
10,1.14903817174923,2,2,1,24,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
11,0.5,1,1,1,25,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
12,1.32951921516741,2,2,1,27,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
13,1.12572271474044,2,6,1,33,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
14,1.23681200124964,1,3,1,36,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
15,0.993897255532111,1,4,1,40,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
16,1.28489653523083,2,2,1,42,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
17,0.872835823162827,1,1,1,43,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
18,0.874264443282284,2,4,1,47,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
19,0.52671736709697,2,3,1,50,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
20,1.26655767799589,2,2,1,52,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
1,0.5,2,7,2,7,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
2,1.08264796438015,1,4,2,11,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
3,0.711685042403582,2,-3,2,8,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
4,1.29438405831715,1,5,2,13,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
5,0.810967233361793,2,-9,2,4,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
6,0.522916036358677,2,6,2,10,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
7,1.3499853210598,1,0,2,10,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
8,0.908665026466668,2,17,2,27,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
9,0.701705195010213,1,4,2,31,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
10,0.5,1,6,2,37,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
11,1.13457952581334,2,5,2,42,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
12,0.724552823534997,1,3,2,45,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
13,0.898766232396748,2,12,2,57,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
14,1.17490559869916,2,-8,2,49,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
15,0.935749639555334,2,-7,2,42,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
16,0.677131010871146,1,-4,2,38,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
17,0.542296924528743,2,1,2,39,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
18,0.644355252820139,2,8,2,47,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
19,0.507306538783944,2,7,2,54,"1;2","1fCBy2Bj",0,3,NA,0,0.96,1
