"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05734179679349,1,0,1,0,"1;2","1kkopgis",100,4,5,0,1,2
2,0.693632159833552,1,2,1,2,"1;2","1kkopgis",100,4,5,0,1,2
3,0.895238988468023,2,7,1,9,"1;2","1kkopgis",100,4,5,0,1,2
4,0.648652026748862,1,2,1,11,"1;2","1kkopgis",100,4,5,0,1,2
5,0.999221755888663,2,3,1,14,"1;2","1kkopgis",100,4,5,0,1,2
6,0.96836516035992,1,5,1,19,"1;2","1kkopgis",100,4,5,0,1,2
7,0.5,2,5,1,24,"1;2","1kkopgis",100,4,5,0,1,2
8,0.936833009019193,2,4,1,28,"1;2","1kkopgis",100,4,5,0,1,2
9,1.05206753910346,2,5,1,33,"1;2","1kkopgis",100,4,5,0,1,2
10,1.15824046555321,1,3,1,36,"1;2","1kkopgis",100,4,5,0,1,2
11,0.773794381710051,2,1,1,37,"1;2","1kkopgis",100,4,5,0,1,2
12,1.37034537531107,2,3,1,40,"1;2","1kkopgis",100,4,5,0,1,2
13,0.740862079227459,1,1,1,41,"1;2","1kkopgis",100,4,5,0,1,2
14,0.621395139919621,1,3,1,44,"1;2","1kkopgis",100,4,5,0,1,2
15,0.791688860725121,2,6,1,50,"1;2","1kkopgis",100,4,5,0,1,2
16,0.815559466113155,1,0,1,50,"1;2","1kkopgis",100,4,5,0,1,2
17,0.857571870731466,1,2,1,52,"1;2","1kkopgis",100,4,5,0,1,2
18,0.937750561786763,1,0,1,52,"1;2","1kkopgis",100,4,5,0,1,2
19,0.649275455667259,1,2,1,54,"1;2","1kkopgis",100,4,5,0,1,2
20,0.945639183660034,2,0,1,54,"1;2","1kkopgis",100,4,5,0,1,2
1,0.654865413224443,2,3,2,3,"1;2","1kkopgis",100,4,5,0,1,2
2,1.04120523961174,1,2,2,5,"1;2","1kkopgis",100,4,5,0,1,2
3,0.5,1,9,2,14,"1;2","1kkopgis",100,4,5,0,1,2
4,0.823547208033912,1,0,2,14,"1;2","1kkopgis",100,4,5,0,1,2
5,0.805314803768412,1,3,2,17,"1;2","1kkopgis",100,4,5,0,1,2
6,0.935934836416647,1,2,2,19,"1;2","1kkopgis",100,4,5,0,1,2
7,1.15988468670049,1,3,2,22,"1;2","1kkopgis",100,4,5,0,1,2
8,0.777127101026993,1,3,2,25,"1;2","1kkopgis",100,4,5,0,1,2
9,0.846394192911371,1,6,2,31,"1;2","1kkopgis",100,4,5,0,1,2
10,0.986569699437148,1,4,2,35,"1;2","1kkopgis",100,4,5,0,1,2
11,0.641546785356244,2,3,2,38,"1;2","1kkopgis",100,4,5,0,1,2
12,1.04825125076725,2,-1,2,37,"1;2","1kkopgis",100,4,5,0,1,2
13,0.67256162086569,1,4,2,41,"1;2","1kkopgis",100,4,5,0,1,2
14,0.822009152007042,1,-1,2,40,"1;2","1kkopgis",100,4,5,0,1,2
15,1.02565702095362,1,1,2,41,"1;2","1kkopgis",100,4,5,0,1,2
16,1.02779546324491,1,7,2,48,"1;2","1kkopgis",100,4,5,0,1,2
17,0.5,2,10,2,58,"1;2","1kkopgis",100,4,5,0,1,2
18,0.5,2,0,2,58,"1;2","1kkopgis",100,4,5,0,1,2
19,0.722911577011449,1,4,2,62,"1;2","1kkopgis",100,4,5,0,1,2
20,1.0216385014693,1,6,2,68,"1;2","1kkopgis",100,4,5,0,1,2
21,0.530217027496121,1,-1,2,67,"1;2","1kkopgis",100,4,5,0,1,2
22,0.906355186817652,2,2,2,69,"1;2","1kkopgis",100,4,5,0,1,2
23,0.703797106033567,2,14,2,83,"1;2","1kkopgis",100,4,5,0,1,2
24,0.664462998743308,2,6,2,89,"1;2","1kkopgis",100,4,5,0,1,2
25,1.06776250557285,2,7,2,96,"1;2","1kkopgis",100,4,5,0,1,2
1,0.832265515089166,1,24,3,24,"2;1","1kkopgis",100,4,5,0,1,2
2,0.796744704336934,1,29,3,53,"2;1","1kkopgis",100,4,5,0,1,2
3,0.839233450075178,1,-10,3,43,"2;1","1kkopgis",100,4,5,0,1,2
4,0.593272360871995,1,-6,3,37,"2;1","1kkopgis",100,4,5,0,1,2
5,1.11955306580488,2,4,3,41,"2;1","1kkopgis",100,4,5,0,1,2
6,0.82444136508123,1,-4,3,37,"2;1","1kkopgis",100,4,5,0,1,2
7,0.867023115238561,1,3,3,40,"2;1","1kkopgis",100,4,5,0,1,2
8,0.625813832036642,2,5,3,45,"2;1","1kkopgis",100,4,5,0,1,2
9,0.811987611515878,1,12,3,57,"2;1","1kkopgis",100,4,5,0,1,2
