"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.788031088017236,2,1,1,1,"2;1","2UCEZms8",0,2,NA,1,0.75,2
2,0.745493681534489,2,1,1,2,"2;1","2UCEZms8",0,2,NA,1,0.75,2
3,1.12517765343513,2,3,1,5,"2;1","2UCEZms8",0,2,NA,1,0.75,2
4,0.851616756377749,2,4,1,9,"2;1","2UCEZms8",0,2,NA,1,0.75,2
5,1.03075961437612,2,-1,1,8,"2;1","2UCEZms8",0,2,NA,1,0.75,2
6,1.20032585550416,2,0,1,8,"2;1","2UCEZms8",0,2,NA,1,0.75,2
7,0.607972248162765,2,4,1,12,"2;1","2UCEZms8",0,2,NA,1,0.75,2
8,0.64445024575245,2,2,1,14,"2;1","2UCEZms8",0,2,NA,1,0.75,2
9,1.12068930018131,1,3,1,17,"2;1","2UCEZms8",0,2,NA,1,0.75,2
10,0.5,2,4,1,21,"2;1","2UCEZms8",0,2,NA,1,0.75,2
11,0.830798173429558,2,5,1,26,"2;1","2UCEZms8",0,2,NA,1,0.75,2
12,1.20094836408121,2,3,1,29,"2;1","2UCEZms8",0,2,NA,1,0.75,2
13,1.27361843901556,2,5,1,34,"2;1","2UCEZms8",0,2,NA,1,0.75,2
14,0.72053071406127,1,5,1,39,"2;1","2UCEZms8",0,2,NA,1,0.75,2
15,0.985415400060193,2,3,1,42,"2;1","2UCEZms8",0,2,NA,1,0.75,2
16,0.619782433886332,2,3,1,45,"2;1","2UCEZms8",0,2,NA,1,0.75,2
17,0.549747931370216,2,3,1,48,"2;1","2UCEZms8",0,2,NA,1,0.75,2
18,0.704246910602431,2,5,1,53,"2;1","2UCEZms8",0,2,NA,1,0.75,2
19,0.699892195754363,2,1,1,54,"2;1","2UCEZms8",0,2,NA,1,0.75,2
20,0.576743739639997,1,1,1,55,"2;1","2UCEZms8",0,2,NA,1,0.75,2
1,0.553800329994822,1,1,2,1,"1;2","2UCEZms8",0,2,NA,1,0.75,2
2,1.1381182344158,1,3,2,4,"1;2","2UCEZms8",0,2,NA,1,0.75,2
3,0.747183382018196,1,1,2,5,"1;2","2UCEZms8",0,2,NA,1,0.75,2
4,0.89895192158065,1,2,2,7,"1;2","2UCEZms8",0,2,NA,1,0.75,2
5,0.659784763342327,1,1,2,8,"1;2","2UCEZms8",0,2,NA,1,0.75,2
6,0.606306508775687,1,5,2,13,"1;2","2UCEZms8",0,2,NA,1,0.75,2
7,0.893297406695173,2,-18,2,-5,"1;2","2UCEZms8",0,2,NA,1,0.75,2
8,0.924623052415754,1,7,2,2,"1;2","2UCEZms8",0,2,NA,1,0.75,2
9,0.752711241848669,2,7,2,9,"1;2","2UCEZms8",0,2,NA,1,0.75,2
10,0.591948099507504,1,2,2,11,"1;2","2UCEZms8",0,2,NA,1,0.75,2
11,0.954871212196846,1,2,2,13,"1;2","2UCEZms8",0,2,NA,1,0.75,2
12,1.0903888392507,1,-3,2,10,"1;2","2UCEZms8",0,2,NA,1,0.75,2
13,0.5,1,0,2,10,"1;2","2UCEZms8",0,2,NA,1,0.75,2
14,0.800931186647182,1,1,2,11,"1;2","2UCEZms8",0,2,NA,1,0.75,2
15,0.875073045707748,1,4,2,15,"1;2","2UCEZms8",0,2,NA,1,0.75,2
16,0.645033834257663,1,3,2,18,"1;2","2UCEZms8",0,2,NA,1,0.75,2
17,0.951814621793063,1,0,2,18,"1;2","2UCEZms8",0,2,NA,1,0.75,2
18,1.09912702488693,2,14,2,32,"1;2","2UCEZms8",0,2,NA,1,0.75,2
19,0.653500754120508,1,8,2,40,"1;2","2UCEZms8",0,2,NA,1,0.75,2
20,0.944067947022377,2,0,2,40,"1;2","2UCEZms8",0,2,NA,1,0.75,2
21,0.5,1,2,2,42,"1;2","2UCEZms8",0,2,NA,1,0.75,2
22,1.38704510449362,1,3,2,45,"1;2","2UCEZms8",0,2,NA,1,0.75,2
23,0.706753740031201,1,5,2,50,"1;2","2UCEZms8",0,2,NA,1,0.75,2
24,0.5,1,6,2,56,"1;2","2UCEZms8",0,2,NA,1,0.75,2
25,0.91326136784043,1,6,2,62,"1;2","2UCEZms8",0,2,NA,1,0.75,2
1,1.02084234343597,1,10,3,10,"2;1","2UCEZms8",0,2,NA,1,0.75,2
2,0.646095646295212,2,7,3,17,"2;1","2UCEZms8",0,2,NA,1,0.75,2
3,0.667878325193466,1,-11,3,6,"2;1","2UCEZms8",0,2,NA,1,0.75,2
4,1.08484906726294,2,3,3,9,"2;1","2UCEZms8",0,2,NA,1,0.75,2
5,0.68697969731571,2,5,3,14,"2;1","2UCEZms8",0,2,NA,1,0.75,2
6,0.971993894318859,2,4,3,18,"2;1","2UCEZms8",0,2,NA,1,0.75,2
7,0.737142770736154,1,27,3,45,"2;1","2UCEZms8",0,2,NA,1,0.75,2
8,0.5,1,-5,3,40,"2;1","2UCEZms8",0,2,NA,1,0.75,2
9,0.936590368938971,1,14,3,54,"2;1","2UCEZms8",0,2,NA,1,0.75,2
10,0.5,1,27,3,81,"2;1","2UCEZms8",0,2,NA,1,0.75,2
11,0.847614514812964,1,-14,3,67,"2;1","2UCEZms8",0,2,NA,1,0.75,2
12,0.989349281043973,1,11,3,78,"2;1","2UCEZms8",0,2,NA,1,0.75,2
13,0.80273132489396,1,10,3,88,"2;1","2UCEZms8",0,2,NA,1,0.75,2
14,0.58735504447409,1,-6,3,82,"2;1","2UCEZms8",0,2,NA,1,0.75,2
15,1.09569767261416,1,-1,3,81,"2;1","2UCEZms8",0,2,NA,1,0.75,2
16,0.5,2,3,3,84,"2;1","2UCEZms8",0,2,NA,1,0.75,2
17,1.22254198963085,2,3,3,87,"2;1","2UCEZms8",0,2,NA,1,0.75,2
18,0.693816177975928,2,1,3,88,"2;1","2UCEZms8",0,2,NA,1,0.75,2
19,0.957406275380466,2,4,3,92,"2;1","2UCEZms8",0,2,NA,1,0.75,2
20,0.963415477769112,2,1,3,93,"2;1","2UCEZms8",0,2,NA,1,0.75,2
21,0.5,2,2,3,95,"2;1","2UCEZms8",0,2,NA,1,0.75,2
22,0.695216434844501,2,4,3,99,"2;1","2UCEZms8",0,2,NA,1,0.75,2
23,0.822801409394751,2,3,3,102,"2;1","2UCEZms8",0,2,NA,1,0.75,2
24,0.824816053685825,2,0,3,102,"2;1","2UCEZms8",0,2,NA,1,0.75,2
25,0.732612213090488,1,-10,3,92,"2;1","2UCEZms8",0,2,NA,1,0.75,2
1,0.847311223682727,1,13,4,13,"2;1","2UCEZms8",0,2,NA,1,0.75,2
2,0.988332228169434,1,-18,4,-5,"2;1","2UCEZms8",0,2,NA,1,0.75,2
3,0.5,1,-5,4,-10,"2;1","2UCEZms8",0,2,NA,1,0.75,2
4,0.69921938840339,2,5,4,-5,"2;1","2UCEZms8",0,2,NA,1,0.75,2
5,0.823317173658002,2,4,4,-1,"2;1","2UCEZms8",0,2,NA,1,0.75,2
6,1.02036932802702,2,2,4,1,"2;1","2UCEZms8",0,2,NA,1,0.75,2
7,0.997501592212393,2,0,4,1,"2;1","2UCEZms8",0,2,NA,1,0.75,2
8,0.852624935273204,1,-15,4,-14,"2;1","2UCEZms8",0,2,NA,1,0.75,2
9,0.687101121620605,2,5,4,-9,"2;1","2UCEZms8",0,2,NA,1,0.75,2
