"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.07141647111648,1,5,1,5,"2;1","2sGTISGf",0,3,NA,0,0.63,1
2,0.929107547701439,1,2,1,7,"2;1","2sGTISGf",0,3,NA,0,0.63,1
3,0.944396780421778,1,3,1,10,"2;1","2sGTISGf",0,3,NA,0,0.63,1
4,0.832495644785275,1,2,1,12,"2;1","2sGTISGf",0,3,NA,0,0.63,1
5,0.784788102524651,1,4,1,16,"2;1","2sGTISGf",0,3,NA,0,0.63,1
6,0.99660433891327,1,1,1,17,"2;1","2sGTISGf",0,3,NA,0,0.63,1
7,0.901869367028179,1,4,1,21,"2;1","2sGTISGf",0,3,NA,0,0.63,1
8,0.700733127568313,1,3,1,24,"2;1","2sGTISGf",0,3,NA,0,0.63,1
9,1.13821190342561,2,2,1,26,"2;1","2sGTISGf",0,3,NA,0,0.63,1
10,0.971225298228554,1,7,1,33,"2;1","2sGTISGf",0,3,NA,0,0.63,1
11,0.5,1,2,1,35,"2;1","2sGTISGf",0,3,NA,0,0.63,1
12,0.737351097888259,2,2,1,37,"2;1","2sGTISGf",0,3,NA,0,0.63,1
13,0.970959472725358,1,2,1,39,"2;1","2sGTISGf",0,3,NA,0,0.63,1
14,1.11661949120237,2,3,1,42,"2;1","2sGTISGf",0,3,NA,0,0.63,1
15,0.950479618985829,2,6,1,48,"2;1","2sGTISGf",0,3,NA,0,0.63,1
16,0.694031846069803,2,2,1,50,"2;1","2sGTISGf",0,3,NA,0,0.63,1
17,1.1117840404044,1,2,1,52,"2;1","2sGTISGf",0,3,NA,0,0.63,1
18,0.876135132984047,2,7,1,59,"2;1","2sGTISGf",0,3,NA,0,0.63,1
19,0.707344851949802,2,3,1,62,"2;1","2sGTISGf",0,3,NA,0,0.63,1
20,0.616734008309482,2,5,1,67,"2;1","2sGTISGf",0,3,NA,0,0.63,1
1,1.02565012837747,1,-3,2,-3,"2;1","2sGTISGf",0,3,NA,0,0.63,1
2,0.677471823563484,2,3,2,0,"2;1","2sGTISGf",0,3,NA,0,0.63,1
3,1.23301071704965,1,-13,2,-13,"2;1","2sGTISGf",0,3,NA,0,0.63,1
