"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.841299473071258,1,2,1,2,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
2,0.580219570928821,1,0,1,2,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
3,0.692094862932681,1,3,1,5,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
4,0.611121149728599,1,4,1,9,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
5,0.671316005971888,1,3,1,12,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
6,0.746240750233124,1,1,1,13,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
7,0.949497342412099,1,2,1,15,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
8,1.10208463796272,1,5,1,20,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
9,1.02204685638068,1,3,1,23,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
10,1.11639159238682,1,2,1,25,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
11,0.5,1,5,1,30,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
12,0.5,1,2,1,32,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
13,0.51461642342907,1,0,1,32,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
14,0.891639531536208,2,1,1,33,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
15,0.680352460778693,1,5,1,38,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
16,0.809958646580143,1,1,1,39,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
17,0.911680940775877,1,3,1,42,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
18,0.934963824516067,1,3,1,45,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
19,0.861546264567855,1,3,1,48,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
20,0.914856563739389,2,2,1,50,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
1,0.578028246743022,1,0,2,0,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
2,0.797389671111165,2,6,2,6,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
3,0.948633774125937,2,11,2,17,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
4,0.892055488568573,2,6,2,23,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
5,0.755955812372524,2,9,2,32,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
6,1.24092331588388,2,5,2,37,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
7,0.806530452653522,2,-6,2,31,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
8,0.7804265226599,1,6,2,37,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
9,0.800553324748994,2,16,2,53,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
10,1.10262641232984,2,17,2,70,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
11,0.964778372622562,2,5,2,75,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
12,0.687573543064099,2,-6,2,69,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
13,0.829207685120323,1,2,2,71,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
14,0.882841547443933,1,6,2,77,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
15,0.852568398895972,1,1,2,78,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
16,0.607275294224781,1,7,2,85,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
17,1.2286895607479,1,4,2,89,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
18,1.04481390584901,1,4,2,93,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
19,0.857088758612731,1,-1,2,92,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
20,0.70996438133406,1,3,2,95,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
21,1.13183859433634,1,-1,2,94,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
22,0.881272924527076,1,2,2,96,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
23,1.00621635946829,2,-5,2,91,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
24,0.5,1,4,2,95,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
25,0.5,1,3,2,98,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
1,0.848423479480703,2,16,3,16,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
2,0.521083489211873,2,10,3,26,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
3,0.95792870466681,2,9,3,35,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
4,0.5,2,21,3,56,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
5,0.838550937905898,2,25,3,81,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
6,0.592073124217081,2,-4,3,77,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
7,0.5,1,4,3,81,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
8,0.889347033418279,1,0,3,81,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
9,0.528895657912061,1,2,3,83,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
10,0.99026140841869,2,-1,3,82,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
11,0.718741457287611,1,2,3,84,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
12,0.575675360772589,1,5,3,89,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
13,0.5,1,5,3,94,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
14,0.669982632758197,1,6,3,100,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
15,0.679492623965718,1,3,3,103,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
16,0.5,1,7,3,110,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
17,0.523485886038411,1,1,3,111,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
18,0.928879698297033,1,1,3,112,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
19,0.870329198594709,1,3,3,115,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
20,0.948906353057674,1,2,3,117,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
21,0.921680677574982,1,-1,3,116,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
22,1.55611976229443,1,4,3,120,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
23,1.14984521502856,2,5,3,125,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
24,0.84201187983307,1,-1,3,124,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
25,0.83285798866407,1,1,3,125,"1;2","2ybUxPAt",0,3,NA,1,0.78,2
