"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.663220810380983,2,4,1,4,"2;1","3A3zfWv9",100,4,4,0,0.8,1
2,1.39251926470104,2,6,1,10,"2;1","3A3zfWv9",100,4,4,0,0.8,1
3,0.600085177430491,1,2,1,12,"2;1","3A3zfWv9",100,4,4,0,0.8,1
4,1.29554512278363,2,5,1,17,"2;1","3A3zfWv9",100,4,4,0,0.8,1
5,0.626610325829827,2,4,1,21,"2;1","3A3zfWv9",100,4,4,0,0.8,1
6,0.822911958803289,2,3,1,24,"2;1","3A3zfWv9",100,4,4,0,0.8,1
7,0.5,1,3,1,27,"2;1","3A3zfWv9",100,4,4,0,0.8,1
8,0.786808471087359,1,7,1,34,"2;1","3A3zfWv9",100,4,4,0,0.8,1
9,0.891874181476415,1,4,1,38,"2;1","3A3zfWv9",100,4,4,0,0.8,1
10,0.5,1,2,1,40,"2;1","3A3zfWv9",100,4,4,0,0.8,1
11,1.17169008533969,1,4,1,44,"2;1","3A3zfWv9",100,4,4,0,0.8,1
12,0.76799741199408,1,4,1,48,"2;1","3A3zfWv9",100,4,4,0,0.8,1
13,0.978398532202635,1,4,1,52,"2;1","3A3zfWv9",100,4,4,0,0.8,1
14,0.802156207316964,1,1,1,53,"2;1","3A3zfWv9",100,4,4,0,0.8,1
15,0.960909682264823,1,4,1,57,"2;1","3A3zfWv9",100,4,4,0,0.8,1
16,0.841697538362953,1,1,1,58,"2;1","3A3zfWv9",100,4,4,0,0.8,1
17,0.637032874352939,1,5,1,63,"2;1","3A3zfWv9",100,4,4,0,0.8,1
18,1.0618006954826,1,0,1,63,"2;1","3A3zfWv9",100,4,4,0,0.8,1
19,1.14999663064355,2,5,1,68,"2;1","3A3zfWv9",100,4,4,0,0.8,1
20,1.09103151284563,1,1,1,69,"2;1","3A3zfWv9",100,4,4,0,0.8,1
1,1.0679204525712,1,22,2,22,"2;1","3A3zfWv9",100,4,4,0,0.8,1
2,0.73488685595338,1,-1,2,21,"2;1","3A3zfWv9",100,4,4,0,0.8,1
3,0.997406222971538,2,4,2,25,"2;1","3A3zfWv9",100,4,4,0,0.8,1
4,0.721585621136625,1,22,2,47,"2;1","3A3zfWv9",100,4,4,0,0.8,1
5,0.618029122523728,1,15,2,62,"2;1","3A3zfWv9",100,4,4,0,0.8,1
6,0.745370145666958,1,-2,2,60,"2;1","3A3zfWv9",100,4,4,0,0.8,1
7,0.786955714922467,1,21,2,81,"2;1","3A3zfWv9",100,4,4,0,0.8,1
8,0.5,2,3,2,84,"2;1","3A3zfWv9",100,4,4,0,0.8,1
9,1.0223141003093,2,2,2,86,"2;1","3A3zfWv9",100,4,4,0,0.8,1
10,1.40952029254764,1,-19,2,67,"2;1","3A3zfWv9",100,4,4,0,0.8,1
11,0.690184769445292,1,15,2,82,"2;1","3A3zfWv9",100,4,4,0,0.8,1
12,0.99562223211475,1,6,2,88,"2;1","3A3zfWv9",100,4,4,0,0.8,1
13,0.5,2,8,2,96,"2;1","3A3zfWv9",100,4,4,0,0.8,1
14,1.27684938016277,2,3,2,99,"2;1","3A3zfWv9",100,4,4,0,0.8,1
15,0.5,2,7,2,106,"2;1","3A3zfWv9",100,4,4,0,0.8,1
16,0.959469354318864,1,-13,2,93,"2;1","3A3zfWv9",100,4,4,0,0.8,1
17,1.18047938641695,1,7,2,100,"2;1","3A3zfWv9",100,4,4,0,0.8,1
18,0.875298876827952,2,3,2,103,"2;1","3A3zfWv9",100,4,4,0,0.8,1
19,0.599036317465513,2,4,2,107,"2;1","3A3zfWv9",100,4,4,0,0.8,1
20,0.712026104588716,2,3,2,110,"2;1","3A3zfWv9",100,4,4,0,0.8,1
21,0.882030216680869,2,5,2,115,"2;1","3A3zfWv9",100,4,4,0,0.8,1
22,1.03446863951116,1,3,2,118,"2;1","3A3zfWv9",100,4,4,0,0.8,1
23,0.646744164456881,2,3,2,121,"2;1","3A3zfWv9",100,4,4,0,0.8,1
24,0.5,2,7,2,128,"2;1","3A3zfWv9",100,4,4,0,0.8,1
25,0.998402107904321,2,3,2,131,"2;1","3A3zfWv9",100,4,4,0,0.8,1
1,0.5,1,0,3,0,"1;2","3A3zfWv9",100,4,4,0,0.8,1
2,0.832842498261237,2,-2,3,-2,"1;2","3A3zfWv9",100,4,4,0,0.8,1
3,0.5,1,2,3,0,"1;2","3A3zfWv9",100,4,4,0,0.8,1
4,0.810829475256444,2,15,3,15,"1;2","3A3zfWv9",100,4,4,0,0.8,1
5,1.0956237012708,2,-2,3,13,"1;2","3A3zfWv9",100,4,4,0,0.8,1
6,1.03827844587966,2,-16,3,-3,"1;2","3A3zfWv9",100,4,4,0,0.8,1
7,0.937384348871959,2,14,3,11,"1;2","3A3zfWv9",100,4,4,0,0.8,1
8,0.663221042965042,1,4,3,15,"1;2","3A3zfWv9",100,4,4,0,0.8,1
9,0.5,2,8,3,23,"1;2","3A3zfWv9",100,4,4,0,0.8,1
10,0.5,2,23,3,46,"1;2","3A3zfWv9",100,4,4,0,0.8,1
11,0.760262715777141,2,8,3,54,"1;2","3A3zfWv9",100,4,4,0,0.8,1
12,1.08974406472019,2,7,3,61,"1;2","3A3zfWv9",100,4,4,0,0.8,1
13,1.13399165378067,2,6,3,67,"1;2","3A3zfWv9",100,4,4,0,0.8,1
14,0.929312590344875,2,20,3,87,"1;2","3A3zfWv9",100,4,4,0,0.8,1
15,0.5,2,-10,3,77,"1;2","3A3zfWv9",100,4,4,0,0.8,1
16,0.81550609318217,2,-10,3,67,"1;2","3A3zfWv9",100,4,4,0,0.8,1
17,0.863988759964857,2,20,3,87,"1;2","3A3zfWv9",100,4,4,0,0.8,1
18,0.5,2,-8,3,79,"1;2","3A3zfWv9",100,4,4,0,0.8,1
19,1.03267233108559,2,4,3,83,"1;2","3A3zfWv9",100,4,4,0,0.8,1
20,0.52417892619005,1,7,3,90,"1;2","3A3zfWv9",100,4,4,0,0.8,1
21,0.673493000451905,1,2,3,92,"1;2","3A3zfWv9",100,4,4,0,0.8,1
22,0.922895310670369,1,-1,3,91,"1;2","3A3zfWv9",100,4,4,0,0.8,1
23,0.589892152164646,2,5,3,96,"1;2","3A3zfWv9",100,4,4,0,0.8,1
24,0.744307033996202,2,3,3,99,"1;2","3A3zfWv9",100,4,4,0,0.8,1
25,0.708675848907668,1,11,3,110,"1;2","3A3zfWv9",100,4,4,0,0.8,1
1,0.917763737118847,2,1,4,1,"2;1","3A3zfWv9",100,4,4,0,0.8,1
2,0.959643018109486,1,-3,4,-2,"2;1","3A3zfWv9",100,4,4,0,0.8,1
3,0.58539741626342,1,-17,4,-19,"2;1","3A3zfWv9",100,4,4,0,0.8,1
4,0.938124855673284,1,-12,4,-31,"2;1","3A3zfWv9",100,4,4,0,0.8,1
5,1.04060260990195,2,2,4,-29,"2;1","3A3zfWv9",100,4,4,0,0.8,1
6,0.759294357540965,1,-4,4,-33,"2;1","3A3zfWv9",100,4,4,0,0.8,1
7,1.035182590519,2,4,4,-29,"2;1","3A3zfWv9",100,4,4,0,0.8,1
8,1.00345119056106,1,13,4,-16,"2;1","3A3zfWv9",100,4,4,0,0.8,1
9,0.71933202332937,1,-16,4,-32,"2;1","3A3zfWv9",100,4,4,0,0.8,1
10,1.17256141004609,1,15,4,-17,"2;1","3A3zfWv9",100,4,4,0,0.8,1
11,0.867526009267783,1,10,4,-7,"2;1","3A3zfWv9",100,4,4,0,0.8,1
12,0.7578354591021,2,2,4,-5,"2;1","3A3zfWv9",100,4,4,0,0.8,1
13,1.11943452750965,1,-3,4,-8,"2;1","3A3zfWv9",100,4,4,0,0.8,1
14,0.568350956138128,1,3,4,-5,"2;1","3A3zfWv9",100,4,4,0,0.8,1
15,0.5,1,12,4,7,"2;1","3A3zfWv9",100,4,4,0,0.8,1
16,0.967895490835219,1,-3,4,4,"2;1","3A3zfWv9",100,4,4,0,0.8,1
17,0.952057688226682,1,8,4,12,"2;1","3A3zfWv9",100,4,4,0,0.8,1
18,0.928513536055188,1,1,4,13,"2;1","3A3zfWv9",100,4,4,0,0.8,1
19,0.539962377683102,2,5,4,18,"2;1","3A3zfWv9",100,4,4,0,0.8,1
20,0.669433657887217,1,3,4,21,"2;1","3A3zfWv9",100,4,4,0,0.8,1
21,1.14860275045838,1,27,4,48,"2;1","3A3zfWv9",100,4,4,0,0.8,1
22,0.94027655169311,1,-2,4,46,"2;1","3A3zfWv9",100,4,4,0,0.8,1
23,1.15026801054221,1,0,4,46,"2;1","3A3zfWv9",100,4,4,0,0.8,1
24,0.954195593966584,1,-7,4,39,"2;1","3A3zfWv9",100,4,4,0,0.8,1
25,1.17956747681713,1,14,4,53,"2;1","3A3zfWv9",100,4,4,0,0.8,1
1,0.96202795424604,1,3,5,3,"1;2","3A3zfWv9",100,4,4,0,0.8,1
2,0.777864644164155,1,3,5,6,"1;2","3A3zfWv9",100,4,4,0,0.8,1
3,0.636690715997024,1,3,5,9,"1;2","3A3zfWv9",100,4,4,0,0.8,1
4,0.5,1,-1,5,8,"1;2","3A3zfWv9",100,4,4,0,0.8,1
5,0.725192936305361,1,4,5,12,"1;2","3A3zfWv9",100,4,4,0,0.8,1
