"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.975488856290246,1,4,1,4,"1;2","3CvgVzJl",100,5,5,0,1,3
2,0.974937990526023,2,2,1,6,"1;2","3CvgVzJl",100,5,5,0,1,3
3,0.5,1,4,1,10,"1;2","3CvgVzJl",100,5,5,0,1,3
4,0.902222222253734,2,1,1,11,"1;2","3CvgVzJl",100,5,5,0,1,3
5,0.5,2,3,1,14,"1;2","3CvgVzJl",100,5,5,0,1,3
6,0.839427103771132,1,3,1,17,"1;2","3CvgVzJl",100,5,5,0,1,3
7,0.763835370685147,1,7,1,24,"1;2","3CvgVzJl",100,5,5,0,1,3
8,0.906896413110041,1,3,1,27,"1;2","3CvgVzJl",100,5,5,0,1,3
9,0.862585675799392,1,1,1,28,"1;2","3CvgVzJl",100,5,5,0,1,3
10,0.54487982967482,2,4,1,32,"1;2","3CvgVzJl",100,5,5,0,1,3
11,0.697282665459698,1,0,1,32,"1;2","3CvgVzJl",100,5,5,0,1,3
12,0.776727683407657,1,2,1,34,"1;2","3CvgVzJl",100,5,5,0,1,3
13,0.917261255539942,1,1,1,35,"1;2","3CvgVzJl",100,5,5,0,1,3
14,0.811930276657943,1,1,1,36,"1;2","3CvgVzJl",100,5,5,0,1,3
15,0.701749081921086,2,3,1,39,"1;2","3CvgVzJl",100,5,5,0,1,3
16,0.803971989215043,2,3,1,42,"1;2","3CvgVzJl",100,5,5,0,1,3
17,0.836500863524322,2,3,1,45,"1;2","3CvgVzJl",100,5,5,0,1,3
18,0.761485712768798,2,0,1,45,"1;2","3CvgVzJl",100,5,5,0,1,3
19,0.814161282089535,1,2,1,47,"1;2","3CvgVzJl",100,5,5,0,1,3
20,0.822899112660886,2,6,1,53,"1;2","3CvgVzJl",100,5,5,0,1,3
1,0.879120099834567,1,-6,2,-6,"2;1","3CvgVzJl",100,5,5,0,1,3
2,1.03938629308078,1,-1,2,-7,"2;1","3CvgVzJl",100,5,5,0,1,3
3,0.816220093198837,2,6,2,-1,"2;1","3CvgVzJl",100,5,5,0,1,3
4,0.75151012461765,1,-9,2,-10,"2;1","3CvgVzJl",100,5,5,0,1,3
5,0.5,1,6,2,-4,"2;1","3CvgVzJl",100,5,5,0,1,3
6,0.676753018547146,2,5,2,1,"2;1","3CvgVzJl",100,5,5,0,1,3
7,0.5,1,8,2,9,"2;1","3CvgVzJl",100,5,5,0,1,3
8,0.5,1,3,2,12,"2;1","3CvgVzJl",100,5,5,0,1,3
9,0.522471036578885,1,19,2,31,"2;1","3CvgVzJl",100,5,5,0,1,3
10,0.660923884442357,1,3,2,34,"2;1","3CvgVzJl",100,5,5,0,1,3
11,0.72460174882083,2,3,2,37,"2;1","3CvgVzJl",100,5,5,0,1,3
12,1.11715149990241,2,4,2,41,"2;1","3CvgVzJl",100,5,5,0,1,3
13,0.5,1,-6,2,35,"2;1","3CvgVzJl",100,5,5,0,1,3
14,0.970571314310517,1,-10,2,25,"2;1","3CvgVzJl",100,5,5,0,1,3
15,0.807034497917994,2,6,2,31,"2;1","3CvgVzJl",100,5,5,0,1,3
16,0.870692952822515,1,-8,2,23,"2;1","3CvgVzJl",100,5,5,0,1,3
17,1.21737657727911,1,-13,2,10,"2;1","3CvgVzJl",100,5,5,0,1,3
18,0.679554887226963,1,-19,2,-9,"2;1","3CvgVzJl",100,5,5,0,1,3
19,0.68772223961013,1,4,2,-5,"2;1","3CvgVzJl",100,5,5,0,1,3
20,0.658718233705823,1,12,2,7,"2;1","3CvgVzJl",100,5,5,0,1,3
21,0.72095515785704,1,-5,2,2,"2;1","3CvgVzJl",100,5,5,0,1,3
22,1.1550941019562,2,5,2,7,"2;1","3CvgVzJl",100,5,5,0,1,3
23,1.12924788715631,1,1,2,8,"2;1","3CvgVzJl",100,5,5,0,1,3
24,0.5,2,1,2,9,"2;1","3CvgVzJl",100,5,5,0,1,3
25,1.00068913579307,2,-3,2,6,"2;1","3CvgVzJl",100,5,5,0,1,3
1,1.12504116519583,1,13,3,13,"2;1","3CvgVzJl",100,5,5,0,1,3
2,0.791857188896238,1,-24,3,-11,"2;1","3CvgVzJl",100,5,5,0,1,3
3,0.656685449097535,1,-6,3,-17,"2;1","3CvgVzJl",100,5,5,0,1,3
4,0.541425710273659,1,17,3,0,"2;1","3CvgVzJl",100,5,5,0,1,3
5,0.5,1,15,3,15,"2;1","3CvgVzJl",100,5,5,0,1,3
6,0.5,1,3,3,18,"2;1","3CvgVzJl",100,5,5,0,1,3
7,0.805571143488592,2,6,3,24,"2;1","3CvgVzJl",100,5,5,0,1,3
8,0.5,1,6,3,30,"2;1","3CvgVzJl",100,5,5,0,1,3
9,0.587728487356306,1,1,3,31,"2;1","3CvgVzJl",100,5,5,0,1,3
10,0.699940787682145,2,5,3,36,"2;1","3CvgVzJl",100,5,5,0,1,3
11,0.755638997657373,1,4,3,40,"2;1","3CvgVzJl",100,5,5,0,1,3
12,0.691390962023562,1,30,3,70,"2;1","3CvgVzJl",100,5,5,0,1,3
13,1.10466715983577,1,3,3,73,"2;1","3CvgVzJl",100,5,5,0,1,3
14,0.978132886848115,1,-20,3,53,"2;1","3CvgVzJl",100,5,5,0,1,3
15,0.814044446550756,2,3,3,56,"2;1","3CvgVzJl",100,5,5,0,1,3
16,0.758635017672465,2,5,3,61,"2;1","3CvgVzJl",100,5,5,0,1,3
17,0.752801579614894,1,-16,3,45,"2;1","3CvgVzJl",100,5,5,0,1,3
18,0.786362451944954,1,8,3,53,"2;1","3CvgVzJl",100,5,5,0,1,3
19,0.877272016312124,1,0,3,53,"2;1","3CvgVzJl",100,5,5,0,1,3
20,1.2236943487034,1,0,3,53,"2;1","3CvgVzJl",100,5,5,0,1,3
21,1.07443667872766,1,-10,3,43,"2;1","3CvgVzJl",100,5,5,0,1,3
22,0.901819059438946,1,7,3,50,"2;1","3CvgVzJl",100,5,5,0,1,3
23,0.942921190515057,2,5,3,55,"2;1","3CvgVzJl",100,5,5,0,1,3
24,0.998003680864928,2,6,3,61,"2;1","3CvgVzJl",100,5,5,0,1,3
25,0.928642037378633,1,-2,3,59,"2;1","3CvgVzJl",100,5,5,0,1,3
1,0.738778255871011,2,6,4,6,"2;1","3CvgVzJl",100,5,5,0,1,3
2,0.841384571873245,1,12,4,18,"2;1","3CvgVzJl",100,5,5,0,1,3
3,0.5,1,0,4,18,"2;1","3CvgVzJl",100,5,5,0,1,3
4,0.964441640900911,1,18,4,36,"2;1","3CvgVzJl",100,5,5,0,1,3
5,1.05060190033894,1,26,4,62,"2;1","3CvgVzJl",100,5,5,0,1,3
6,1.32539194025949,1,9,4,71,"2;1","3CvgVzJl",100,5,5,0,1,3
7,0.668891602158063,2,2,4,73,"2;1","3CvgVzJl",100,5,5,0,1,3
8,0.916395206329327,2,6,4,79,"2;1","3CvgVzJl",100,5,5,0,1,3
9,0.846441805627927,2,7,4,86,"2;1","3CvgVzJl",100,5,5,0,1,3
10,0.5,2,8,4,94,"2;1","3CvgVzJl",100,5,5,0,1,3
11,0.886054536330927,1,10,4,104,"2;1","3CvgVzJl",100,5,5,0,1,3
12,0.804950814258386,2,3,4,107,"2;1","3CvgVzJl",100,5,5,0,1,3
13,0.926845042166464,2,2,4,109,"2;1","3CvgVzJl",100,5,5,0,1,3
14,0.946702259502155,2,9,4,118,"2;1","3CvgVzJl",100,5,5,0,1,3
15,1.36922295334297,2,7,4,125,"2;1","3CvgVzJl",100,5,5,0,1,3
16,0.902009028409615,2,9,4,134,"2;1","3CvgVzJl",100,5,5,0,1,3
17,0.950770733520703,2,6,4,140,"2;1","3CvgVzJl",100,5,5,0,1,3
18,0.743407832385586,2,2,4,142,"2;1","3CvgVzJl",100,5,5,0,1,3
19,1.07642648081284,1,26,4,168,"2;1","3CvgVzJl",100,5,5,0,1,3
20,0.622117561325283,2,6,4,174,"2;1","3CvgVzJl",100,5,5,0,1,3
21,0.790673895260079,2,3,4,177,"2;1","3CvgVzJl",100,5,5,0,1,3
22,0.940754116109368,1,-16,4,161,"2;1","3CvgVzJl",100,5,5,0,1,3
23,0.940676371190938,2,4,4,165,"2;1","3CvgVzJl",100,5,5,0,1,3
24,1.33839813347173,1,24,4,189,"2;1","3CvgVzJl",100,5,5,0,1,3
