"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.756924648125314,2,1,1,1,"1;2","3EOST5qS",100,4,4,0,0.8,1
2,0.933285055894471,2,1,1,2,"1;2","3EOST5qS",100,4,4,0,0.8,1
3,0.990793584619845,2,-1,1,1,"1;2","3EOST5qS",100,4,4,0,0.8,1
4,1.06278519591853,2,3,1,4,"1;2","3EOST5qS",100,4,4,0,0.8,1
5,0.853911141887488,2,2,1,6,"1;2","3EOST5qS",100,4,4,0,0.8,1
6,1.02989718556466,2,2,1,8,"1;2","3EOST5qS",100,4,4,0,0.8,1
7,1.13795042321468,1,-1,1,7,"1;2","3EOST5qS",100,4,4,0,0.8,1
8,0.836861603847271,2,5,1,12,"1;2","3EOST5qS",100,4,4,0,0.8,1
9,1.03690052585125,1,0,1,12,"1;2","3EOST5qS",100,4,4,0,0.8,1
10,1.00437853416302,2,2,1,14,"1;2","3EOST5qS",100,4,4,0,0.8,1
11,0.856336390733661,2,1,1,15,"1;2","3EOST5qS",100,4,4,0,0.8,1
12,0.5,2,3,1,18,"1;2","3EOST5qS",100,4,4,0,0.8,1
13,0.550104055212992,1,4,1,22,"1;2","3EOST5qS",100,4,4,0,0.8,1
14,0.788475334967312,1,1,1,23,"1;2","3EOST5qS",100,4,4,0,0.8,1
15,0.902566098028369,1,0,1,23,"1;2","3EOST5qS",100,4,4,0,0.8,1
16,0.744168093695091,2,3,1,26,"1;2","3EOST5qS",100,4,4,0,0.8,1
17,0.967586675217433,2,1,1,27,"1;2","3EOST5qS",100,4,4,0,0.8,1
18,0.793041154872256,2,7,1,34,"1;2","3EOST5qS",100,4,4,0,0.8,1
19,0.727959644294602,2,1,1,35,"1;2","3EOST5qS",100,4,4,0,0.8,1
20,1.00477436060527,1,2,1,37,"1;2","3EOST5qS",100,4,4,0,0.8,1
1,0.557523716338953,1,6,2,6,"1;2","3EOST5qS",100,4,4,0,0.8,1
2,0.644338996201751,1,4,2,10,"1;2","3EOST5qS",100,4,4,0,0.8,1
3,0.721173319811988,1,1,2,11,"1;2","3EOST5qS",100,4,4,0,0.8,1
4,1.32795463666373,1,8,2,19,"1;2","3EOST5qS",100,4,4,0,0.8,1
5,0.974993615669841,1,7,2,26,"1;2","3EOST5qS",100,4,4,0,0.8,1
6,0.764259444232653,2,17,2,43,"1;2","3EOST5qS",100,4,4,0,0.8,1
7,0.642656250632606,1,6,2,49,"1;2","3EOST5qS",100,4,4,0,0.8,1
8,0.774428603973492,1,8,2,57,"1;2","3EOST5qS",100,4,4,0,0.8,1
9,1.13088462443709,1,2,2,59,"1;2","3EOST5qS",100,4,4,0,0.8,1
10,0.986786555988204,1,5,2,64,"1;2","3EOST5qS",100,4,4,0,0.8,1
11,0.753903763733964,2,3,2,67,"1;2","3EOST5qS",100,4,4,0,0.8,1
12,0.82283289469566,1,6,2,73,"1;2","3EOST5qS",100,4,4,0,0.8,1
13,0.575471307746009,2,-6,2,67,"1;2","3EOST5qS",100,4,4,0,0.8,1
14,0.936137160252415,2,5,2,72,"1;2","3EOST5qS",100,4,4,0,0.8,1
15,1.19849745829144,1,1,2,73,"1;2","3EOST5qS",100,4,4,0,0.8,1
16,0.859390916927837,2,6,2,79,"1;2","3EOST5qS",100,4,4,0,0.8,1
17,0.645936623022251,1,5,2,84,"1;2","3EOST5qS",100,4,4,0,0.8,1
18,1.08944334091297,1,8,2,92,"1;2","3EOST5qS",100,4,4,0,0.8,1
19,0.637964694890723,1,12,2,104,"1;2","3EOST5qS",100,4,4,0,0.8,1
20,0.5,1,9,2,113,"1;2","3EOST5qS",100,4,4,0,0.8,1
21,0.880225393977898,2,16,2,129,"1;2","3EOST5qS",100,4,4,0,0.8,1
22,0.61388383912381,1,7,2,136,"1;2","3EOST5qS",100,4,4,0,0.8,1
