"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.790686555631563,1,5,1,5,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
2,0.615555880943944,1,4,1,9,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
3,0.892918915735596,1,0,1,9,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
4,0.964468617504094,1,0,1,9,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
5,0.749468073475408,1,1,1,10,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
6,0.793883517702651,1,5,1,15,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
7,0.538706321433978,1,5,1,20,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
8,0.5,1,1,1,21,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
9,0.7561493231686,1,5,1,26,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
10,0.936494293499071,1,5,1,31,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
11,1.13462203563296,1,6,1,37,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
12,0.907492688147174,1,4,1,41,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
13,0.717289554407999,1,2,1,43,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
14,0.737593109191564,1,5,1,48,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
15,0.701907234052414,1,4,1,52,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
16,0.914570215033686,1,2,1,54,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
17,1.31426450479998,1,1,1,55,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
18,1.14893327677493,2,2,1,57,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
19,0.883563466237124,1,2,1,59,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
20,1.0850865226925,1,2,1,61,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
1,0.996791127273679,1,-10,2,-10,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
2,0.938418121190098,2,6,2,-4,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
3,1.1868103916883,2,1,2,-3,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
4,0.994436118540057,2,6,2,3,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
5,0.711149495085499,2,2,2,5,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
6,0.883460138240326,2,5,2,10,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
7,0.737557308594383,2,12,2,22,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
8,0.806740090580952,2,5,2,27,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
9,0.862935957880729,2,1,2,28,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
10,0.674582758600018,2,5,2,33,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
11,1.09788729324532,2,7,2,40,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
12,0.662688696491667,2,5,2,45,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
13,0.764262892222167,2,5,2,50,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
14,0.770907665881554,2,5,2,55,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
15,1.14721562467166,1,6,2,61,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
16,0.97337998747208,2,2,2,63,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
17,1.3360178576161,2,1,2,64,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
18,0.887377484339595,2,5,2,69,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
19,0.5,2,1,2,70,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
20,0.98064567853942,2,3,2,73,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
21,1.04321970918279,1,5,2,78,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
22,0.5,2,3,2,81,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
23,1.05310754970857,1,-7,2,74,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
24,1.23236173151121,1,-8,2,66,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
25,0.614937464454274,2,4,2,70,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
1,1.05864808949473,1,6,3,6,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
2,0.616500496892634,1,9,3,15,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
3,1.15288070469952,1,3,3,18,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
4,0.604056708299036,1,2,3,20,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
5,0.695589339509499,1,5,3,25,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
6,0.556188089596069,1,5,3,30,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
7,0.5,1,6,3,36,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
8,0.5,1,3,3,39,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
9,0.693402880580812,1,1,3,40,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
10,0.659125938313047,1,7,3,47,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
11,0.53607180452922,1,8,3,55,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
12,0.742995466699616,1,3,3,58,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
13,0.5,1,5,3,63,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
14,1.2254497850927,1,2,3,65,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
15,1.01277401246038,1,4,3,69,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
16,0.5,1,2,3,71,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
17,1.04968204544421,1,6,3,77,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
18,0.519624173580867,1,3,3,80,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
19,1.15026216359134,1,4,3,84,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
20,1.03170072767948,1,5,3,89,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
21,0.5,2,-12,3,77,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
22,0.895769178000123,1,3,3,80,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
23,0.748140782670001,1,1,3,81,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
24,0.798683872680189,1,2,3,83,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
25,0.538063096508943,1,4,3,87,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
1,0.849386777567785,1,7,4,7,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
2,0.831259732602456,1,4,4,11,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
3,0.5,1,7,4,18,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
4,0.656829348380732,1,6,4,24,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
5,0.73257046757685,1,1,4,25,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
6,1.18415038393818,1,2,4,27,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
7,0.744124323219964,1,8,4,35,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
8,0.876841842992709,1,1,4,36,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
9,0.5,1,4,4,40,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
10,1.10569309870061,1,7,4,47,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
11,1.14245971625066,1,3,4,50,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
12,0.947486802519285,1,7,4,57,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
13,0.98595564810061,1,3,4,60,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
14,0.859116466599517,1,3,4,63,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
15,1.19640730669016,1,4,4,67,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
16,1.01067006161029,1,2,4,69,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
17,0.95382800792818,1,1,4,70,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
18,1.23650268019782,1,3,4,73,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
19,0.837783463521243,1,0,4,73,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
20,0.5,1,2,4,75,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
21,1.14256944665783,1,1,4,76,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
22,0.843911276791346,1,5,4,81,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
23,1.09975388668218,1,8,4,89,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
24,1.24125729770689,1,2,4,91,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
25,0.97125046604785,1,1,4,92,"1;2","3Xa8fkFm",0,2,NA,0,0.86,2
1,1.08729564228913,2,1,5,1,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
2,0.758488393740254,2,6,5,7,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
3,0.5,2,-1,5,6,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
4,1.14046654471945,2,3,5,9,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
5,0.685527818611269,2,4,5,13,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
6,0.874849446518078,2,4,5,17,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
7,0.826769429006563,1,-15,5,2,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
8,1.06066563799723,2,5,5,7,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
9,0.77069940579455,2,0,5,7,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
10,0.943745398077463,2,7,5,14,"2;1","3Xa8fkFm",0,2,NA,0,0.86,2
