"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.742450943001479,1,5,1,5,"1;2","3gLiaA7R",100,5,4,0,0.8,2
2,0.970077820076152,2,4,1,9,"1;2","3gLiaA7R",100,5,4,0,0.8,2
3,0.772068601565587,1,4,1,13,"1;2","3gLiaA7R",100,5,4,0,0.8,2
4,0.554371536805649,1,4,1,17,"1;2","3gLiaA7R",100,5,4,0,0.8,2
5,0.6274584699526,1,7,1,24,"1;2","3gLiaA7R",100,5,4,0,0.8,2
6,0.862591049069794,1,2,1,26,"1;2","3gLiaA7R",100,5,4,0,0.8,2
7,0.604058214502018,1,4,1,30,"1;2","3gLiaA7R",100,5,4,0,0.8,2
8,0.821403516825246,2,7,1,37,"1;2","3gLiaA7R",100,5,4,0,0.8,2
9,0.91836106749885,2,-2,1,35,"1;2","3gLiaA7R",100,5,4,0,0.8,2
10,1.11347896215565,1,2,1,37,"1;2","3gLiaA7R",100,5,4,0,0.8,2
11,0.771173715840557,1,3,1,40,"1;2","3gLiaA7R",100,5,4,0,0.8,2
12,0.685322533575896,1,1,1,41,"1;2","3gLiaA7R",100,5,4,0,0.8,2
13,0.934492148781495,1,5,1,46,"1;2","3gLiaA7R",100,5,4,0,0.8,2
14,1.19554051568828,1,5,1,51,"1;2","3gLiaA7R",100,5,4,0,0.8,2
15,0.5,1,2,1,53,"1;2","3gLiaA7R",100,5,4,0,0.8,2
16,1.04010194295807,2,4,1,57,"1;2","3gLiaA7R",100,5,4,0,0.8,2
17,0.661178655479312,1,1,1,58,"1;2","3gLiaA7R",100,5,4,0,0.8,2
18,0.952024241600779,1,6,1,64,"1;2","3gLiaA7R",100,5,4,0,0.8,2
19,0.68396649791752,2,4,1,68,"1;2","3gLiaA7R",100,5,4,0,0.8,2
20,0.5,2,5,1,73,"1;2","3gLiaA7R",100,5,4,0,0.8,2
1,0.699084168471249,2,24,2,24,"1;2","3gLiaA7R",100,5,4,0,0.8,2
2,0.891409061682393,1,3,2,27,"1;2","3gLiaA7R",100,5,4,0,0.8,2
3,0.677889755676725,1,0,2,27,"1;2","3gLiaA7R",100,5,4,0,0.8,2
4,0.790458593558879,2,11,2,38,"1;2","3gLiaA7R",100,5,4,0,0.8,2
5,0.604723224575113,1,5,2,43,"1;2","3gLiaA7R",100,5,4,0,0.8,2
6,0.637345139314563,2,-11,2,32,"1;2","3gLiaA7R",100,5,4,0,0.8,2
7,1.23352304378924,1,7,2,39,"1;2","3gLiaA7R",100,5,4,0,0.8,2
8,0.725671104901804,1,3,2,42,"1;2","3gLiaA7R",100,5,4,0,0.8,2
9,0.662159110535834,1,6,2,48,"1;2","3gLiaA7R",100,5,4,0,0.8,2
10,1.2597172501935,2,-2,2,46,"1;2","3gLiaA7R",100,5,4,0,0.8,2
11,1.03153244768734,1,1,2,47,"1;2","3gLiaA7R",100,5,4,0,0.8,2
12,0.790479055997446,1,4,2,51,"1;2","3gLiaA7R",100,5,4,0,0.8,2
13,0.889537411827532,2,18,2,69,"1;2","3gLiaA7R",100,5,4,0,0.8,2
14,0.916455564129979,1,1,2,70,"1;2","3gLiaA7R",100,5,4,0,0.8,2
15,0.687791832488945,1,1,2,71,"1;2","3gLiaA7R",100,5,4,0,0.8,2
16,0.818442678594299,1,2,2,73,"1;2","3gLiaA7R",100,5,4,0,0.8,2
17,0.72911123605644,2,9,2,82,"1;2","3gLiaA7R",100,5,4,0,0.8,2
18,0.84831509083255,1,7,2,89,"1;2","3gLiaA7R",100,5,4,0,0.8,2
19,0.848805273225511,2,2,2,91,"1;2","3gLiaA7R",100,5,4,0,0.8,2
20,0.655793590261806,2,9,2,100,"1;2","3gLiaA7R",100,5,4,0,0.8,2
21,0.549702104882739,1,10,2,110,"1;2","3gLiaA7R",100,5,4,0,0.8,2
22,0.830696914216289,1,5,2,115,"1;2","3gLiaA7R",100,5,4,0,0.8,2
23,0.861494574050715,2,6,2,121,"1;2","3gLiaA7R",100,5,4,0,0.8,2
24,0.798858627439084,1,5,2,126,"1;2","3gLiaA7R",100,5,4,0,0.8,2
25,1.1318292012208,2,-2,2,124,"1;2","3gLiaA7R",100,5,4,0,0.8,2
1,0.710876453116475,2,13,3,13,"1;2","3gLiaA7R",100,5,4,0,0.8,2
2,1.09938678261406,2,-1,3,12,"1;2","3gLiaA7R",100,5,4,0,0.8,2
3,0.801373490726516,2,-7,3,5,"1;2","3gLiaA7R",100,5,4,0,0.8,2
4,1.05569397998319,2,5,3,10,"1;2","3gLiaA7R",100,5,4,0,0.8,2
5,0.627154675984802,2,16,3,26,"1;2","3gLiaA7R",100,5,4,0,0.8,2
6,0.774189272382375,1,6,3,32,"1;2","3gLiaA7R",100,5,4,0,0.8,2
7,1.06205213031151,2,3,3,35,"1;2","3gLiaA7R",100,5,4,0,0.8,2
8,0.635599120888276,1,6,3,41,"1;2","3gLiaA7R",100,5,4,0,0.8,2
9,0.5,2,5,3,46,"1;2","3gLiaA7R",100,5,4,0,0.8,2
10,0.989252811799257,1,6,3,52,"1;2","3gLiaA7R",100,5,4,0,0.8,2
11,0.709606615956933,1,0,3,52,"1;2","3gLiaA7R",100,5,4,0,0.8,2
12,0.5,1,2,3,54,"1;2","3gLiaA7R",100,5,4,0,0.8,2
13,0.5,2,-1,3,53,"1;2","3gLiaA7R",100,5,4,0,0.8,2
14,1.13752635464737,1,10,3,63,"1;2","3gLiaA7R",100,5,4,0,0.8,2
15,0.550764858340982,2,20,3,83,"1;2","3gLiaA7R",100,5,4,0,0.8,2
16,1.08605146668726,2,13,3,96,"1;2","3gLiaA7R",100,5,4,0,0.8,2
17,0.632482938171912,2,19,3,115,"1;2","3gLiaA7R",100,5,4,0,0.8,2
18,0.998370508466903,2,12,3,127,"1;2","3gLiaA7R",100,5,4,0,0.8,2
19,1.07516115427247,1,6,3,133,"1;2","3gLiaA7R",100,5,4,0,0.8,2
20,0.545433323183956,1,3,3,136,"1;2","3gLiaA7R",100,5,4,0,0.8,2
21,1.07734121693168,2,-12,3,124,"1;2","3gLiaA7R",100,5,4,0,0.8,2
22,1.10160447477036,2,-16,3,108,"1;2","3gLiaA7R",100,5,4,0,0.8,2
23,0.794563905064767,1,3,3,111,"1;2","3gLiaA7R",100,5,4,0,0.8,2
24,0.984022101406615,2,-11,3,100,"1;2","3gLiaA7R",100,5,4,0,0.8,2
25,0.942995090641577,2,-29,3,71,"1;2","3gLiaA7R",100,5,4,0,0.8,2
1,0.691752567171512,2,4,4,4,"2;1","3gLiaA7R",100,5,4,0,0.8,2
2,1.53542971395035,2,1,4,5,"2;1","3gLiaA7R",100,5,4,0,0.8,2
3,1.15229495918741,2,2,4,7,"2;1","3gLiaA7R",100,5,4,0,0.8,2
4,0.80223592999513,1,5,4,12,"2;1","3gLiaA7R",100,5,4,0,0.8,2
5,0.5,2,4,4,16,"2;1","3gLiaA7R",100,5,4,0,0.8,2
6,0.765521614511974,1,-10,4,6,"2;1","3gLiaA7R",100,5,4,0,0.8,2
7,0.655408814050466,2,7,4,13,"2;1","3gLiaA7R",100,5,4,0,0.8,2
8,1.19497656310811,2,2,4,15,"2;1","3gLiaA7R",100,5,4,0,0.8,2
9,0.885533091923528,2,6,4,21,"2;1","3gLiaA7R",100,5,4,0,0.8,2
10,0.673156183702858,1,0,4,21,"2;1","3gLiaA7R",100,5,4,0,0.8,2
11,0.839309730982028,2,4,4,25,"2;1","3gLiaA7R",100,5,4,0,0.8,2
12,0.777611491147586,2,5,4,30,"2;1","3gLiaA7R",100,5,4,0,0.8,2
13,0.5,1,-7,4,23,"2;1","3gLiaA7R",100,5,4,0,0.8,2
14,1.12857571779784,1,19,4,42,"2;1","3gLiaA7R",100,5,4,0,0.8,2
15,0.528069399053224,2,3,4,45,"2;1","3gLiaA7R",100,5,4,0,0.8,2
16,0.890009964229595,1,7,4,52,"2;1","3gLiaA7R",100,5,4,0,0.8,2
17,0.978955365520527,1,7,4,59,"2;1","3gLiaA7R",100,5,4,0,0.8,2
18,1.21336374451853,2,0,4,59,"2;1","3gLiaA7R",100,5,4,0,0.8,2
19,0.877561473656045,1,4,4,63,"2;1","3gLiaA7R",100,5,4,0,0.8,2
20,0.954881495643354,1,16,4,79,"2;1","3gLiaA7R",100,5,4,0,0.8,2
21,1.27619903699186,2,2,4,81,"2;1","3gLiaA7R",100,5,4,0,0.8,2
22,0.872550258490562,2,6,4,87,"2;1","3gLiaA7R",100,5,4,0,0.8,2
