"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.84688129185276,1,3,1,3,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
2,0.767146447193703,2,5,1,8,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
3,1.15083625469511,1,2,1,10,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
4,0.5,2,4,1,14,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
5,0.895566456334345,2,0,1,14,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
6,0.665215001708009,2,2,1,16,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
7,0.969220358871269,2,5,1,21,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
8,1.0945296764465,2,2,1,23,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
9,0.5,1,1,1,24,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
10,1.24832182594548,2,2,1,26,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
11,0.776092590526011,2,3,1,29,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
12,0.5,2,2,1,31,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
13,1.12196121558184,2,5,1,36,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
14,0.701772366602119,2,-1,1,35,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
15,1.12003719834761,2,0,1,35,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
16,0.5,2,2,1,37,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
17,0.674658128205972,1,3,1,40,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
18,0.5,2,5,1,45,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
19,1.04778941658675,1,6,1,51,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
20,0.908285523030012,2,4,1,55,"1;2","3rhGTPUH",0,1,NA,0,1.03,1
1,0.606899774614817,2,6,2,6,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
2,1.06696104789235,2,11,2,17,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
3,0.8047487494812,1,-4,2,13,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
4,0.879864530484337,1,1,2,14,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
5,1.17282761308934,1,3,2,17,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
6,0.783836221344015,2,4,2,21,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
7,0.886794122764257,2,2,2,23,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
8,0.921956477690766,2,4,2,27,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
9,0.898496373260311,1,6,2,33,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
10,0.639161131656596,1,9,2,42,"2;1","3rhGTPUH",0,1,NA,0,1.03,1
