"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.927702314905076,2,4,1,4,"2;1","421dPkxc",0,3,NA,0,0.66,1
2,0.820269263437279,2,3,1,7,"2;1","421dPkxc",0,3,NA,0,0.66,1
3,1.11402053817263,2,3,1,10,"2;1","421dPkxc",0,3,NA,0,0.66,1
4,0.863880396663009,2,3,1,13,"2;1","421dPkxc",0,3,NA,0,0.66,1
5,1.33502220832495,1,6,1,19,"2;1","421dPkxc",0,3,NA,0,0.66,1
6,0.53170466599031,1,1,1,20,"2;1","421dPkxc",0,3,NA,0,0.66,1
7,0.5,1,2,1,22,"2;1","421dPkxc",0,3,NA,0,0.66,1
8,0.688777776207347,1,2,1,24,"2;1","421dPkxc",0,3,NA,0,0.66,1
9,0.945944026859548,1,2,1,26,"2;1","421dPkxc",0,3,NA,0,0.66,1
10,1.06638105626493,2,2,1,28,"2;1","421dPkxc",0,3,NA,0,0.66,1
11,0.568604196186659,2,2,1,30,"2;1","421dPkxc",0,3,NA,0,0.66,1
12,1.25097245507823,1,1,1,31,"2;1","421dPkxc",0,3,NA,0,0.66,1
13,0.70302558559475,1,6,1,37,"2;1","421dPkxc",0,3,NA,0,0.66,1
14,1.23306936814428,2,5,1,42,"2;1","421dPkxc",0,3,NA,0,0.66,1
15,0.5,2,-2,1,40,"2;1","421dPkxc",0,3,NA,0,0.66,1
16,1.05579964963304,2,1,1,41,"2;1","421dPkxc",0,3,NA,0,0.66,1
17,0.803452812438807,1,2,1,43,"2;1","421dPkxc",0,3,NA,0,0.66,1
18,1.02493025289483,1,6,1,49,"2;1","421dPkxc",0,3,NA,0,0.66,1
19,0.68929015813802,2,4,1,53,"2;1","421dPkxc",0,3,NA,0,0.66,1
20,0.5,1,2,1,55,"2;1","421dPkxc",0,3,NA,0,0.66,1
1,0.55666342102446,1,1,2,1,"1;2","421dPkxc",0,3,NA,0,0.66,1
2,1.01969801675761,1,-3,2,-2,"1;2","421dPkxc",0,3,NA,0,0.66,1
3,0.51102435882556,2,6,2,4,"1;2","421dPkxc",0,3,NA,0,0.66,1
4,1.35581865245526,1,5,2,9,"1;2","421dPkxc",0,3,NA,0,0.66,1
5,0.979941860918313,1,5,2,14,"1;2","421dPkxc",0,3,NA,0,0.66,1
6,0.5,1,4,2,18,"1;2","421dPkxc",0,3,NA,0,0.66,1
7,0.906887715363829,1,1,2,19,"1;2","421dPkxc",0,3,NA,0,0.66,1
8,0.839141204035275,2,-2,2,17,"1;2","421dPkxc",0,3,NA,0,0.66,1
9,0.5,2,4,2,21,"1;2","421dPkxc",0,3,NA,0,0.66,1
10,0.562766787953245,2,-12,2,9,"1;2","421dPkxc",0,3,NA,0,0.66,1
11,1.07571756966121,2,8,2,17,"1;2","421dPkxc",0,3,NA,0,0.66,1
12,0.896593356142135,2,2,2,19,"1;2","421dPkxc",0,3,NA,0,0.66,1
13,0.578818060718719,1,1,2,20,"1;2","421dPkxc",0,3,NA,0,0.66,1
14,0.757221122612792,2,2,2,22,"1;2","421dPkxc",0,3,NA,0,0.66,1
15,1.07397872783309,2,-5,2,17,"1;2","421dPkxc",0,3,NA,0,0.66,1
16,0.703737069341298,2,2,2,19,"1;2","421dPkxc",0,3,NA,0,0.66,1
17,0.731095157212104,2,3,2,22,"1;2","421dPkxc",0,3,NA,0,0.66,1
18,0.626681240692066,1,4,2,26,"1;2","421dPkxc",0,3,NA,0,0.66,1
19,0.5,2,-11,2,15,"1;2","421dPkxc",0,3,NA,0,0.66,1
20,0.738604151898343,2,30,2,45,"1;2","421dPkxc",0,3,NA,0,0.66,1
21,0.824080551324511,1,5,2,50,"1;2","421dPkxc",0,3,NA,0,0.66,1
22,0.67812206934977,1,0,2,50,"1;2","421dPkxc",0,3,NA,0,0.66,1
23,1.2751514676996,2,-6,2,44,"1;2","421dPkxc",0,3,NA,0,0.66,1
24,0.557909712992024,2,-4,2,40,"1;2","421dPkxc",0,3,NA,0,0.66,1
25,0.910087221821294,2,6,2,46,"1;2","421dPkxc",0,3,NA,0,0.66,1
