"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.865359691496785,2,3,1,3,"2;1","44nKHcYV",100,4,5,0,1,3
2,0.920064952907394,2,4,1,7,"2;1","44nKHcYV",100,4,5,0,1,3
3,0.568515060305322,2,4,1,11,"2;1","44nKHcYV",100,4,5,0,1,3
4,0.597125314649238,1,3,1,14,"2;1","44nKHcYV",100,4,5,0,1,3
5,1.0637210323598,1,1,1,15,"2;1","44nKHcYV",100,4,5,0,1,3
6,0.870692612525784,1,5,1,20,"2;1","44nKHcYV",100,4,5,0,1,3
7,0.858811810616922,2,3,1,23,"2;1","44nKHcYV",100,4,5,0,1,3
8,0.557076469042894,2,-2,1,21,"2;1","44nKHcYV",100,4,5,0,1,3
9,1.13880404533306,2,3,1,24,"2;1","44nKHcYV",100,4,5,0,1,3
10,0.5,2,3,1,27,"2;1","44nKHcYV",100,4,5,0,1,3
11,0.704451266995408,1,4,1,31,"2;1","44nKHcYV",100,4,5,0,1,3
12,0.93924538053113,1,5,1,36,"2;1","44nKHcYV",100,4,5,0,1,3
13,1.02100729642453,2,1,1,37,"2;1","44nKHcYV",100,4,5,0,1,3
14,0.79337387355041,2,0,1,37,"2;1","44nKHcYV",100,4,5,0,1,3
15,0.825483458502133,1,-1,1,36,"2;1","44nKHcYV",100,4,5,0,1,3
16,0.5,1,4,1,40,"2;1","44nKHcYV",100,4,5,0,1,3
17,0.926887094457289,1,2,1,42,"2;1","44nKHcYV",100,4,5,0,1,3
18,0.5,2,7,1,49,"2;1","44nKHcYV",100,4,5,0,1,3
19,0.5,2,0,1,49,"2;1","44nKHcYV",100,4,5,0,1,3
20,0.888138957151386,2,2,1,51,"2;1","44nKHcYV",100,4,5,0,1,3
1,0.5,2,7,2,7,"2;1","44nKHcYV",100,4,5,0,1,3
2,0.856052554531094,2,4,2,11,"2;1","44nKHcYV",100,4,5,0,1,3
3,0.859039727544647,2,4,2,15,"2;1","44nKHcYV",100,4,5,0,1,3
4,0.605809177744534,2,1,2,16,"2;1","44nKHcYV",100,4,5,0,1,3
5,0.6183089825304,2,4,2,20,"2;1","44nKHcYV",100,4,5,0,1,3
6,0.79934280173948,2,2,2,22,"2;1","44nKHcYV",100,4,5,0,1,3
7,1.06657927527737,2,1,2,23,"2;1","44nKHcYV",100,4,5,0,1,3
8,0.950733399654571,1,14,2,37,"2;1","44nKHcYV",100,4,5,0,1,3
9,0.893858500396245,2,5,2,42,"2;1","44nKHcYV",100,4,5,0,1,3
10,0.67937386587913,2,2,2,44,"2;1","44nKHcYV",100,4,5,0,1,3
11,0.699052009614223,2,8,2,52,"2;1","44nKHcYV",100,4,5,0,1,3
12,1.30803033856736,1,-13,2,39,"2;1","44nKHcYV",100,4,5,0,1,3
13,0.5,1,-8,2,31,"2;1","44nKHcYV",100,4,5,0,1,3
14,0.847251071478739,1,11,2,42,"2;1","44nKHcYV",100,4,5,0,1,3
15,0.601337928035271,1,8,2,50,"2;1","44nKHcYV",100,4,5,0,1,3
16,0.90688376643858,1,6,2,56,"2;1","44nKHcYV",100,4,5,0,1,3
17,0.532234916096733,2,4,2,60,"2;1","44nKHcYV",100,4,5,0,1,3
18,0.91717731321096,1,15,2,75,"2;1","44nKHcYV",100,4,5,0,1,3
19,0.5,2,5,2,80,"2;1","44nKHcYV",100,4,5,0,1,3
20,1.24542591221823,2,1,2,81,"2;1","44nKHcYV",100,4,5,0,1,3
21,0.805196403492001,2,2,2,83,"2;1","44nKHcYV",100,4,5,0,1,3
22,0.65093934537361,1,9,2,92,"2;1","44nKHcYV",100,4,5,0,1,3
23,0.5,1,16,2,108,"2;1","44nKHcYV",100,4,5,0,1,3
24,0.743597305978974,2,5,2,113,"2;1","44nKHcYV",100,4,5,0,1,3
25,0.5,1,-4,2,109,"2;1","44nKHcYV",100,4,5,0,1,3
1,0.852642318066506,1,5,3,5,"1;2","44nKHcYV",100,4,5,0,1,3
2,0.973000322413687,2,-5,3,0,"1;2","44nKHcYV",100,4,5,0,1,3
3,0.99422407390974,1,4,3,4,"1;2","44nKHcYV",100,4,5,0,1,3
4,0.518913094641583,1,3,3,7,"1;2","44nKHcYV",100,4,5,0,1,3
5,0.649888577837341,2,23,3,30,"1;2","44nKHcYV",100,4,5,0,1,3
6,0.876713510324097,2,-11,3,19,"1;2","44nKHcYV",100,4,5,0,1,3
7,1.10796510906265,2,-14,3,5,"1;2","44nKHcYV",100,4,5,0,1,3
8,1.27487992240248,2,-17,3,-12,"1;2","44nKHcYV",100,4,5,0,1,3
9,0.997063600495092,1,3,3,-9,"1;2","44nKHcYV",100,4,5,0,1,3
10,0.987507674736898,2,15,3,6,"1;2","44nKHcYV",100,4,5,0,1,3
11,0.908669756625569,2,6,3,12,"1;2","44nKHcYV",100,4,5,0,1,3
12,1.00571808369131,2,2,3,14,"1;2","44nKHcYV",100,4,5,0,1,3
13,0.5,2,15,3,29,"1;2","44nKHcYV",100,4,5,0,1,3
14,1.02847521385545,2,8,3,37,"1;2","44nKHcYV",100,4,5,0,1,3
15,0.680532597196318,1,8,3,45,"1;2","44nKHcYV",100,4,5,0,1,3
16,1.00695724717212,2,11,3,56,"1;2","44nKHcYV",100,4,5,0,1,3
17,0.867663866700233,2,4,3,60,"1;2","44nKHcYV",100,4,5,0,1,3
18,0.679792341647614,1,5,3,65,"1;2","44nKHcYV",100,4,5,0,1,3
19,0.6547309352318,2,1,3,66,"1;2","44nKHcYV",100,4,5,0,1,3
20,0.999076009958493,1,-2,3,64,"1;2","44nKHcYV",100,4,5,0,1,3
21,0.791578276014475,1,2,3,66,"1;2","44nKHcYV",100,4,5,0,1,3
22,0.539675422377457,1,7,3,73,"1;2","44nKHcYV",100,4,5,0,1,3
23,1.12881909431351,2,-5,3,68,"1;2","44nKHcYV",100,4,5,0,1,3
24,0.748139741918533,2,15,3,83,"1;2","44nKHcYV",100,4,5,0,1,3
25,0.5,2,-6,3,77,"1;2","44nKHcYV",100,4,5,0,1,3
1,0.5,2,1,4,1,"2;1","44nKHcYV",100,4,5,0,1,3
2,0.891203154591442,2,6,4,7,"2;1","44nKHcYV",100,4,5,0,1,3
3,0.544152514151077,2,6,4,13,"2;1","44nKHcYV",100,4,5,0,1,3
4,0.5,2,6,4,19,"2;1","44nKHcYV",100,4,5,0,1,3
5,1.18481437160092,2,8,4,27,"2;1","44nKHcYV",100,4,5,0,1,3
6,0.518756781324075,2,7,4,34,"2;1","44nKHcYV",100,4,5,0,1,3
7,0.935161826869099,2,1,4,35,"2;1","44nKHcYV",100,4,5,0,1,3
8,0.854916826714377,2,5,4,40,"2;1","44nKHcYV",100,4,5,0,1,3
9,0.808695886107825,2,3,4,43,"2;1","44nKHcYV",100,4,5,0,1,3
10,0.721792483379954,2,-1,4,42,"2;1","44nKHcYV",100,4,5,0,1,3
11,0.620218034912653,2,5,4,47,"2;1","44nKHcYV",100,4,5,0,1,3
