"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.889302267464029,2,0,1,0,"2;1","478m77XU",0,1,NA,0,1,2
2,0.615141681849948,1,3,1,3,"2;1","478m77XU",0,1,NA,0,1,2
3,1.02493650489868,1,2,1,5,"2;1","478m77XU",0,1,NA,0,1,2
4,0.788631737191646,1,3,1,8,"2;1","478m77XU",0,1,NA,0,1,2
5,0.817592919937698,1,3,1,11,"2;1","478m77XU",0,1,NA,0,1,2
6,1.11117015312024,2,3,1,14,"2;1","478m77XU",0,1,NA,0,1,2
7,0.520293392814583,1,4,1,18,"2;1","478m77XU",0,1,NA,0,1,2
8,0.685668004660084,1,2,1,20,"2;1","478m77XU",0,1,NA,0,1,2
9,1.33591443183558,1,1,1,21,"2;1","478m77XU",0,1,NA,0,1,2
10,0.856614220944757,1,3,1,24,"2;1","478m77XU",0,1,NA,0,1,2
11,0.840109310125877,1,4,1,28,"2;1","478m77XU",0,1,NA,0,1,2
12,0.816812780858098,1,-2,1,26,"2;1","478m77XU",0,1,NA,0,1,2
13,0.694205789135287,1,1,1,27,"2;1","478m77XU",0,1,NA,0,1,2
14,0.573734445125398,1,8,1,35,"2;1","478m77XU",0,1,NA,0,1,2
15,0.5,2,3,1,38,"2;1","478m77XU",0,1,NA,0,1,2
16,0.515169681233986,2,1,1,39,"2;1","478m77XU",0,1,NA,0,1,2
17,0.940357695268345,1,2,1,41,"2;1","478m77XU",0,1,NA,0,1,2
18,0.67556365589648,1,4,1,45,"2;1","478m77XU",0,1,NA,0,1,2
19,0.909170967647079,2,-1,1,44,"2;1","478m77XU",0,1,NA,0,1,2
20,0.897596697703089,1,3,1,47,"2;1","478m77XU",0,1,NA,0,1,2
1,0.7067503544789,1,8,2,8,"1;2","478m77XU",0,1,NA,0,1,2
2,0.799673392179422,1,7,2,15,"1;2","478m77XU",0,1,NA,0,1,2
3,0.891172671099495,1,2,2,17,"1;2","478m77XU",0,1,NA,0,1,2
4,0.788540204132744,1,4,2,21,"1;2","478m77XU",0,1,NA,0,1,2
5,0.848720845052263,1,6,2,27,"1;2","478m77XU",0,1,NA,0,1,2
6,1.03240140561348,1,2,2,29,"1;2","478m77XU",0,1,NA,0,1,2
7,0.5,2,6,2,35,"1;2","478m77XU",0,1,NA,0,1,2
8,0.823856025629757,2,12,2,47,"1;2","478m77XU",0,1,NA,0,1,2
9,0.5,2,12,2,59,"1;2","478m77XU",0,1,NA,0,1,2
10,0.533122054363575,2,24,2,83,"1;2","478m77XU",0,1,NA,0,1,2
11,0.928789960644619,2,-10,2,73,"1;2","478m77XU",0,1,NA,0,1,2
