"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.762375886069452,1,0,1,0,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
2,0.633122158311874,2,2,1,2,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
3,0.76417306811184,1,2,1,4,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
4,1.0347923643608,2,3,1,7,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
5,0.5,2,5,1,12,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
6,0.796009511195138,2,5,1,17,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
7,1.1069086993941,2,4,1,21,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
8,1.00371651046876,2,3,1,24,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
9,0.754080899132914,2,4,1,28,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
10,0.759155686281181,1,7,1,35,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
11,0.716401182401534,1,3,1,38,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
12,1.13894505509189,1,2,1,40,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
13,0.745072919349294,1,3,1,43,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
14,0.836243236524982,1,2,1,45,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
15,1.02744453934679,1,1,1,46,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
16,0.541910490880216,2,2,1,48,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
17,0.513470931162502,1,1,1,49,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
18,0.639142451854121,1,3,1,52,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
19,0.814582689805537,2,4,1,56,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
20,0.772154460516849,1,2,1,58,"1;2","4CGyFUVZ",100,4,7,0,1.4,1
1,0.992859300225027,1,-4,2,-4,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
2,1.01945782210737,2,1,2,-3,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
3,0.644046701578191,2,3,2,0,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
4,0.7024254069102,1,23,2,23,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
5,0.70038385132362,2,7,2,30,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
6,0.740571756493795,1,8,2,38,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
7,0.5,2,1,2,39,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
8,0.863383275652018,1,23,2,62,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
9,0.817435339312604,2,6,2,68,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
10,0.954366573075691,1,-8,2,60,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
11,0.781659084499526,1,23,2,83,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
12,0.838304357408499,2,5,2,88,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
13,0.5,2,6,2,94,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
14,0.773462130026812,2,4,2,98,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
15,1.04588497224402,1,11,2,109,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
16,0.5,2,2,2,111,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
17,0.766969060770388,1,-14,2,97,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
18,0.833908121485653,2,-1,2,96,"2;1","4CGyFUVZ",100,4,7,0,1.4,1
