"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.242627708716,1,2,1,2,"1;2","4haCxjh2",100,5,3,0,0.6,2
2,0.746311389664814,1,3,1,5,"1;2","4haCxjh2",100,5,3,0,0.6,2
3,0.821536678239856,1,0,1,5,"1;2","4haCxjh2",100,5,3,0,0.6,2
4,0.599739669169137,1,1,1,6,"1;2","4haCxjh2",100,5,3,0,0.6,2
5,0.562975225507951,1,5,1,11,"1;2","4haCxjh2",100,5,3,0,0.6,2
6,0.699001889778408,1,1,1,12,"1;2","4haCxjh2",100,5,3,0,0.6,2
7,0.736586639244755,1,-2,1,10,"1;2","4haCxjh2",100,5,3,0,0.6,2
8,0.590368536832869,1,4,1,14,"1;2","4haCxjh2",100,5,3,0,0.6,2
9,0.5,1,1,1,15,"1;2","4haCxjh2",100,5,3,0,0.6,2
10,0.640189204828124,1,1,1,16,"1;2","4haCxjh2",100,5,3,0,0.6,2
11,0.955833318238389,1,1,1,17,"1;2","4haCxjh2",100,5,3,0,0.6,2
12,0.766174167384494,1,7,1,24,"1;2","4haCxjh2",100,5,3,0,0.6,2
13,0.5,1,2,1,26,"1;2","4haCxjh2",100,5,3,0,0.6,2
14,0.576944297539731,1,0,1,26,"1;2","4haCxjh2",100,5,3,0,0.6,2
15,0.836374218047578,1,2,1,28,"1;2","4haCxjh2",100,5,3,0,0.6,2
16,1.09436901563563,2,1,1,29,"1;2","4haCxjh2",100,5,3,0,0.6,2
17,0.825969360059622,1,3,1,32,"1;2","4haCxjh2",100,5,3,0,0.6,2
18,1.30512104855565,1,4,1,36,"1;2","4haCxjh2",100,5,3,0,0.6,2
19,0.645839449817093,1,5,1,41,"1;2","4haCxjh2",100,5,3,0,0.6,2
20,0.596577491382967,1,2,1,43,"1;2","4haCxjh2",100,5,3,0,0.6,2
1,0.872115195653992,2,-4,2,-4,"1;2","4haCxjh2",100,5,3,0,0.6,2
2,0.978732358897516,2,-4,2,-8,"1;2","4haCxjh2",100,5,3,0,0.6,2
3,0.801638661848077,1,7,2,-1,"1;2","4haCxjh2",100,5,3,0,0.6,2
4,0.893361540217405,1,8,2,7,"1;2","4haCxjh2",100,5,3,0,0.6,2
5,0.836580521915159,1,4,2,11,"1;2","4haCxjh2",100,5,3,0,0.6,2
6,0.664333696051146,1,5,2,16,"1;2","4haCxjh2",100,5,3,0,0.6,2
