"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.777513216586479,1,1,1,1,"1;2","4r5dkmvY",100,6,2,0,0.4,1
2,0.83980195943086,1,5,1,6,"1;2","4r5dkmvY",100,6,2,0,0.4,1
3,0.863767011220598,1,6,1,12,"1;2","4r5dkmvY",100,6,2,0,0.4,1
4,0.786555774813527,2,6,1,18,"1;2","4r5dkmvY",100,6,2,0,0.4,1
5,0.829392649085787,1,3,1,21,"1;2","4r5dkmvY",100,6,2,0,0.4,1
6,0.810825949404635,2,3,1,24,"1;2","4r5dkmvY",100,6,2,0,0.4,1
7,0.860431723646664,1,0,1,24,"1;2","4r5dkmvY",100,6,2,0,0.4,1
8,1.01369283831522,1,1,1,25,"1;2","4r5dkmvY",100,6,2,0,0.4,1
9,1.21822185956283,1,5,1,30,"1;2","4r5dkmvY",100,6,2,0,0.4,1
10,0.613616800733966,1,2,1,32,"1;2","4r5dkmvY",100,6,2,0,0.4,1
11,0.714401095418754,1,2,1,34,"1;2","4r5dkmvY",100,6,2,0,0.4,1
12,0.958346313845742,1,3,1,37,"1;2","4r5dkmvY",100,6,2,0,0.4,1
13,0.61792165794604,1,6,1,43,"1;2","4r5dkmvY",100,6,2,0,0.4,1
14,0.659604672503245,1,3,1,46,"1;2","4r5dkmvY",100,6,2,0,0.4,1
15,0.765240153857327,1,5,1,51,"1;2","4r5dkmvY",100,6,2,0,0.4,1
16,0.682954935779805,1,5,1,56,"1;2","4r5dkmvY",100,6,2,0,0.4,1
17,0.809125958186452,1,1,1,57,"1;2","4r5dkmvY",100,6,2,0,0.4,1
18,0.575821559521043,1,1,1,58,"1;2","4r5dkmvY",100,6,2,0,0.4,1
19,0.839374977777109,2,1,1,59,"1;2","4r5dkmvY",100,6,2,0,0.4,1
20,0.978884100064523,2,3,1,62,"1;2","4r5dkmvY",100,6,2,0,0.4,1
1,0.719347384958271,1,3,2,3,"1;2","4r5dkmvY",100,6,2,0,0.4,1
2,0.694982874517828,2,14,2,17,"1;2","4r5dkmvY",100,6,2,0,0.4,1
3,0.724492991160448,2,-3,2,14,"1;2","4r5dkmvY",100,6,2,0,0.4,1
4,0.991282579507136,2,-5,2,9,"1;2","4r5dkmvY",100,6,2,0,0.4,1
5,1.03199741741374,2,1,2,10,"1;2","4r5dkmvY",100,6,2,0,0.4,1
6,0.790257304189851,1,3,2,13,"1;2","4r5dkmvY",100,6,2,0,0.4,1
7,1.11185745106106,2,-22,2,-9,"1;2","4r5dkmvY",100,6,2,0,0.4,1
8,0.577119802060297,2,-19,2,-28,"1;2","4r5dkmvY",100,6,2,0,0.4,1
9,0.506242631118199,2,-23,2,-51,"1;2","4r5dkmvY",100,6,2,0,0.4,1
10,0.833293347769749,2,11,2,-40,"1;2","4r5dkmvY",100,6,2,0,0.4,1
11,0.819108360318004,2,3,2,-37,"1;2","4r5dkmvY",100,6,2,0,0.4,1
12,0.925588235172569,2,27,2,-10,"1;2","4r5dkmvY",100,6,2,0,0.4,1
13,0.840201131333295,2,9,2,-1,"1;2","4r5dkmvY",100,6,2,0,0.4,1
14,0.77603921038913,2,4,2,3,"1;2","4r5dkmvY",100,6,2,0,0.4,1
15,0.5,2,-1,2,2,"1;2","4r5dkmvY",100,6,2,0,0.4,1
16,0.973431095766627,2,14,2,16,"1;2","4r5dkmvY",100,6,2,0,0.4,1
17,0.557854857124307,2,6,2,22,"1;2","4r5dkmvY",100,6,2,0,0.4,1
18,0.857511787787219,2,-16,2,6,"1;2","4r5dkmvY",100,6,2,0,0.4,1
19,1.40091432679346,2,-8,2,-2,"1;2","4r5dkmvY",100,6,2,0,0.4,1
20,0.638197471013735,2,-2,2,-4,"1;2","4r5dkmvY",100,6,2,0,0.4,1
21,1.15011807811992,2,12,2,8,"1;2","4r5dkmvY",100,6,2,0,0.4,1
22,0.504736444116501,2,7,2,15,"1;2","4r5dkmvY",100,6,2,0,0.4,1
23,1.16068149123479,1,2,2,17,"1;2","4r5dkmvY",100,6,2,0,0.4,1
24,1.22140710432087,2,-6,2,11,"1;2","4r5dkmvY",100,6,2,0,0.4,1
25,0.887823438560754,1,-2,2,9,"1;2","4r5dkmvY",100,6,2,0,0.4,1
1,0.64192360151031,1,-1,3,-1,"1;2","4r5dkmvY",100,6,2,0,0.4,1
2,0.523309986675077,1,0,3,-1,"1;2","4r5dkmvY",100,6,2,0,0.4,1
3,0.608611878720652,2,12,3,11,"1;2","4r5dkmvY",100,6,2,0,0.4,1
4,0.584583444060373,1,3,3,14,"1;2","4r5dkmvY",100,6,2,0,0.4,1
5,0.85990117491875,2,-5,3,9,"1;2","4r5dkmvY",100,6,2,0,0.4,1
6,0.94381032757253,2,9,3,18,"1;2","4r5dkmvY",100,6,2,0,0.4,1
7,0.837560604623893,2,15,3,33,"1;2","4r5dkmvY",100,6,2,0,0.4,1
8,0.788637920132855,2,11,3,44,"1;2","4r5dkmvY",100,6,2,0,0.4,1
9,0.575485885707628,2,-7,3,37,"1;2","4r5dkmvY",100,6,2,0,0.4,1
10,0.752340351503196,2,0,3,37,"1;2","4r5dkmvY",100,6,2,0,0.4,1
11,0.744974760604012,1,3,3,40,"1;2","4r5dkmvY",100,6,2,0,0.4,1
12,0.543234465786014,2,19,3,59,"1;2","4r5dkmvY",100,6,2,0,0.4,1
13,1.19424173800817,2,-11,3,48,"1;2","4r5dkmvY",100,6,2,0,0.4,1
14,0.922719770628162,2,-10,3,38,"1;2","4r5dkmvY",100,6,2,0,0.4,1
15,0.606361733367744,2,-7,3,31,"1;2","4r5dkmvY",100,6,2,0,0.4,1
16,0.5,2,-8,3,23,"1;2","4r5dkmvY",100,6,2,0,0.4,1
17,0.707027242784438,2,0,3,23,"1;2","4r5dkmvY",100,6,2,0,0.4,1
18,0.516569112183579,2,19,3,42,"1;2","4r5dkmvY",100,6,2,0,0.4,1
19,0.810952155216029,2,-3,3,39,"1;2","4r5dkmvY",100,6,2,0,0.4,1
20,1.01515085183212,2,8,3,47,"1;2","4r5dkmvY",100,6,2,0,0.4,1
21,1.05245144091787,2,16,3,63,"1;2","4r5dkmvY",100,6,2,0,0.4,1
22,1.38350120443141,2,-1,3,62,"1;2","4r5dkmvY",100,6,2,0,0.4,1
23,0.702281935599999,2,-5,3,57,"1;2","4r5dkmvY",100,6,2,0,0.4,1
24,0.976202217591356,2,-19,3,38,"1;2","4r5dkmvY",100,6,2,0,0.4,1
25,0.757193769921782,2,7,3,45,"1;2","4r5dkmvY",100,6,2,0,0.4,1
1,1.12710740374923,1,1,4,1,"2;1","4r5dkmvY",100,6,2,0,0.4,1
2,0.57304664985503,1,8,4,9,"2;1","4r5dkmvY",100,6,2,0,0.4,1
3,0.572378249904076,1,-13,4,-4,"2;1","4r5dkmvY",100,6,2,0,0.4,1
4,0.5,1,-10,4,-14,"2;1","4r5dkmvY",100,6,2,0,0.4,1
5,0.884666131775198,1,6,4,-8,"2;1","4r5dkmvY",100,6,2,0,0.4,1
6,0.818344857079875,1,-8,4,-16,"2;1","4r5dkmvY",100,6,2,0,0.4,1
7,0.579674916034368,1,-5,4,-21,"2;1","4r5dkmvY",100,6,2,0,0.4,1
8,0.977659715925497,2,4,4,-17,"2;1","4r5dkmvY",100,6,2,0,0.4,1
