"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.870096581415659,2,3,1,3,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
2,0.5,2,1,1,4,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
3,1.09194565991753,1,6,1,10,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
4,1.29973511072455,2,4,1,14,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
5,0.540482713142155,1,2,1,16,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
6,0.86807522622344,1,4,1,20,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
7,0.994538174626085,1,2,1,22,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
8,1.15511601547736,1,3,1,25,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
9,0.5,1,1,1,26,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
10,0.733711285517466,1,4,1,30,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
11,1.01249770717805,2,4,1,34,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
12,0.912794223528781,2,2,1,36,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
13,0.982595274213465,1,5,1,41,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
14,0.564089976995053,1,-1,1,40,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
15,0.55400820641805,1,1,1,41,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
16,0.809433656509641,2,4,1,45,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
17,0.625194200469626,1,1,1,46,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
18,0.874048508389039,1,8,1,54,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
19,1.1631966057491,1,5,1,59,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
20,0.968699513142365,2,2,1,61,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
1,0.749907632259284,2,3,2,3,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
2,0.729659148432414,2,4,2,7,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
3,0.5,1,-9,2,-2,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
4,0.866713496923238,1,-4,2,-6,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
5,0.8922072492322,2,2,2,-4,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
6,0.776652912683156,2,4,2,0,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
7,1.19747059337504,1,20,2,20,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
8,1.01227454948049,1,-3,2,17,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
9,0.749151304089752,1,3,2,20,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
10,1.07000852745886,1,0,2,20,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
11,0.637946979644212,1,-2,2,18,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
12,0.950454522203009,1,20,2,38,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
13,1.00744980983552,1,2,2,40,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
14,1.35181782382467,1,-18,2,22,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
15,0.760870282868102,1,24,2,46,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
16,0.947919295790845,1,-13,2,33,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
17,0.814288188807357,1,4,2,37,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
18,0.762528786886544,1,-10,2,27,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
19,0.742047269161293,1,11,2,38,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
20,0.667402923286824,1,-8,2,30,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
21,0.624905949400152,2,-1,2,29,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
22,1.02275191273469,1,15,2,44,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
23,1.27495804036073,2,2,2,46,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
24,0.951944640750628,1,17,2,63,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
25,0.542790769142349,2,2,2,65,"2;1","4rzfHUIJ",100,5,4,0,0.8,2
1,1.28035575939098,2,-4,3,-4,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
2,0.997588704361691,2,0,3,-4,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
3,0.691932532154748,2,4,3,0,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
4,1.16000810465004,2,-7,3,-7,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
5,0.5,2,-9,3,-16,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
6,0.763055476268033,1,1,3,-15,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
7,0.926522872571143,1,6,3,-9,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
8,0.81114360336012,1,3,3,-6,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
9,0.978705187235664,1,10,3,4,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
10,0.562019465632187,1,4,3,8,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
11,0.596530850102716,1,6,3,14,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
12,1.08204869474007,1,7,3,21,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
13,0.656797115793984,1,7,3,28,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
14,0.954392673870604,1,5,3,33,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
15,0.5,1,4,3,37,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
16,0.682470485655057,1,1,3,38,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
17,0.562157544369737,1,6,3,44,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
18,0.953887534757899,1,9,3,53,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
19,0.95182777572167,1,6,3,59,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
20,0.75274622878602,1,3,3,62,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
21,1.03956453250946,1,2,3,64,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
22,0.831887012101459,1,2,3,66,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
23,0.5,2,-13,3,53,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
24,0.7705216915846,2,8,3,61,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
25,0.760952218374833,2,-21,3,40,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
1,0.872548868200435,2,5,4,5,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
2,0.694929004808085,1,3,4,8,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
3,0.827233561177082,2,-9,4,-1,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
4,0.505627975433265,2,8,4,7,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
5,0.782149361324256,2,3,4,10,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
6,0.558406175163625,2,17,4,27,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
7,1.02872912103486,1,5,4,32,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
8,0.871049943220653,2,-10,4,22,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
9,0.961336032181843,2,14,4,36,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
10,0.994282087058613,2,18,4,54,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
11,0.82027330967556,2,23,4,77,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
12,1.22451785819948,2,5,4,82,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
13,0.969873340662192,1,3,4,85,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
14,0.982756069693734,1,2,4,87,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
15,0.5,1,8,4,95,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
16,0.830750647746464,1,4,4,99,"1;2","4rzfHUIJ",100,5,4,0,0.8,2
