"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.09768277998027,1,3,1,3,"1;2","4spJLN5C",100,6,4,0,0.8,3
2,0.610824340998209,1,3,1,6,"1;2","4spJLN5C",100,6,4,0,0.8,3
3,1.53204844348924,1,-3,1,3,"1;2","4spJLN5C",100,6,4,0,0.8,3
4,0.685010773233514,1,3,1,6,"1;2","4spJLN5C",100,6,4,0,0.8,3
5,0.805306562779218,1,3,1,9,"1;2","4spJLN5C",100,6,4,0,0.8,3
6,0.645174358143643,1,1,1,10,"1;2","4spJLN5C",100,6,4,0,0.8,3
7,1.07973263401063,1,5,1,15,"1;2","4spJLN5C",100,6,4,0,0.8,3
8,1.22387863438914,1,6,1,21,"1;2","4spJLN5C",100,6,4,0,0.8,3
9,0.624818235037934,1,3,1,24,"1;2","4spJLN5C",100,6,4,0,0.8,3
10,1.07070736252206,1,5,1,29,"1;2","4spJLN5C",100,6,4,0,0.8,3
11,0.5,1,6,1,35,"1;2","4spJLN5C",100,6,4,0,0.8,3
12,0.752999163277671,1,2,1,37,"1;2","4spJLN5C",100,6,4,0,0.8,3
13,0.534387638688452,1,4,1,41,"1;2","4spJLN5C",100,6,4,0,0.8,3
14,0.882541200849379,1,2,1,43,"1;2","4spJLN5C",100,6,4,0,0.8,3
15,1.36893253521208,2,1,1,44,"1;2","4spJLN5C",100,6,4,0,0.8,3
16,0.688707199515997,1,5,1,49,"1;2","4spJLN5C",100,6,4,0,0.8,3
17,1.10416662924603,1,6,1,55,"1;2","4spJLN5C",100,6,4,0,0.8,3
18,0.637683422094844,1,7,1,62,"1;2","4spJLN5C",100,6,4,0,0.8,3
19,0.509510752630174,2,7,1,69,"1;2","4spJLN5C",100,6,4,0,0.8,3
20,0.782791487254836,2,2,1,71,"1;2","4spJLN5C",100,6,4,0,0.8,3
1,0.798403014647116,2,1,2,1,"2;1","4spJLN5C",100,6,4,0,0.8,3
2,0.5,1,6,2,7,"2;1","4spJLN5C",100,6,4,0,0.8,3
3,0.818389759411344,1,-17,2,-10,"2;1","4spJLN5C",100,6,4,0,0.8,3
4,0.642410488252809,1,12,2,2,"2;1","4spJLN5C",100,6,4,0,0.8,3
5,0.510862714810996,1,7,2,9,"2;1","4spJLN5C",100,6,4,0,0.8,3
6,1.08906434104208,1,10,2,19,"2;1","4spJLN5C",100,6,4,0,0.8,3
7,0.755684945965487,1,-4,2,15,"2;1","4spJLN5C",100,6,4,0,0.8,3
8,0.753307941659259,2,3,2,18,"2;1","4spJLN5C",100,6,4,0,0.8,3
9,0.5,2,2,2,20,"2;1","4spJLN5C",100,6,4,0,0.8,3
10,0.746804614949541,1,15,2,35,"2;1","4spJLN5C",100,6,4,0,0.8,3
11,1.0231340253932,1,9,2,44,"2;1","4spJLN5C",100,6,4,0,0.8,3
12,0.537306545707952,2,0,2,44,"2;1","4spJLN5C",100,6,4,0,0.8,3
13,0.855654569612698,1,18,2,62,"2;1","4spJLN5C",100,6,4,0,0.8,3
14,0.999334779847194,1,21,2,83,"2;1","4spJLN5C",100,6,4,0,0.8,3
15,0.651592605576998,1,18,2,101,"2;1","4spJLN5C",100,6,4,0,0.8,3
16,0.5,1,3,2,104,"2;1","4spJLN5C",100,6,4,0,0.8,3
17,0.565142404970846,1,-21,2,83,"2;1","4spJLN5C",100,6,4,0,0.8,3
18,0.629496175431761,1,20,2,103,"2;1","4spJLN5C",100,6,4,0,0.8,3
19,0.5,2,0,2,103,"2;1","4spJLN5C",100,6,4,0,0.8,3
20,0.636185004959655,2,-1,2,102,"2;1","4spJLN5C",100,6,4,0,0.8,3
21,0.86609904804168,1,31,2,133,"2;1","4spJLN5C",100,6,4,0,0.8,3
22,0.692023235264745,2,0,2,133,"2;1","4spJLN5C",100,6,4,0,0.8,3
23,0.721675153139284,1,8,2,141,"2;1","4spJLN5C",100,6,4,0,0.8,3
24,0.559893143602601,2,7,2,148,"2;1","4spJLN5C",100,6,4,0,0.8,3
25,0.590938840363978,1,5,2,153,"2;1","4spJLN5C",100,6,4,0,0.8,3
1,0.761461533006961,2,3,3,3,"2;1","4spJLN5C",100,6,4,0,0.8,3
2,0.710453556224813,2,1,3,4,"2;1","4spJLN5C",100,6,4,0,0.8,3
3,0.520476144427307,2,1,3,5,"2;1","4spJLN5C",100,6,4,0,0.8,3
4,0.923953761994224,2,2,3,7,"2;1","4spJLN5C",100,6,4,0,0.8,3
5,0.829750558928312,2,5,3,12,"2;1","4spJLN5C",100,6,4,0,0.8,3
6,1.01761933968764,2,4,3,16,"2;1","4spJLN5C",100,6,4,0,0.8,3
7,0.94578180659961,2,5,3,21,"2;1","4spJLN5C",100,6,4,0,0.8,3
8,0.724684964207065,1,11,3,32,"2;1","4spJLN5C",100,6,4,0,0.8,3
9,1.13241644255728,2,5,3,37,"2;1","4spJLN5C",100,6,4,0,0.8,3
10,0.628765313110196,1,8,3,45,"2;1","4spJLN5C",100,6,4,0,0.8,3
11,0.806706980257439,1,13,3,58,"2;1","4spJLN5C",100,6,4,0,0.8,3
