"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,5,1,5,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
2,1.05008091919125,1,3,1,8,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
3,0.703645581159996,1,4,1,12,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
4,1.01388632528936,2,4,1,16,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
5,0.842983613858908,1,8,1,24,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
6,0.520306221826824,2,3,1,27,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
7,0.982376654346405,2,2,1,29,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
8,0.5,2,4,1,33,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
9,0.834012298525139,1,1,1,34,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
10,0.676976047397377,2,0,1,34,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
11,0.918844387788034,2,3,1,37,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
12,0.5,2,3,1,40,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
13,0.966084102046734,1,5,1,45,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
14,1.05795898524529,1,3,1,48,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
15,0.5,2,2,1,50,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
16,1.52830697896568,1,1,1,51,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
17,0.771403371665073,1,4,1,55,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
18,0.688524168985908,1,3,1,58,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
19,1.04086465205933,1,6,1,64,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
20,0.71841181128995,1,1,1,65,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
1,0.929364501488212,1,2,2,2,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
2,0.752354463795929,1,4,2,6,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
3,0.779001827874616,1,5,2,11,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
4,0.734073375669969,1,2,2,13,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
5,1.00385898664279,2,-2,2,11,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
6,1.09136854090005,1,-2,2,9,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
7,1.08040363555679,2,-10,2,-1,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
8,0.826051793691655,1,9,2,8,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
9,0.701304834847986,1,5,2,13,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
10,1.10657690983556,2,6,2,19,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
11,0.530174206668545,1,3,2,22,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
12,0.918007348468393,1,5,2,27,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
13,0.821593372450121,2,15,2,42,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
14,1.10030210421814,2,27,2,69,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
15,1.08934167337884,1,3,2,72,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
16,0.852903160859306,1,4,2,76,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
17,0.886880331257473,1,3,2,79,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
18,0.880238217184128,1,7,2,86,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
19,0.5,1,6,2,92,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
20,0.659050778629702,1,6,2,98,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
21,0.562411665058485,1,5,2,103,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
22,1.00535855751931,2,14,2,117,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
23,0.5,1,7,2,124,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
24,0.749456323708095,2,7,2,131,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
25,1.12046012329764,1,7,2,138,"1;2","5UmcKXtv",0,1,NA,0,1.04,1
1,0.599677220743934,2,4,3,4,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
2,0.804448904134759,2,4,3,8,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
3,1.15617869321105,1,5,3,13,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
4,0.578174711343916,2,4,3,17,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
5,0.65363027673534,1,13,3,30,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
6,0.872846972366459,2,1,3,31,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
7,0.5,2,4,3,35,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
8,0.852177241062702,2,3,3,38,"2;1","5UmcKXtv",0,1,NA,0,1.04,1
