"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.583858339408619,2,5,1,5,"2;1","5mTzyeOF",100,5,4,1,0.8,1
2,0.521783575429411,2,2,1,7,"2;1","5mTzyeOF",100,5,4,1,0.8,1
3,1.00481665014428,1,5,1,12,"2;1","5mTzyeOF",100,5,4,1,0.8,1
4,0.522526533500599,2,2,1,14,"2;1","5mTzyeOF",100,5,4,1,0.8,1
5,0.881459152923536,1,5,1,19,"2;1","5mTzyeOF",100,5,4,1,0.8,1
6,1.10374392041877,2,3,1,22,"2;1","5mTzyeOF",100,5,4,1,0.8,1
7,0.704163393842553,1,3,1,25,"2;1","5mTzyeOF",100,5,4,1,0.8,1
8,0.849733574878475,2,4,1,29,"2;1","5mTzyeOF",100,5,4,1,0.8,1
9,0.847034380976049,1,2,1,31,"2;1","5mTzyeOF",100,5,4,1,0.8,1
10,0.638211114426203,2,1,1,32,"2;1","5mTzyeOF",100,5,4,1,0.8,1
11,0.754742176730874,2,4,1,36,"2;1","5mTzyeOF",100,5,4,1,0.8,1
12,0.659334114805108,1,0,1,36,"2;1","5mTzyeOF",100,5,4,1,0.8,1
13,0.964151964857792,2,5,1,41,"2;1","5mTzyeOF",100,5,4,1,0.8,1
14,0.8313939716442,2,6,1,47,"2;1","5mTzyeOF",100,5,4,1,0.8,1
15,0.597612765578182,2,2,1,49,"2;1","5mTzyeOF",100,5,4,1,0.8,1
16,0.70087953439567,2,1,1,50,"2;1","5mTzyeOF",100,5,4,1,0.8,1
17,0.605667667260919,1,2,1,52,"2;1","5mTzyeOF",100,5,4,1,0.8,1
18,1.111294603053,1,3,1,55,"2;1","5mTzyeOF",100,5,4,1,0.8,1
19,0.827045878089538,2,3,1,58,"2;1","5mTzyeOF",100,5,4,1,0.8,1
20,0.998203855512774,1,4,1,62,"2;1","5mTzyeOF",100,5,4,1,0.8,1
1,0.86086274260194,2,-10,2,-10,"1;2","5mTzyeOF",100,5,4,1,0.8,1
2,0.792153150961615,2,-5,2,-15,"1;2","5mTzyeOF",100,5,4,1,0.8,1
3,0.869857210910289,2,1,2,-14,"1;2","5mTzyeOF",100,5,4,1,0.8,1
4,0.533004190059965,1,1,2,-13,"1;2","5mTzyeOF",100,5,4,1,0.8,1
5,0.66459130019812,1,5,2,-8,"1;2","5mTzyeOF",100,5,4,1,0.8,1
6,1.08069249835608,2,4,2,-4,"1;2","5mTzyeOF",100,5,4,1,0.8,1
7,0.821933798923568,2,-2,2,-6,"1;2","5mTzyeOF",100,5,4,1,0.8,1
8,0.5,2,1,2,-5,"1;2","5mTzyeOF",100,5,4,1,0.8,1
9,0.896919609381675,2,-23,2,-28,"1;2","5mTzyeOF",100,5,4,1,0.8,1
10,0.819136360616331,1,3,2,-25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
11,1.10065897558217,1,3,2,-22,"1;2","5mTzyeOF",100,5,4,1,0.8,1
12,0.835930846681892,2,9,2,-13,"1;2","5mTzyeOF",100,5,4,1,0.8,1
13,0.841808268808546,1,6,2,-7,"1;2","5mTzyeOF",100,5,4,1,0.8,1
14,1.35987536950974,2,-2,2,-9,"1;2","5mTzyeOF",100,5,4,1,0.8,1
15,0.649887790313797,1,3,2,-6,"1;2","5mTzyeOF",100,5,4,1,0.8,1
16,1.23760121738352,2,8,2,2,"1;2","5mTzyeOF",100,5,4,1,0.8,1
17,0.751903947955272,2,19,2,21,"1;2","5mTzyeOF",100,5,4,1,0.8,1
18,0.51577993335821,1,0,2,21,"1;2","5mTzyeOF",100,5,4,1,0.8,1
19,0.519384489043111,2,4,2,25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
20,0.5,2,14,2,39,"1;2","5mTzyeOF",100,5,4,1,0.8,1
21,1.12769360103778,2,-8,2,31,"1;2","5mTzyeOF",100,5,4,1,0.8,1
22,1.01480210940031,1,6,2,37,"1;2","5mTzyeOF",100,5,4,1,0.8,1
23,0.779170341101718,2,-3,2,34,"1;2","5mTzyeOF",100,5,4,1,0.8,1
24,1.09380964404818,2,-10,2,24,"1;2","5mTzyeOF",100,5,4,1,0.8,1
25,0.868448630403497,1,2,2,26,"1;2","5mTzyeOF",100,5,4,1,0.8,1
1,1.19375929114557,2,1,3,1,"1;2","5mTzyeOF",100,5,4,1,0.8,1
2,0.612636302868133,2,10,3,11,"1;2","5mTzyeOF",100,5,4,1,0.8,1
3,0.528104351275589,1,2,3,13,"1;2","5mTzyeOF",100,5,4,1,0.8,1
4,0.88497678395215,1,10,3,23,"1;2","5mTzyeOF",100,5,4,1,0.8,1
5,0.5,2,4,3,27,"1;2","5mTzyeOF",100,5,4,1,0.8,1
6,0.575174307430356,2,-3,3,24,"1;2","5mTzyeOF",100,5,4,1,0.8,1
7,0.930704176009061,1,1,3,25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
8,0.62711762918968,2,15,3,40,"1;2","5mTzyeOF",100,5,4,1,0.8,1
9,0.544590248748583,2,-2,3,38,"1;2","5mTzyeOF",100,5,4,1,0.8,1
10,0.772211554124705,2,10,3,48,"1;2","5mTzyeOF",100,5,4,1,0.8,1
11,1.22498300660545,1,4,3,52,"1;2","5mTzyeOF",100,5,4,1,0.8,1
12,0.760091585530434,1,3,3,55,"1;2","5mTzyeOF",100,5,4,1,0.8,1
13,0.542699012595014,2,16,3,71,"1;2","5mTzyeOF",100,5,4,1,0.8,1
14,0.5,1,2,3,73,"1;2","5mTzyeOF",100,5,4,1,0.8,1
15,0.5,2,1,3,74,"1;2","5mTzyeOF",100,5,4,1,0.8,1
16,0.5,2,5,3,79,"1;2","5mTzyeOF",100,5,4,1,0.8,1
17,0.939342071883813,2,-6,3,73,"1;2","5mTzyeOF",100,5,4,1,0.8,1
18,0.768974044156615,2,18,3,91,"1;2","5mTzyeOF",100,5,4,1,0.8,1
19,0.715934204643206,1,6,3,97,"1;2","5mTzyeOF",100,5,4,1,0.8,1
20,0.579725493133184,2,0,3,97,"1;2","5mTzyeOF",100,5,4,1,0.8,1
21,0.711013901227139,1,4,3,101,"1;2","5mTzyeOF",100,5,4,1,0.8,1
22,1.06970276873188,1,2,3,103,"1;2","5mTzyeOF",100,5,4,1,0.8,1
23,0.68335813232554,2,-13,3,90,"1;2","5mTzyeOF",100,5,4,1,0.8,1
24,0.5,2,8,3,98,"1;2","5mTzyeOF",100,5,4,1,0.8,1
25,0.601166578541735,1,4,3,102,"1;2","5mTzyeOF",100,5,4,1,0.8,1
1,0.5,1,3,4,3,"1;2","5mTzyeOF",100,5,4,1,0.8,1
2,0.829615452377936,2,-8,4,-5,"1;2","5mTzyeOF",100,5,4,1,0.8,1
3,0.5,2,-25,4,-30,"1;2","5mTzyeOF",100,5,4,1,0.8,1
4,1.03943730055625,1,4,4,-26,"1;2","5mTzyeOF",100,5,4,1,0.8,1
5,0.821886221565706,2,-14,4,-40,"1;2","5mTzyeOF",100,5,4,1,0.8,1
6,1.13043982319632,1,4,4,-36,"1;2","5mTzyeOF",100,5,4,1,0.8,1
7,1.03861075460281,2,14,4,-22,"1;2","5mTzyeOF",100,5,4,1,0.8,1
8,0.5100099542715,2,1,4,-21,"1;2","5mTzyeOF",100,5,4,1,0.8,1
9,0.645725822733189,1,6,4,-15,"1;2","5mTzyeOF",100,5,4,1,0.8,1
10,1.17060470730797,1,5,4,-10,"1;2","5mTzyeOF",100,5,4,1,0.8,1
11,0.93843315071011,2,8,4,-2,"1;2","5mTzyeOF",100,5,4,1,0.8,1
12,0.5,2,-11,4,-13,"1;2","5mTzyeOF",100,5,4,1,0.8,1
13,0.5,2,1,4,-12,"1;2","5mTzyeOF",100,5,4,1,0.8,1
14,0.865081278413917,2,-9,4,-21,"1;2","5mTzyeOF",100,5,4,1,0.8,1
15,0.5,2,-7,4,-28,"1;2","5mTzyeOF",100,5,4,1,0.8,1
16,1.00235523565327,1,2,4,-26,"1;2","5mTzyeOF",100,5,4,1,0.8,1
17,0.5,1,3,4,-23,"1;2","5mTzyeOF",100,5,4,1,0.8,1
18,0.839364381095906,2,-1,4,-24,"1;2","5mTzyeOF",100,5,4,1,0.8,1
19,1.18131811027606,2,-2,4,-26,"1;2","5mTzyeOF",100,5,4,1,0.8,1
20,0.912414266472879,1,1,4,-25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
21,0.794729117192102,2,-11,4,-36,"1;2","5mTzyeOF",100,5,4,1,0.8,1
22,0.5,1,3,4,-33,"1;2","5mTzyeOF",100,5,4,1,0.8,1
23,0.638371254384263,1,1,4,-32,"1;2","5mTzyeOF",100,5,4,1,0.8,1
24,0.5,1,5,4,-27,"1;2","5mTzyeOF",100,5,4,1,0.8,1
25,1.08775440916331,2,9,4,-18,"1;2","5mTzyeOF",100,5,4,1,0.8,1
1,1.44327078561642,1,7,5,7,"2;1","5mTzyeOF",100,5,4,1,0.8,1
2,0.648165784434408,2,10,5,17,"2;1","5mTzyeOF",100,5,4,1,0.8,1
3,1.05725981499216,1,0,5,17,"2;1","5mTzyeOF",100,5,4,1,0.8,1
4,0.876045723860574,2,6,5,23,"2;1","5mTzyeOF",100,5,4,1,0.8,1
5,0.64639995250367,1,-6,5,17,"2;1","5mTzyeOF",100,5,4,1,0.8,1
6,0.971821687706822,1,1,5,18,"2;1","5mTzyeOF",100,5,4,1,0.8,1
7,0.816174258103777,1,3,5,21,"2;1","5mTzyeOF",100,5,4,1,0.8,1
8,0.68741503160521,2,9,5,30,"2;1","5mTzyeOF",100,5,4,1,0.8,1
9,0.813673673263516,2,11,5,41,"2;1","5mTzyeOF",100,5,4,1,0.8,1
10,0.752712593502669,1,27,5,68,"2;1","5mTzyeOF",100,5,4,1,0.8,1
11,1.10946303539982,1,-1,5,67,"2;1","5mTzyeOF",100,5,4,1,0.8,1
12,0.910989200843313,2,4,5,71,"2;1","5mTzyeOF",100,5,4,1,0.8,1
13,0.579827428978391,2,9,5,80,"2;1","5mTzyeOF",100,5,4,1,0.8,1
14,0.699921640296355,2,3,5,83,"2;1","5mTzyeOF",100,5,4,1,0.8,1
15,0.5,1,-16,5,67,"2;1","5mTzyeOF",100,5,4,1,0.8,1
16,0.5,2,8,5,75,"2;1","5mTzyeOF",100,5,4,1,0.8,1
17,0.731411466004912,2,6,5,81,"2;1","5mTzyeOF",100,5,4,1,0.8,1
18,0.987164672998299,2,8,5,89,"2;1","5mTzyeOF",100,5,4,1,0.8,1
19,0.525910769121858,2,2,5,91,"2;1","5mTzyeOF",100,5,4,1,0.8,1
20,0.792871277963735,1,0,5,91,"2;1","5mTzyeOF",100,5,4,1,0.8,1
21,0.990443188617115,1,-3,5,88,"2;1","5mTzyeOF",100,5,4,1,0.8,1
22,1.11474018122928,2,5,5,93,"2;1","5mTzyeOF",100,5,4,1,0.8,1
23,0.666740036566462,2,7,5,100,"2;1","5mTzyeOF",100,5,4,1,0.8,1
24,1.15497085965872,2,5,5,105,"2;1","5mTzyeOF",100,5,4,1,0.8,1
25,1.09604990973857,2,1,5,106,"2;1","5mTzyeOF",100,5,4,1,0.8,1
1,0.650133815543234,1,4,6,4,"1;2","5mTzyeOF",100,5,4,1,0.8,1
2,1.24051855013995,1,-1,6,3,"1;2","5mTzyeOF",100,5,4,1,0.8,1
3,1.30169547937583,2,5,6,8,"1;2","5mTzyeOF",100,5,4,1,0.8,1
4,0.786271047000874,1,0,6,8,"1;2","5mTzyeOF",100,5,4,1,0.8,1
5,0.5,2,12,6,20,"1;2","5mTzyeOF",100,5,4,1,0.8,1
6,0.632143852287475,1,5,6,25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
7,0.861471677960217,2,-5,6,20,"1;2","5mTzyeOF",100,5,4,1,0.8,1
8,0.754273601442982,1,5,6,25,"1;2","5mTzyeOF",100,5,4,1,0.8,1
9,0.935366086874431,2,1,6,26,"1;2","5mTzyeOF",100,5,4,1,0.8,1
10,1.02657913971118,1,4,6,30,"1;2","5mTzyeOF",100,5,4,1,0.8,1
11,0.744854265241708,2,15,6,45,"1;2","5mTzyeOF",100,5,4,1,0.8,1
12,1.41897579462653,1,8,6,53,"1;2","5mTzyeOF",100,5,4,1,0.8,1
13,0.845974868009715,1,3,6,56,"1;2","5mTzyeOF",100,5,4,1,0.8,1
14,0.695121149168594,1,2,6,58,"1;2","5mTzyeOF",100,5,4,1,0.8,1
15,0.620596891182394,1,8,6,66,"1;2","5mTzyeOF",100,5,4,1,0.8,1
16,0.733664093887298,1,8,6,74,"1;2","5mTzyeOF",100,5,4,1,0.8,1
17,0.816388559688775,2,-6,6,68,"1;2","5mTzyeOF",100,5,4,1,0.8,1
18,0.977810563185993,1,6,6,74,"1;2","5mTzyeOF",100,5,4,1,0.8,1
19,0.746051067034465,1,8,6,82,"1;2","5mTzyeOF",100,5,4,1,0.8,1
20,0.626556679551812,2,8,6,90,"1;2","5mTzyeOF",100,5,4,1,0.8,1
21,0.5,1,2,6,92,"1;2","5mTzyeOF",100,5,4,1,0.8,1
22,0.682869548387622,2,5,6,97,"1;2","5mTzyeOF",100,5,4,1,0.8,1
23,0.688080533402377,1,4,6,101,"1;2","5mTzyeOF",100,5,4,1,0.8,1
24,0.5,1,4,6,105,"1;2","5mTzyeOF",100,5,4,1,0.8,1
25,0.685346225416163,1,5,6,110,"1;2","5mTzyeOF",100,5,4,1,0.8,1
1,0.855037702696235,2,6,7,6,"2;1","5mTzyeOF",100,5,4,1,0.8,1
2,0.924977839478095,2,2,7,8,"2;1","5mTzyeOF",100,5,4,1,0.8,1
