"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02518211684137,1,7,1,7,"1;2","6BMQIM18",100,6,1,0,0.2,3
2,0.602645652521201,1,3,1,10,"1;2","6BMQIM18",100,6,1,0,0.2,3
3,1.2531820202198,1,1,1,11,"1;2","6BMQIM18",100,6,1,0,0.2,3
4,0.924657127968141,1,1,1,12,"1;2","6BMQIM18",100,6,1,0,0.2,3
5,0.67941631428786,1,4,1,16,"1;2","6BMQIM18",100,6,1,0,0.2,3
6,0.82648802838137,1,1,1,17,"1;2","6BMQIM18",100,6,1,0,0.2,3
7,0.583013685258934,1,3,1,20,"1;2","6BMQIM18",100,6,1,0,0.2,3
8,0.505402341555564,1,4,1,24,"1;2","6BMQIM18",100,6,1,0,0.2,3
9,0.946569603888945,1,3,1,27,"1;2","6BMQIM18",100,6,1,0,0.2,3
10,0.535791306893849,1,1,1,28,"1;2","6BMQIM18",100,6,1,0,0.2,3
11,0.5,2,5,1,33,"1;2","6BMQIM18",100,6,1,0,0.2,3
12,0.5,1,3,1,36,"1;2","6BMQIM18",100,6,1,0,0.2,3
13,0.71648380299613,1,5,1,41,"1;2","6BMQIM18",100,6,1,0,0.2,3
14,1.02600346479945,1,5,1,46,"1;2","6BMQIM18",100,6,1,0,0.2,3
15,0.72944228962171,1,2,1,48,"1;2","6BMQIM18",100,6,1,0,0.2,3
16,1.03406734348941,1,1,1,49,"1;2","6BMQIM18",100,6,1,0,0.2,3
17,0.719664786699518,1,3,1,52,"1;2","6BMQIM18",100,6,1,0,0.2,3
18,0.78426467270702,1,3,1,55,"1;2","6BMQIM18",100,6,1,0,0.2,3
19,1.00140970043453,1,1,1,56,"1;2","6BMQIM18",100,6,1,0,0.2,3
20,0.922260083126699,1,7,1,63,"1;2","6BMQIM18",100,6,1,0,0.2,3
1,1.09548276314622,2,1,2,1,"2;1","6BMQIM18",100,6,1,0,0.2,3
2,0.527966248365542,2,7,2,8,"2;1","6BMQIM18",100,6,1,0,0.2,3
3,0.957725111438541,2,4,2,12,"2;1","6BMQIM18",100,6,1,0,0.2,3
