"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.825322150594908,2,2,1,2,"1;2","6G7Y688o",0,2,NA,1,1.19,2
2,0.5,2,4,1,6,"1;2","6G7Y688o",0,2,NA,1,1.19,2
3,0.528600136276677,2,2,1,8,"1;2","6G7Y688o",0,2,NA,1,1.19,2
4,1.15315523085246,1,4,1,12,"1;2","6G7Y688o",0,2,NA,1,1.19,2
5,0.898683867588249,2,3,1,15,"1;2","6G7Y688o",0,2,NA,1,1.19,2
6,1.07781819395884,1,1,1,16,"1;2","6G7Y688o",0,2,NA,1,1.19,2
7,0.779504550512673,2,3,1,19,"1;2","6G7Y688o",0,2,NA,1,1.19,2
8,0.887710222816512,2,3,1,22,"1;2","6G7Y688o",0,2,NA,1,1.19,2
9,0.673670286127512,2,6,1,28,"1;2","6G7Y688o",0,2,NA,1,1.19,2
10,0.53547753920966,2,0,1,28,"1;2","6G7Y688o",0,2,NA,1,1.19,2
11,0.893822674244721,1,3,1,31,"1;2","6G7Y688o",0,2,NA,1,1.19,2
12,0.757076084456633,2,4,1,35,"1;2","6G7Y688o",0,2,NA,1,1.19,2
13,0.916320544404566,2,1,1,36,"1;2","6G7Y688o",0,2,NA,1,1.19,2
14,0.887670846350985,2,3,1,39,"1;2","6G7Y688o",0,2,NA,1,1.19,2
15,0.820214898904939,2,2,1,41,"1;2","6G7Y688o",0,2,NA,1,1.19,2
16,0.854709149937714,2,3,1,44,"1;2","6G7Y688o",0,2,NA,1,1.19,2
17,0.5,2,0,1,44,"1;2","6G7Y688o",0,2,NA,1,1.19,2
18,0.974305466708297,1,1,1,45,"1;2","6G7Y688o",0,2,NA,1,1.19,2
19,1.11745668998468,2,4,1,49,"1;2","6G7Y688o",0,2,NA,1,1.19,2
20,0.924288338239989,2,6,1,55,"1;2","6G7Y688o",0,2,NA,1,1.19,2
1,0.5,1,7,2,7,"1;2","6G7Y688o",0,2,NA,1,1.19,2
2,0.703013319433776,1,2,2,9,"1;2","6G7Y688o",0,2,NA,1,1.19,2
3,0.649631689970705,1,3,2,12,"1;2","6G7Y688o",0,2,NA,1,1.19,2
4,0.700797830401247,1,4,2,16,"1;2","6G7Y688o",0,2,NA,1,1.19,2
5,0.872836708079459,1,4,2,20,"1;2","6G7Y688o",0,2,NA,1,1.19,2
6,0.604059624454954,1,3,2,23,"1;2","6G7Y688o",0,2,NA,1,1.19,2
