"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.683187314181465,1,2,1,2,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
2,0.950084202329052,1,1,1,3,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
3,0.66260328931821,1,5,1,8,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
4,1.04715502206863,1,3,1,11,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
5,0.962235787961087,1,2,1,13,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
6,0.767145548745146,1,0,1,13,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
7,0.722149268299888,1,-1,1,12,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
8,0.5,1,4,1,16,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
9,0.982390443185463,1,0,1,16,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
10,0.722564430133623,1,4,1,20,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
11,0.832014103527026,1,3,1,23,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
12,0.5,1,2,1,25,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
13,0.561644679324766,1,2,1,27,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
14,0.995251260979199,1,2,1,29,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
15,0.902337140612517,1,5,1,34,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
16,0.644218297243008,1,4,1,38,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
17,0.654553604423945,1,3,1,41,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
18,0.881628761627153,1,2,1,43,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
19,0.695032342113726,1,2,1,45,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
20,0.658290188923658,1,3,1,48,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
1,0.718658764947141,2,0,2,0,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
2,0.62935278862851,2,30,2,30,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
3,0.800076884559,2,-12,2,18,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
4,0.603821589185785,2,-3,2,15,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
5,1.16099275075202,2,9,2,24,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
6,0.980531360258987,2,-2,2,22,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
7,0.959700645542603,2,1,2,23,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
8,0.798334864470215,2,3,2,26,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
9,0.798896695298384,2,-10,2,16,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
10,0.5,1,7,2,23,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
11,0.71770996807122,2,14,2,37,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
12,1.09040679569379,2,2,2,39,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
13,0.878663698037502,2,2,2,41,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
14,0.87209235375808,2,20,2,61,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
15,0.864729791422823,2,14,2,75,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
16,0.5,2,13,2,88,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
17,0.837164735485989,2,2,2,90,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
18,1.03239585435674,2,22,2,112,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
19,0.5,2,4,2,116,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
20,0.862141628215772,2,16,2,132,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
21,0.5,2,-3,2,129,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
22,0.565363199772714,2,19,2,148,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
23,0.946415048013328,2,4,2,152,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
24,1.38272541372124,2,17,2,169,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
25,0.666740551451546,2,11,2,180,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
1,0.954859254518704,2,0,3,0,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
2,0.632878147998408,1,3,3,3,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
3,0.677977931707077,1,2,3,5,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
4,0.790718357360121,1,6,3,11,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
5,0.732074797160556,1,6,3,17,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
6,0.828589927966574,1,2,3,19,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
7,0.849437129397873,1,2,3,21,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
8,1.06010162398148,1,4,3,25,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
9,0.80900696921708,1,-1,3,24,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
10,0.584981030188343,1,6,3,30,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
11,0.835389456510389,1,1,3,31,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
12,0.83907853041084,1,6,3,37,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
13,0.759592089996268,1,5,3,42,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
14,1.36076555429731,1,4,3,46,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
15,0.791846247728647,2,-9,3,37,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
16,0.967390075689248,1,4,3,41,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
17,0.536791470053593,1,3,3,44,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
18,1.30432945556167,1,1,3,45,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
19,0.87123495170448,1,4,3,49,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
20,0.762327954483948,1,6,3,55,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
21,0.93024126214616,1,-1,3,54,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
22,0.711866644028602,1,6,3,60,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
23,0.90797256772006,1,8,3,68,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
24,1.04657394545573,1,5,3,73,"1;2","6Q8Tf4jz",0,2,NA,0,1.25,1
