"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.989873644158408,2,3,1,3,"2;1","6wYpy6dR",100,4,9,0,1.8,3
2,1.43464798487328,2,2,1,5,"2;1","6wYpy6dR",100,4,9,0,1.8,3
3,0.5,1,4,1,9,"2;1","6wYpy6dR",100,4,9,0,1.8,3
4,0.921343548867846,1,4,1,13,"2;1","6wYpy6dR",100,4,9,0,1.8,3
5,0.907892099542138,1,6,1,19,"2;1","6wYpy6dR",100,4,9,0,1.8,3
6,0.601082102969477,2,6,1,25,"2;1","6wYpy6dR",100,4,9,0,1.8,3
7,1.01081313956455,2,7,1,32,"2;1","6wYpy6dR",100,4,9,0,1.8,3
8,0.53549974648639,1,4,1,36,"2;1","6wYpy6dR",100,4,9,0,1.8,3
9,0.918289632310149,2,4,1,40,"2;1","6wYpy6dR",100,4,9,0,1.8,3
10,0.910201198115492,2,2,1,42,"2;1","6wYpy6dR",100,4,9,0,1.8,3
11,0.814661816915568,1,2,1,44,"2;1","6wYpy6dR",100,4,9,0,1.8,3
12,0.663856829150423,2,4,1,48,"2;1","6wYpy6dR",100,4,9,0,1.8,3
13,0.706705553425136,2,4,1,52,"2;1","6wYpy6dR",100,4,9,0,1.8,3
14,1.12852347819205,2,1,1,53,"2;1","6wYpy6dR",100,4,9,0,1.8,3
15,0.927727543360802,1,4,1,57,"2;1","6wYpy6dR",100,4,9,0,1.8,3
16,0.5,1,1,1,58,"2;1","6wYpy6dR",100,4,9,0,1.8,3
17,1.02265754870324,2,5,1,63,"2;1","6wYpy6dR",100,4,9,0,1.8,3
18,1.23522033532041,1,4,1,67,"2;1","6wYpy6dR",100,4,9,0,1.8,3
19,0.881555412805797,2,4,1,71,"2;1","6wYpy6dR",100,4,9,0,1.8,3
20,0.735632323077886,2,-1,1,70,"2;1","6wYpy6dR",100,4,9,0,1.8,3
1,0.734649565449097,1,4,2,4,"1;2","6wYpy6dR",100,4,9,0,1.8,3
2,0.645055494182752,1,13,2,17,"1;2","6wYpy6dR",100,4,9,0,1.8,3
3,0.785104157873716,1,6,2,23,"1;2","6wYpy6dR",100,4,9,0,1.8,3
