"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.539489388725058,1,2,1,2,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
2,1.13498053046687,1,2,1,4,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
3,0.532964449412336,1,4,1,8,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
4,0.637587021345812,1,3,1,11,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
5,0.685408544886918,1,2,1,13,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
6,1.22470726746059,1,3,1,16,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
7,0.509606012450196,1,7,1,23,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
8,1.23746378170883,2,1,1,24,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
9,0.953642673929014,1,3,1,27,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
10,0.646901285830173,2,2,1,29,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
11,0.9566357748054,1,1,1,30,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
12,0.983364849426951,1,4,1,34,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
13,0.515203524084617,1,2,1,36,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
14,0.948091728889147,1,1,1,37,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
15,1.07056025959149,1,4,1,41,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
16,0.754609518653912,2,1,1,42,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
17,0.653247677083855,1,-2,1,40,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
18,0.71177277328397,2,4,1,44,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
19,1.06230760997951,2,4,1,48,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
20,0.841723129016376,2,3,1,51,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
1,1.02564694850219,1,5,2,5,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
2,0.77874783069626,1,6,2,11,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
3,0.902689951786138,2,15,2,26,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
4,1.12100413335173,2,4,2,30,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
5,1.04012674515509,2,27,2,57,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
6,0.796546515388438,2,7,2,64,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
7,0.804540612929831,2,22,2,86,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
8,0.5,2,11,2,97,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
9,0.910135386206613,1,0,2,97,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
10,0.895085669989093,2,21,2,118,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
11,1.11436321833589,2,8,2,126,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
12,0.917183063196945,2,-14,2,112,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
13,0.5,1,1,2,113,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
14,0.967789720516585,1,-1,2,112,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
15,0.967873178340079,1,6,2,118,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
16,0.641695152002997,1,2,2,120,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
17,0.744149392657951,1,6,2,126,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
18,0.685075604219157,1,4,2,130,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
19,1.04706561819778,1,-2,2,128,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
20,0.623246227701316,2,-3,2,125,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
21,0.9027757162293,1,-2,2,123,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
22,1.22464820790462,1,5,2,128,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
23,0.782755989219719,1,5,2,133,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
24,0.845865326866411,1,4,2,137,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
25,0.987747919957339,1,4,2,141,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
1,0.834080638384245,2,3,3,3,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
2,0.962409720976726,2,2,3,5,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
3,0.775778812882549,2,6,3,11,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
4,0.745889379492422,2,6,3,17,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
5,0.5,2,1,3,18,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
6,0.77986646679273,2,0,3,18,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
7,0.871257808699881,1,21,3,39,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
8,0.750472566097817,1,12,3,51,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
9,0.751007472623955,1,3,3,54,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
10,0.898711879835478,1,10,3,64,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
11,0.81176821830899,2,1,3,65,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
12,0.5,1,21,3,86,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
13,0.989494211876497,1,-38,3,48,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
14,0.873938955058236,2,5,3,53,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
15,0.91866436746819,2,3,3,56,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
16,1.07848880772792,2,7,3,63,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
17,0.516197616465251,1,-8,3,55,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
18,1.03163143106052,2,-1,3,54,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
19,0.601506744477869,2,0,3,54,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
20,0.650390503111361,1,-13,3,41,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
21,0.715230880204537,1,-20,3,21,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
22,0.658697750294238,2,3,3,24,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
23,0.61934520662122,2,6,3,30,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
24,1.12802940388723,1,16,3,46,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
25,0.535956885044438,2,0,3,46,"2;1","6xVMkUqj",0,3,NA,0,0.63,1
1,0.653998497238401,1,2,4,2,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
2,1.0824922157809,1,2,4,4,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
3,0.592843783908993,1,0,4,4,"1;2","6xVMkUqj",0,3,NA,0,0.63,1
