"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03438207073269,1,4,1,4,"2;1","73RMLGkI",0,2,NA,2,1.12,1
2,0.783439165763287,2,2,1,6,"2;1","73RMLGkI",0,2,NA,2,1.12,1
3,1.16022469535053,2,0,1,6,"2;1","73RMLGkI",0,2,NA,2,1.12,1
4,0.950117526383683,1,5,1,11,"2;1","73RMLGkI",0,2,NA,2,1.12,1
5,0.521268435442651,1,4,1,15,"2;1","73RMLGkI",0,2,NA,2,1.12,1
6,0.644365377157295,1,3,1,18,"2;1","73RMLGkI",0,2,NA,2,1.12,1
7,0.825222565132455,1,7,1,25,"2;1","73RMLGkI",0,2,NA,2,1.12,1
8,0.728309566171029,1,4,1,29,"2;1","73RMLGkI",0,2,NA,2,1.12,1
9,1.14654015504248,2,4,1,33,"2;1","73RMLGkI",0,2,NA,2,1.12,1
10,1.13441187870721,1,3,1,36,"2;1","73RMLGkI",0,2,NA,2,1.12,1
11,1.51558155319245,1,3,1,39,"2;1","73RMLGkI",0,2,NA,2,1.12,1
12,0.887143907526127,2,6,1,45,"2;1","73RMLGkI",0,2,NA,2,1.12,1
13,0.608894675709761,1,4,1,49,"2;1","73RMLGkI",0,2,NA,2,1.12,1
14,0.738553743888419,2,2,1,51,"2;1","73RMLGkI",0,2,NA,2,1.12,1
15,0.539013483017607,1,0,1,51,"2;1","73RMLGkI",0,2,NA,2,1.12,1
16,0.543232574987686,2,4,1,55,"2;1","73RMLGkI",0,2,NA,2,1.12,1
17,1.06431097613433,2,3,1,58,"2;1","73RMLGkI",0,2,NA,2,1.12,1
18,0.507214943448073,1,5,1,63,"2;1","73RMLGkI",0,2,NA,2,1.12,1
19,1.23327096785482,2,0,1,63,"2;1","73RMLGkI",0,2,NA,2,1.12,1
20,0.5,2,5,1,68,"2;1","73RMLGkI",0,2,NA,2,1.12,1
1,0.5,1,7,2,7,"1;2","73RMLGkI",0,2,NA,2,1.12,1
2,0.564729403834607,2,-5,2,2,"1;2","73RMLGkI",0,2,NA,2,1.12,1
3,0.825599367912253,1,1,2,3,"1;2","73RMLGkI",0,2,NA,2,1.12,1
4,0.5,2,15,2,18,"1;2","73RMLGkI",0,2,NA,2,1.12,1
5,0.674956737721809,1,4,2,22,"1;2","73RMLGkI",0,2,NA,2,1.12,1
6,0.609136674086982,2,6,2,28,"1;2","73RMLGkI",0,2,NA,2,1.12,1
7,0.888452708322857,1,3,2,31,"1;2","73RMLGkI",0,2,NA,2,1.12,1
8,0.810350987692686,2,12,2,43,"1;2","73RMLGkI",0,2,NA,2,1.12,1
9,0.757946559953307,2,-7,2,36,"1;2","73RMLGkI",0,2,NA,2,1.12,1
10,0.570723556388474,1,3,2,39,"1;2","73RMLGkI",0,2,NA,2,1.12,1
11,0.617962773167208,2,0,2,39,"1;2","73RMLGkI",0,2,NA,2,1.12,1
12,0.998575954921895,2,-10,2,29,"1;2","73RMLGkI",0,2,NA,2,1.12,1
13,1.35678992983755,1,3,2,32,"1;2","73RMLGkI",0,2,NA,2,1.12,1
14,0.639840420245007,2,2,2,34,"1;2","73RMLGkI",0,2,NA,2,1.12,1
15,0.5,1,7,2,41,"1;2","73RMLGkI",0,2,NA,2,1.12,1
16,0.780886417904331,1,3,2,44,"1;2","73RMLGkI",0,2,NA,2,1.12,1
17,0.704051058821639,1,7,2,51,"1;2","73RMLGkI",0,2,NA,2,1.12,1
18,0.997151663872035,1,2,2,53,"1;2","73RMLGkI",0,2,NA,2,1.12,1
19,0.609620487172832,1,4,2,57,"1;2","73RMLGkI",0,2,NA,2,1.12,1
20,0.975115490049618,2,8,2,65,"1;2","73RMLGkI",0,2,NA,2,1.12,1
21,0.767980238736362,1,4,2,69,"1;2","73RMLGkI",0,2,NA,2,1.12,1
22,0.765029129268706,2,-23,2,46,"1;2","73RMLGkI",0,2,NA,2,1.12,1
23,1.05855179710046,1,6,2,52,"1;2","73RMLGkI",0,2,NA,2,1.12,1
24,0.50834080657347,2,-2,2,50,"1;2","73RMLGkI",0,2,NA,2,1.12,1
25,0.994787998018509,2,13,2,63,"1;2","73RMLGkI",0,2,NA,2,1.12,1
1,0.847730091763864,2,14,3,14,"1;2","73RMLGkI",0,2,NA,2,1.12,1
2,0.5,2,-1,3,13,"1;2","73RMLGkI",0,2,NA,2,1.12,1
3,0.600355494987266,2,11,3,24,"1;2","73RMLGkI",0,2,NA,2,1.12,1
4,0.925004085965737,1,3,3,27,"1;2","73RMLGkI",0,2,NA,2,1.12,1
5,1.2033189645392,1,5,3,32,"1;2","73RMLGkI",0,2,NA,2,1.12,1
6,0.907112630003919,2,8,3,40,"1;2","73RMLGkI",0,2,NA,2,1.12,1
7,0.828776874743535,2,6,3,46,"1;2","73RMLGkI",0,2,NA,2,1.12,1
8,0.6937176396387,1,7,3,53,"1;2","73RMLGkI",0,2,NA,2,1.12,1
9,0.5,2,0,3,53,"1;2","73RMLGkI",0,2,NA,2,1.12,1
10,0.743409626881092,2,1,3,54,"1;2","73RMLGkI",0,2,NA,2,1.12,1
11,0.5,2,13,3,67,"1;2","73RMLGkI",0,2,NA,2,1.12,1
12,0.747548680876107,2,6,3,73,"1;2","73RMLGkI",0,2,NA,2,1.12,1
13,1.03070393735269,1,6,3,79,"1;2","73RMLGkI",0,2,NA,2,1.12,1
14,0.793893037100812,1,2,3,81,"1;2","73RMLGkI",0,2,NA,2,1.12,1
15,0.719301134291868,1,5,3,86,"1;2","73RMLGkI",0,2,NA,2,1.12,1
16,1.2619856501495,1,6,3,92,"1;2","73RMLGkI",0,2,NA,2,1.12,1
17,1.03813709302642,1,6,3,98,"1;2","73RMLGkI",0,2,NA,2,1.12,1
18,0.838787434344028,2,11,3,109,"1;2","73RMLGkI",0,2,NA,2,1.12,1
19,0.624553004409139,2,-1,3,108,"1;2","73RMLGkI",0,2,NA,2,1.12,1
20,0.93786961196259,1,4,3,112,"1;2","73RMLGkI",0,2,NA,2,1.12,1
