"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.08394909314244,1,6,1,6,"2;1","73mtJlJD",0,2,NA,0,0.72,2
2,0.5,1,1,1,7,"2;1","73mtJlJD",0,2,NA,0,0.72,2
3,1.063338518577,2,1,1,8,"2;1","73mtJlJD",0,2,NA,0,0.72,2
4,0.685005981181647,1,5,1,13,"2;1","73mtJlJD",0,2,NA,0,0.72,2
5,0.793298240604307,1,5,1,18,"2;1","73mtJlJD",0,2,NA,0,0.72,2
6,0.916079862425811,1,5,1,23,"2;1","73mtJlJD",0,2,NA,0,0.72,2
7,1.17652886031523,2,6,1,29,"2;1","73mtJlJD",0,2,NA,0,0.72,2
8,0.791330299721044,1,5,1,34,"2;1","73mtJlJD",0,2,NA,0,0.72,2
9,0.674164090177908,1,1,1,35,"2;1","73mtJlJD",0,2,NA,0,0.72,2
10,0.893390713610993,2,3,1,38,"2;1","73mtJlJD",0,2,NA,0,0.72,2
11,0.759004185518924,2,3,1,41,"2;1","73mtJlJD",0,2,NA,0,0.72,2
12,1.07282713954312,1,4,1,45,"2;1","73mtJlJD",0,2,NA,0,0.72,2
13,0.695883643180981,1,-1,1,44,"2;1","73mtJlJD",0,2,NA,0,0.72,2
14,0.853810723652348,2,3,1,47,"2;1","73mtJlJD",0,2,NA,0,0.72,2
15,0.743983892377223,2,3,1,50,"2;1","73mtJlJD",0,2,NA,0,0.72,2
16,0.583017162130428,2,4,1,54,"2;1","73mtJlJD",0,2,NA,0,0.72,2
17,0.5,1,-1,1,53,"2;1","73mtJlJD",0,2,NA,0,0.72,2
18,0.880737158366417,2,2,1,55,"2;1","73mtJlJD",0,2,NA,0,0.72,2
19,1.16302397436224,2,4,1,59,"2;1","73mtJlJD",0,2,NA,0,0.72,2
20,1.09077435636842,2,6,1,65,"2;1","73mtJlJD",0,2,NA,0,0.72,2
1,1.47247704303948,1,17,2,17,"2;1","73mtJlJD",0,2,NA,0,0.72,2
2,0.749048917407916,1,18,2,35,"2;1","73mtJlJD",0,2,NA,0,0.72,2
3,0.571230404560831,1,-21,2,14,"2;1","73mtJlJD",0,2,NA,0,0.72,2
4,0.978548762701584,2,1,2,15,"2;1","73mtJlJD",0,2,NA,0,0.72,2
5,0.579493279677019,2,3,2,18,"2;1","73mtJlJD",0,2,NA,0,0.72,2
6,0.977916179121702,2,2,2,20,"2;1","73mtJlJD",0,2,NA,0,0.72,2
7,0.708504081740125,1,-2,2,18,"2;1","73mtJlJD",0,2,NA,0,0.72,2
8,0.90188384976757,2,4,2,22,"2;1","73mtJlJD",0,2,NA,0,0.72,2
9,1.45674489636737,1,2,2,24,"2;1","73mtJlJD",0,2,NA,0,0.72,2
10,1.31302941426819,2,7,2,31,"2;1","73mtJlJD",0,2,NA,0,0.72,2
11,0.775387337060973,2,4,2,35,"2;1","73mtJlJD",0,2,NA,0,0.72,2
12,0.863564012103701,1,-7,2,28,"2;1","73mtJlJD",0,2,NA,0,0.72,2
13,0.949008415480112,1,4,2,32,"2;1","73mtJlJD",0,2,NA,0,0.72,2
