"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.754316446650711,1,3,1,3,"2;1","77TjcgSd",0,3,NA,0,0.87,1
2,0.5,1,2,1,5,"2;1","77TjcgSd",0,3,NA,0,0.87,1
3,0.624061695114809,1,5,1,10,"2;1","77TjcgSd",0,3,NA,0,0.87,1
4,0.544070029979011,2,5,1,15,"2;1","77TjcgSd",0,3,NA,0,0.87,1
5,0.971319214820128,2,3,1,18,"2;1","77TjcgSd",0,3,NA,0,0.87,1
6,0.658300005459169,1,2,1,20,"2;1","77TjcgSd",0,3,NA,0,0.87,1
7,0.5681966363931,1,1,1,21,"2;1","77TjcgSd",0,3,NA,0,0.87,1
8,1.33189975968613,2,5,1,26,"2;1","77TjcgSd",0,3,NA,0,0.87,1
9,0.937717138022444,2,5,1,31,"2;1","77TjcgSd",0,3,NA,0,0.87,1
10,1.16326507463643,2,3,1,34,"2;1","77TjcgSd",0,3,NA,0,0.87,1
11,0.951195750195881,2,7,1,41,"2;1","77TjcgSd",0,3,NA,0,0.87,1
12,1.18080842564493,2,6,1,47,"2;1","77TjcgSd",0,3,NA,0,0.87,1
13,0.919625201283479,1,5,1,52,"2;1","77TjcgSd",0,3,NA,0,0.87,1
14,1.2239480487063,2,5,1,57,"2;1","77TjcgSd",0,3,NA,0,0.87,1
15,0.744428647579723,2,4,1,61,"2;1","77TjcgSd",0,3,NA,0,0.87,1
16,0.917062395721438,1,3,1,64,"2;1","77TjcgSd",0,3,NA,0,0.87,1
17,0.586042370127034,1,2,1,66,"2;1","77TjcgSd",0,3,NA,0,0.87,1
18,0.856116931942071,1,1,1,67,"2;1","77TjcgSd",0,3,NA,0,0.87,1
19,0.978811668162018,2,2,1,69,"2;1","77TjcgSd",0,3,NA,0,0.87,1
20,1.15234218103013,2,2,1,71,"2;1","77TjcgSd",0,3,NA,0,0.87,1
1,1.2992766168758,1,6,2,6,"1;2","77TjcgSd",0,3,NA,0,0.87,1
2,0.606549037302178,1,1,2,7,"1;2","77TjcgSd",0,3,NA,0,0.87,1
3,0.5,2,9,2,16,"1;2","77TjcgSd",0,3,NA,0,0.87,1
4,0.824668199640147,2,0,2,16,"1;2","77TjcgSd",0,3,NA,0,0.87,1
5,0.755530753416408,1,-3,2,13,"1;2","77TjcgSd",0,3,NA,0,0.87,1
6,0.977481846606395,1,0,2,13,"1;2","77TjcgSd",0,3,NA,0,0.87,1
7,1.23263059096686,2,8,2,21,"1;2","77TjcgSd",0,3,NA,0,0.87,1
8,0.727952548782289,1,2,2,23,"1;2","77TjcgSd",0,3,NA,0,0.87,1
9,0.728016129005444,2,13,2,36,"1;2","77TjcgSd",0,3,NA,0,0.87,1
10,0.986161229280856,2,17,2,53,"1;2","77TjcgSd",0,3,NA,0,0.87,1
11,0.927822783152379,1,2,2,55,"1;2","77TjcgSd",0,3,NA,0,0.87,1
12,0.572989886563941,1,4,2,59,"1;2","77TjcgSd",0,3,NA,0,0.87,1
13,0.802160943748377,1,1,2,60,"1;2","77TjcgSd",0,3,NA,0,0.87,1
14,0.617116455531904,1,1,2,61,"1;2","77TjcgSd",0,3,NA,0,0.87,1
15,0.554941265541393,2,4,2,65,"1;2","77TjcgSd",0,3,NA,0,0.87,1
16,0.5,2,1,2,66,"1;2","77TjcgSd",0,3,NA,0,0.87,1
17,0.942008746989462,2,16,2,82,"1;2","77TjcgSd",0,3,NA,0,0.87,1
18,0.559253438726402,2,-3,2,79,"1;2","77TjcgSd",0,3,NA,0,0.87,1
19,0.576011198866581,2,29,2,108,"1;2","77TjcgSd",0,3,NA,0,0.87,1
20,1.18130234319985,2,6,2,114,"1;2","77TjcgSd",0,3,NA,0,0.87,1
21,1.05725446554865,1,6,2,120,"1;2","77TjcgSd",0,3,NA,0,0.87,1
22,0.736722334957449,2,-1,2,119,"1;2","77TjcgSd",0,3,NA,0,0.87,1
23,0.5,2,9,2,128,"1;2","77TjcgSd",0,3,NA,0,0.87,1
24,0.663300940206759,2,0,2,128,"1;2","77TjcgSd",0,3,NA,0,0.87,1
25,0.723659449040434,2,-1,2,127,"1;2","77TjcgSd",0,3,NA,0,0.87,1
1,0.937305879668515,2,-9,3,-9,"1;2","77TjcgSd",0,3,NA,0,0.87,1
2,0.721533806151614,2,11,3,2,"1;2","77TjcgSd",0,3,NA,0,0.87,1
3,1.33376691927993,2,-5,3,-3,"1;2","77TjcgSd",0,3,NA,0,0.87,1
4,0.839987610476475,2,17,3,14,"1;2","77TjcgSd",0,3,NA,0,0.87,1
5,0.531758279630811,1,2,3,16,"1;2","77TjcgSd",0,3,NA,0,0.87,1
6,0.623589500621238,2,-10,3,6,"1;2","77TjcgSd",0,3,NA,0,0.87,1
