"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.620601988538109,2,3,1,3,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
2,0.512268183565158,2,3,1,6,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
3,0.78410798053482,2,8,1,14,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
4,1.11881649329359,2,0,1,14,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
5,1.06592411070042,2,10,1,24,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
6,0.634299719724042,1,0,1,24,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
7,0.652085760519909,2,3,1,27,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
8,0.5,2,7,1,34,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
9,1.08631856453042,2,4,1,38,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
10,0.94871235176613,2,4,1,42,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
11,0.5,2,4,1,46,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
12,0.836335488911339,2,4,1,50,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
13,0.991123070043987,2,0,1,50,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
14,0.510334453304179,2,3,1,53,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
15,0.765988890423381,2,2,1,55,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
16,0.717583044761456,2,4,1,59,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
17,0.5,2,4,1,63,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
18,0.5,2,0,1,63,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
19,0.5,2,0,1,63,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
20,0.5,2,4,1,67,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
1,0.725373039384324,1,5,2,5,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
2,0.930077301237215,2,0,2,5,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
3,0.818389438541167,1,9,2,14,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
4,1.14198420428966,2,0,2,14,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
5,1.05244145016561,1,-13,2,1,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
6,0.983298546775875,2,3,2,4,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
7,0.659183947729869,2,4,2,8,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
8,0.955829243776182,1,-11,2,-3,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
9,0.521575409596859,2,6,2,3,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
10,0.722422887438341,2,6,2,9,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
11,0.5,2,3,2,12,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
12,0.901899713328273,2,4,2,16,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
13,0.882641818036117,2,2,2,18,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
14,0.5,2,6,2,24,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
15,0.53422265505383,2,3,2,27,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
16,0.602334503427155,2,5,2,32,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
17,0.909109658304137,2,5,2,37,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
18,0.869389265155404,2,3,2,40,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
19,0.5,2,2,2,42,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
20,0.573155271160129,2,7,2,49,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
21,0.630317620473516,2,7,2,56,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
22,0.5,2,4,2,60,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
23,0.987240991383875,2,0,2,60,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
24,0.563119857696687,1,6,2,66,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
25,0.778873056157601,1,-13,2,53,"2;1","7QvqDHiJ",0,1,NA,0,0.96,3
1,0.671106545579533,2,12,3,12,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
2,0.8370013074828,2,9,3,21,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
3,0.5,2,3,3,24,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
4,0.752851803640272,2,-11,3,13,"1;2","7QvqDHiJ",0,1,NA,0,0.96,3
