"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.990083507920466,1,3,1,3,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
2,0.671269826633938,2,8,1,11,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
3,0.575501843662005,2,1,1,12,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
4,0.5,1,4,1,16,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
5,0.812325399295108,2,4,1,20,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
6,0.5,2,10,1,30,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
7,0.783958052171531,2,5,1,35,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
8,0.844444158764477,2,5,1,40,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
9,0.696743343867316,2,3,1,43,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
10,0.600105854294141,1,1,1,44,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
11,0.980344472343744,2,6,1,50,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
12,0.640804019458756,1,0,1,50,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
13,0.689298752448274,1,1,1,51,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
14,0.580594067811246,2,2,1,53,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
15,0.5,2,2,1,55,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
16,0.5,2,2,1,57,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
17,0.863484517299688,2,5,1,62,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
18,0.568435940806643,2,1,1,63,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
19,0.566052393967738,2,4,1,67,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
20,0.83143747100787,2,4,1,71,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
1,0.697345392550509,2,-5,2,-5,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
2,0.791793197635533,1,3,2,-2,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
3,0.512955007997891,1,5,2,3,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
4,0.667224334816282,1,3,2,6,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
5,0.988124809536231,1,5,2,11,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
6,0.5,1,1,2,12,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
7,0.785268255825695,1,-1,2,11,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
8,0.586074378082377,2,22,2,33,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
9,0.775862804715594,2,0,2,33,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
10,0.737954563755749,2,12,2,45,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
11,1.13225870432876,1,7,2,52,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
12,0.871852730426899,1,1,2,53,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
13,0.902396548146244,2,15,2,68,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
14,0.898264578372143,1,2,2,70,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
15,0.972453591172398,2,1,2,71,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
16,0.949086965588332,2,-19,2,52,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
17,0.95309335136888,1,1,2,53,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
18,0.592307865468753,1,10,2,63,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
19,1.23211754183648,1,4,2,67,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
20,0.685371614655258,1,8,2,75,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
21,0.91245879989301,1,6,2,81,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
22,0.865739024255151,1,1,2,82,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
23,0.700690463889856,1,4,2,86,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
24,0.697702391162189,1,-3,2,83,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
25,1.15017262940583,1,4,2,87,"1;2","8GcJMmh5",0,1,NA,0,0.78,2
1,0.973701066594805,1,-1,3,-1,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
2,0.65358589926751,2,3,3,2,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
3,1.16471538915194,2,10,3,12,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
4,0.5,1,-21,3,-9,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
5,0.880058739610384,2,6,3,-3,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
6,0.838472057044733,2,4,3,1,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
7,0.5,2,0,3,1,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
8,0.837056867555593,2,5,3,6,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
9,0.996221098836197,2,5,3,11,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
10,0.5,2,4,3,15,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
11,0.755441293734077,2,11,3,26,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
12,1.06640486642019,2,4,3,30,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
13,0.824570896333481,2,1,3,31,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
14,0.771308342610225,2,1,3,32,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
15,0.792945276007287,2,7,3,39,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
16,0.860108884251414,2,6,3,45,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
17,0.574516979309987,2,1,3,46,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
18,0.580911241297758,1,-19,3,27,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
19,1.20019687879064,1,13,3,40,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
20,1.11001524933207,2,4,3,44,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
21,1.2772354887123,1,-11,3,33,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
22,0.613349768695275,2,5,3,38,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
23,1.15971832869427,2,4,3,42,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
24,0.884514136290375,2,2,3,44,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
25,1.21393774598183,1,10,3,54,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
1,0.600856095710679,2,1,4,1,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
2,0.753012191212336,1,-2,4,-1,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
3,1.23809821177,2,-1,4,-2,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
4,0.5,2,5,4,3,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
5,0.595535264761181,2,9,4,12,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
6,0.677836925008672,2,3,4,15,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
7,0.856533320332282,1,23,4,38,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
8,0.5,1,-6,4,32,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
9,0.742893523808708,2,0,4,32,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
10,1.14743890820724,2,2,4,34,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
11,1.28578045945077,1,18,4,52,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
12,0.879707693849111,2,6,4,58,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
13,0.555208697227834,1,2,4,60,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
14,0.749726724410164,2,4,4,64,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
15,1.05129885067025,1,-3,4,61,"2;1","8GcJMmh5",0,1,NA,0,0.78,2
