"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.630642236999643,2,4,1,4,"2;1","8zIiWpKN",100,5,3,0,0.6,3
2,0.612579130276674,1,1,1,5,"2;1","8zIiWpKN",100,5,3,0,0.6,3
3,0.512064857184116,2,0,1,5,"2;1","8zIiWpKN",100,5,3,0,0.6,3
4,0.986936620110301,1,4,1,9,"2;1","8zIiWpKN",100,5,3,0,0.6,3
5,1.0011201788559,1,0,1,9,"2;1","8zIiWpKN",100,5,3,0,0.6,3
6,0.732360744503297,2,5,1,14,"2;1","8zIiWpKN",100,5,3,0,0.6,3
7,0.848551133964691,2,3,1,17,"2;1","8zIiWpKN",100,5,3,0,0.6,3
8,0.762385622882209,2,6,1,23,"2;1","8zIiWpKN",100,5,3,0,0.6,3
9,1.02241875029981,2,1,1,24,"2;1","8zIiWpKN",100,5,3,0,0.6,3
10,0.871412399228582,1,4,1,28,"2;1","8zIiWpKN",100,5,3,0,0.6,3
11,0.681612110244133,1,4,1,32,"2;1","8zIiWpKN",100,5,3,0,0.6,3
12,1.22617747034323,1,3,1,35,"2;1","8zIiWpKN",100,5,3,0,0.6,3
13,0.886613872524865,1,5,1,40,"2;1","8zIiWpKN",100,5,3,0,0.6,3
14,0.55510940954078,1,3,1,43,"2;1","8zIiWpKN",100,5,3,0,0.6,3
15,0.658726429679869,1,1,1,44,"2;1","8zIiWpKN",100,5,3,0,0.6,3
16,1.16121874027125,1,3,1,47,"2;1","8zIiWpKN",100,5,3,0,0.6,3
17,0.729972282205332,2,1,1,48,"2;1","8zIiWpKN",100,5,3,0,0.6,3
18,0.610066717090401,2,4,1,52,"2;1","8zIiWpKN",100,5,3,0,0.6,3
19,0.5,2,-1,1,51,"2;1","8zIiWpKN",100,5,3,0,0.6,3
20,1.39827363551968,2,4,1,55,"2;1","8zIiWpKN",100,5,3,0,0.6,3
1,0.814413693705818,1,3,2,3,"1;2","8zIiWpKN",100,5,3,0,0.6,3
2,0.633080348580736,2,6,2,9,"1;2","8zIiWpKN",100,5,3,0,0.6,3
3,0.760913185455719,2,8,2,17,"1;2","8zIiWpKN",100,5,3,0,0.6,3
4,1.06700308038741,2,21,2,38,"1;2","8zIiWpKN",100,5,3,0,0.6,3
5,0.97809762481437,2,8,2,46,"1;2","8zIiWpKN",100,5,3,0,0.6,3
6,0.853253069168914,1,5,2,51,"1;2","8zIiWpKN",100,5,3,0,0.6,3
7,0.673066957175068,1,2,2,53,"1;2","8zIiWpKN",100,5,3,0,0.6,3
8,1.06334107755587,1,7,2,60,"1;2","8zIiWpKN",100,5,3,0,0.6,3
9,0.841687751858418,1,4,2,64,"1;2","8zIiWpKN",100,5,3,0,0.6,3
10,0.5,2,9,2,73,"1;2","8zIiWpKN",100,5,3,0,0.6,3
11,0.922216679591388,1,6,2,79,"1;2","8zIiWpKN",100,5,3,0,0.6,3
12,0.788563910530723,2,-6,2,73,"1;2","8zIiWpKN",100,5,3,0,0.6,3
13,1.15979277512037,2,-3,2,70,"1;2","8zIiWpKN",100,5,3,0,0.6,3
14,1.02799525004993,2,-7,2,63,"1;2","8zIiWpKN",100,5,3,0,0.6,3
15,0.804934847133316,1,2,2,65,"1;2","8zIiWpKN",100,5,3,0,0.6,3
16,0.771084562846459,2,-8,2,57,"1;2","8zIiWpKN",100,5,3,0,0.6,3
17,0.90027958842602,1,4,2,61,"1;2","8zIiWpKN",100,5,3,0,0.6,3
18,0.519458180353761,2,-2,2,59,"1;2","8zIiWpKN",100,5,3,0,0.6,3
19,0.634877398224374,2,8,2,67,"1;2","8zIiWpKN",100,5,3,0,0.6,3
20,0.586057229416189,1,1,2,68,"1;2","8zIiWpKN",100,5,3,0,0.6,3
21,0.574344554741696,1,2,2,70,"1;2","8zIiWpKN",100,5,3,0,0.6,3
22,1.01988546466761,2,16,2,86,"1;2","8zIiWpKN",100,5,3,0,0.6,3
23,0.528506523681089,1,2,2,88,"1;2","8zIiWpKN",100,5,3,0,0.6,3
24,1.03062760310571,1,4,2,92,"1;2","8zIiWpKN",100,5,3,0,0.6,3
25,0.517930070269129,1,7,2,99,"1;2","8zIiWpKN",100,5,3,0,0.6,3
1,0.852387295481369,1,2,3,2,"1;2","8zIiWpKN",100,5,3,0,0.6,3
