"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.884877930921266,1,4,1,4,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
2,1.03108546115948,1,3,1,7,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
3,1.29185698274415,1,0,1,7,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
4,1.01064691794345,1,5,1,12,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
5,0.5,1,6,1,18,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
6,0.503017182157241,1,3,1,21,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
7,0.755938037224114,1,2,1,23,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
8,0.76009563622543,1,4,1,27,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
9,1.16707972173158,1,1,1,28,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
10,0.784963403218579,1,2,1,30,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
11,0.5,1,2,1,32,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
12,1.12689404520357,1,-1,1,31,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
13,0.882203355173912,1,3,1,34,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
14,1.04778571297843,1,3,1,37,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
15,1.02798749314778,1,4,1,41,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
16,0.570595814592533,1,2,1,43,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
17,0.636358973868614,1,4,1,47,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
18,0.5,1,3,1,50,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
19,0.738618602365145,1,4,1,54,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
20,1.06827833100661,1,4,1,58,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
1,0.805963539933407,1,5,2,5,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
2,0.896366156399193,2,7,2,12,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
3,0.724585933513607,2,-1,2,11,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
4,0.5,1,4,2,15,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
5,0.607363404242241,1,8,2,23,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
6,1.19531212524291,1,4,2,27,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
7,1.25683271528281,2,13,2,40,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
8,0.591570596962796,2,-12,2,28,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
9,1.27207463138633,1,1,2,29,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
10,0.795692582436745,2,-8,2,21,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
11,1.34699424553671,1,4,2,25,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
12,0.650193454464257,1,2,2,27,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
13,0.645602852235562,1,6,2,33,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
14,0.869077771575204,2,5,2,38,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
15,0.811610391002153,1,7,2,45,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
16,0.910540078958109,1,2,2,47,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
17,0.915193460005282,1,2,2,49,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
18,0.713730450692079,1,6,2,55,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
19,0.891721227192947,1,2,2,57,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
20,0.850580296754634,1,-1,2,56,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
21,0.815384070564546,1,5,2,61,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
22,0.594009109495742,2,10,2,71,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
23,0.77726946008061,2,6,2,77,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
24,1.36851812312898,2,18,2,95,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
25,0.723427876050949,2,12,2,107,"1;2","97ZHvvI9",0,1,NA,0,1.23,3
