"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.830059619257331,1,2,1,2,"1;2","9WZ1hkng",100,6,1,0,0.2,1
2,1.00684651435737,1,2,1,4,"1;2","9WZ1hkng",100,6,1,0,0.2,1
3,1.28869969150903,1,3,1,7,"1;2","9WZ1hkng",100,6,1,0,0.2,1
4,0.779306444018727,1,3,1,10,"1;2","9WZ1hkng",100,6,1,0,0.2,1
5,0.5,1,1,1,11,"1;2","9WZ1hkng",100,6,1,0,0.2,1
6,0.76259160996344,1,3,1,14,"1;2","9WZ1hkng",100,6,1,0,0.2,1
7,0.740161198208653,2,2,1,16,"1;2","9WZ1hkng",100,6,1,0,0.2,1
8,0.531158608750053,1,6,1,22,"1;2","9WZ1hkng",100,6,1,0,0.2,1
9,0.552954345707501,2,6,1,28,"1;2","9WZ1hkng",100,6,1,0,0.2,1
10,0.702266241387948,2,1,1,29,"1;2","9WZ1hkng",100,6,1,0,0.2,1
11,0.636713110389929,1,3,1,32,"1;2","9WZ1hkng",100,6,1,0,0.2,1
12,0.632990970624293,1,1,1,33,"1;2","9WZ1hkng",100,6,1,0,0.2,1
13,0.931053247131604,1,3,1,36,"1;2","9WZ1hkng",100,6,1,0,0.2,1
14,0.690800918217531,1,6,1,42,"1;2","9WZ1hkng",100,6,1,0,0.2,1
15,0.850431206937446,1,2,1,44,"1;2","9WZ1hkng",100,6,1,0,0.2,1
16,0.929809536407144,1,6,1,50,"1;2","9WZ1hkng",100,6,1,0,0.2,1
17,0.781382227584438,1,1,1,51,"1;2","9WZ1hkng",100,6,1,0,0.2,1
18,0.888774255790829,1,2,1,53,"1;2","9WZ1hkng",100,6,1,0,0.2,1
19,0.759739672165588,1,2,1,55,"1;2","9WZ1hkng",100,6,1,0,0.2,1
20,0.564282947160346,1,7,1,62,"1;2","9WZ1hkng",100,6,1,0,0.2,1
1,0.930662812252837,2,3,2,3,"2;1","9WZ1hkng",100,6,1,0,0.2,1
2,0.930253815511655,2,0,2,3,"2;1","9WZ1hkng",100,6,1,0,0.2,1
3,0.641062186027691,2,4,2,7,"2;1","9WZ1hkng",100,6,1,0,0.2,1
4,1.10544185620442,2,0,2,7,"2;1","9WZ1hkng",100,6,1,0,0.2,1
5,0.852119204105991,1,-4,2,3,"2;1","9WZ1hkng",100,6,1,0,0.2,1
6,1.38055235487365,2,0,2,3,"2;1","9WZ1hkng",100,6,1,0,0.2,1
7,0.572635750363631,1,1,2,4,"2;1","9WZ1hkng",100,6,1,0,0.2,1
8,0.5,2,-2,2,2,"2;1","9WZ1hkng",100,6,1,0,0.2,1
9,0.798820864279998,2,0,2,2,"2;1","9WZ1hkng",100,6,1,0,0.2,1
10,0.855219237297907,2,6,2,8,"2;1","9WZ1hkng",100,6,1,0,0.2,1
11,1.26534771661171,2,4,2,12,"2;1","9WZ1hkng",100,6,1,0,0.2,1
12,0.757422471958813,2,9,2,21,"2;1","9WZ1hkng",100,6,1,0,0.2,1
13,0.816532892497451,2,-1,2,20,"2;1","9WZ1hkng",100,6,1,0,0.2,1
14,0.58718554848122,2,2,2,22,"2;1","9WZ1hkng",100,6,1,0,0.2,1
15,0.909034263174951,2,3,2,25,"2;1","9WZ1hkng",100,6,1,0,0.2,1
16,0.857138195834013,2,1,2,26,"2;1","9WZ1hkng",100,6,1,0,0.2,1
17,0.534866118543527,2,-3,2,23,"2;1","9WZ1hkng",100,6,1,0,0.2,1
18,0.678747584712451,2,3,2,26,"2;1","9WZ1hkng",100,6,1,0,0.2,1
19,0.938276102665827,2,1,2,27,"2;1","9WZ1hkng",100,6,1,0,0.2,1
20,1.30138817561219,1,-15,2,12,"2;1","9WZ1hkng",100,6,1,0,0.2,1
21,0.912000515475145,2,0,2,12,"2;1","9WZ1hkng",100,6,1,0,0.2,1
22,1.07780720814938,2,-1,2,11,"2;1","9WZ1hkng",100,6,1,0,0.2,1
23,0.910242435715608,2,5,2,16,"2;1","9WZ1hkng",100,6,1,0,0.2,1
24,0.636774142977876,2,3,2,19,"2;1","9WZ1hkng",100,6,1,0,0.2,1
25,1.1839123619797,2,5,2,24,"2;1","9WZ1hkng",100,6,1,0,0.2,1
1,0.532625319132982,2,-8,3,-8,"1;2","9WZ1hkng",100,6,1,0,0.2,1
2,0.84629562267384,1,2,3,-6,"1;2","9WZ1hkng",100,6,1,0,0.2,1
3,0.663747316445005,1,3,3,-3,"1;2","9WZ1hkng",100,6,1,0,0.2,1
4,0.621464196967652,1,0,3,-3,"1;2","9WZ1hkng",100,6,1,0,0.2,1
5,0.539167635216486,2,-12,3,-15,"1;2","9WZ1hkng",100,6,1,0,0.2,1
6,0.958259600839138,1,-1,3,-16,"1;2","9WZ1hkng",100,6,1,0,0.2,1
7,0.629677344409251,1,5,3,-11,"1;2","9WZ1hkng",100,6,1,0,0.2,1
