"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,-2,1,-2,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
2,1.2518483369629,2,5,1,3,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
3,1.17644662212372,1,5,1,8,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
4,0.660306794255511,1,-1,1,7,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
5,1.05819699311574,1,1,1,8,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
6,0.917546844237699,1,7,1,15,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
7,0.5,1,2,1,17,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
8,0.617337702243583,1,0,1,17,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
9,1.28568586503986,1,5,1,22,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
10,0.816643175182555,1,6,1,28,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
11,0.814896561259304,1,1,1,29,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
12,0.828577976086151,2,4,1,33,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
13,0.768265213745826,2,2,1,35,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
14,0.740614556170568,1,-2,1,33,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
15,0.82190983868194,1,6,1,39,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
16,0.5,1,3,1,42,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
17,0.629544853016723,1,2,1,44,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
18,0.732279384515621,1,2,1,46,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
19,1.32993099346091,2,2,1,48,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
20,0.5,1,2,1,50,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
1,1.04438442765752,2,8,2,8,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
2,0.821025513829209,1,18,2,26,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
3,0.873625504712334,1,-3,2,23,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
4,1.54639904993204,1,10,2,33,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
5,0.966414237989529,1,14,2,47,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
6,1.05180565797259,1,-10,2,37,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
7,1.08922647912794,1,17,2,54,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
8,0.918405825261029,1,-4,2,50,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
9,0.729416858657903,1,-9,2,41,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
10,0.541028533420619,1,24,2,65,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
11,0.818663958408184,1,-6,2,59,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
12,0.536623070300311,1,18,2,77,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
13,1.01964187951363,1,-3,2,74,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
14,0.550165534530002,1,-10,2,64,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
15,0.5,1,-7,2,57,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
16,0.525662725714349,1,-5,2,52,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
17,0.701535137436441,1,18,2,70,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
18,1.20466819218004,1,-14,2,56,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
19,0.850216303906411,1,-7,2,49,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
20,0.827992663116793,1,18,2,67,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
21,0.945940636586111,1,6,2,73,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
22,1.2854078883755,1,13,2,86,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
23,0.944214988804612,1,-15,2,71,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
24,0.752050793841963,1,-11,2,60,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
25,0.688689468990477,1,10,2,70,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
1,1.10299830788903,1,6,3,6,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
2,1.27350782732315,2,-6,3,0,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
3,0.633365189643508,1,1,3,1,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
4,0.838547054638771,1,5,3,6,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
5,0.964491244072543,1,3,3,9,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
6,0.985010932391684,1,3,3,12,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
7,0.931302244365384,1,4,3,16,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
8,1.09151637667708,1,0,3,16,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
9,0.652675323921339,1,4,3,20,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
10,0.674570571867775,2,-2,3,18,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
11,1.12439529540418,1,8,3,26,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
12,0.891186767573751,1,2,3,28,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
13,0.663166505589847,1,8,3,36,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
14,1.18546502016867,1,4,3,40,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
15,0.970440663659432,1,6,3,46,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
16,0.727909851205104,1,2,3,48,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
17,0.685630798934705,1,6,3,54,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
18,0.530214899151617,1,2,3,56,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
19,0.5,1,5,3,61,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
20,0.743992300081496,1,3,3,64,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
21,0.823437688870181,1,7,3,71,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
22,0.5,1,10,3,81,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
23,1.05988929745264,1,2,3,83,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
24,0.5,1,1,3,84,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
25,1.20706787214243,2,33,3,117,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
1,0.855353766428218,2,5,4,5,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
2,0.5,1,0,4,5,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
3,0.831255499958792,2,5,4,10,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
4,0.700391006187453,1,21,4,31,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
5,0.5,1,0,4,31,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
6,0.5,1,3,4,34,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
7,0.587543247520098,1,8,4,42,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
8,1.11217869060501,1,4,4,46,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
9,0.814740857660695,1,2,4,48,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
10,1.05245268140403,1,17,4,65,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
11,0.972368206876451,1,-8,4,57,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
12,1.09961997523875,1,-3,4,54,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
13,1.1021016982315,1,1,4,55,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
14,0.606041389747113,1,-1,4,54,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
15,0.513307677330807,1,-4,4,50,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
16,0.807203090164203,1,0,4,50,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
17,0.5,1,-17,4,33,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
18,0.774923325211315,1,4,4,37,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
19,0.896913994165967,1,1,4,38,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
20,0.538424704896028,1,-9,4,29,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
21,0.907400747911907,1,3,4,32,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
22,0.636353492828548,1,-2,4,30,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
23,0.511697489331334,1,5,4,35,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
24,1.00015109836309,1,-6,4,29,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
25,1.15222253521093,2,0,4,29,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
1,0.524882386648961,2,6,5,6,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
2,0.5,2,2,5,8,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
3,0.560376592189796,2,3,5,11,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
4,0.922178695624983,2,3,5,14,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
5,0.720483781383852,2,3,5,17,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
6,0.709643976960637,2,4,5,21,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
7,1.04774730467281,1,9,5,30,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
8,0.721779372730815,2,5,5,35,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
9,1.27211679235368,2,5,5,40,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
10,0.657308924668016,2,3,5,43,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
11,0.825238713434241,2,5,5,48,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
12,0.757067187800013,2,9,5,57,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
13,0.697848312784631,2,3,5,60,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
14,0.5,2,4,5,64,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
15,0.5,2,7,5,71,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
16,1.21510150498328,2,8,5,79,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
17,0.5,2,2,5,81,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
18,1.10948606885117,2,3,5,84,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
19,0.857880030332664,2,7,5,91,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
20,0.727162147072405,2,4,5,95,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
21,0.622378109541635,2,1,5,96,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
22,0.799377955209803,2,3,5,99,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
23,0.680877455713636,2,6,5,105,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
24,0.5,1,4,5,109,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
25,0.966043667541911,2,8,5,117,"2;1","A3VL6ZqW",100,5,4,0,0.8,1
1,0.610403593320533,2,-4,6,-4,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
2,0.817504822249597,2,17,6,13,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
3,0.517933811928379,2,2,6,15,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
4,1.35267350767944,2,21,6,36,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
5,0.606620674099039,2,-6,6,30,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
6,0.845728668023962,2,-9,6,21,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
7,0.549672688308607,2,11,6,32,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
8,0.637896972669112,2,-4,6,28,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
9,0.905141857819052,2,-4,6,24,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
10,1.01581693757445,2,-8,6,16,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
11,0.538822596723681,2,7,6,23,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
12,0.800908731849047,2,3,6,26,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
13,0.87329610339968,2,20,6,46,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
14,1.00789722022143,2,-13,6,33,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
15,0.618701889742459,2,23,6,56,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
16,0.673693572572436,2,23,6,79,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
17,0.727328485277025,2,7,6,86,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
18,0.99217973968125,2,9,6,95,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
19,1.09598679688466,2,1,6,96,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
20,0.712246053630161,2,0,6,96,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
21,0.670505380438751,2,0,6,96,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
22,1.0784894681935,2,-24,6,72,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
23,0.685424460215671,2,3,6,75,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
24,0.883104147223501,2,-11,6,64,"1;2","A3VL6ZqW",100,5,4,0,0.8,1
