"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.747461103352376,2,2,1,2,"1;2","ALRAC2XX",100,5,2,0,0.4,3
2,0.790158239524362,2,2,1,4,"1;2","ALRAC2XX",100,5,2,0,0.4,3
3,0.650539834715742,2,2,1,6,"1;2","ALRAC2XX",100,5,2,0,0.4,3
4,0.598048402492409,2,2,1,8,"1;2","ALRAC2XX",100,5,2,0,0.4,3
5,0.722677302246415,2,2,1,10,"1;2","ALRAC2XX",100,5,2,0,0.4,3
6,1.01573437931651,2,4,1,14,"1;2","ALRAC2XX",100,5,2,0,0.4,3
7,0.5,2,-2,1,12,"1;2","ALRAC2XX",100,5,2,0,0.4,3
8,0.608374779619346,2,4,1,16,"1;2","ALRAC2XX",100,5,2,0,0.4,3
9,0.674204176981503,2,3,1,19,"1;2","ALRAC2XX",100,5,2,0,0.4,3
10,0.5,2,0,1,19,"1;2","ALRAC2XX",100,5,2,0,0.4,3
11,0.773174387243366,2,4,1,23,"1;2","ALRAC2XX",100,5,2,0,0.4,3
12,0.69113925273071,1,1,1,24,"1;2","ALRAC2XX",100,5,2,0,0.4,3
13,0.926903290545745,1,6,1,30,"1;2","ALRAC2XX",100,5,2,0,0.4,3
14,0.604286225890908,1,6,1,36,"1;2","ALRAC2XX",100,5,2,0,0.4,3
15,0.532580322714899,1,2,1,38,"1;2","ALRAC2XX",100,5,2,0,0.4,3
16,0.767976415223376,1,2,1,40,"1;2","ALRAC2XX",100,5,2,0,0.4,3
17,0.586687314892311,2,4,1,44,"1;2","ALRAC2XX",100,5,2,0,0.4,3
18,0.938908699214231,1,1,1,45,"1;2","ALRAC2XX",100,5,2,0,0.4,3
19,1.02988889745863,2,5,1,50,"1;2","ALRAC2XX",100,5,2,0,0.4,3
20,0.5,2,4,1,54,"1;2","ALRAC2XX",100,5,2,0,0.4,3
1,0.724477795926677,2,6,2,6,"1;2","ALRAC2XX",100,5,2,0,0.4,3
2,0.853971571364411,1,7,2,13,"1;2","ALRAC2XX",100,5,2,0,0.4,3
3,0.592995729949528,2,19,2,32,"1;2","ALRAC2XX",100,5,2,0,0.4,3
4,1.53064633414016,1,1,2,33,"1;2","ALRAC2XX",100,5,2,0,0.4,3
5,0.535183814194413,1,2,2,35,"1;2","ALRAC2XX",100,5,2,0,0.4,3
6,0.888504561013797,1,1,2,36,"1;2","ALRAC2XX",100,5,2,0,0.4,3
7,0.781794554344042,2,-15,2,21,"1;2","ALRAC2XX",100,5,2,0,0.4,3
8,0.589898302205912,1,6,2,27,"1;2","ALRAC2XX",100,5,2,0,0.4,3
9,0.80739487129711,2,15,2,42,"1;2","ALRAC2XX",100,5,2,0,0.4,3
10,0.976845022395457,1,3,2,45,"1;2","ALRAC2XX",100,5,2,0,0.4,3
11,1.02686853523612,1,3,2,48,"1;2","ALRAC2XX",100,5,2,0,0.4,3
12,0.5,1,6,2,54,"1;2","ALRAC2XX",100,5,2,0,0.4,3
13,0.667389557810857,1,6,2,60,"1;2","ALRAC2XX",100,5,2,0,0.4,3
14,0.57381292078022,2,-5,2,55,"1;2","ALRAC2XX",100,5,2,0,0.4,3
15,0.893851235691024,1,3,2,58,"1;2","ALRAC2XX",100,5,2,0,0.4,3
16,0.90079244920849,2,-10,2,48,"1;2","ALRAC2XX",100,5,2,0,0.4,3
17,0.952136210447821,2,-21,2,27,"1;2","ALRAC2XX",100,5,2,0,0.4,3
