"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.754138969520943,1,4,1,4,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
2,1.06534930107174,2,0,1,4,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
3,0.608110047502955,1,6,1,10,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
4,0.690257348560799,1,2,1,12,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
5,0.5,1,4,1,16,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
6,0.57910577742496,1,2,1,18,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
7,0.625986764849738,1,2,1,20,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
8,0.556237599025033,1,1,1,21,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
9,1.04104624872468,2,6,1,27,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
10,0.5,2,1,1,28,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
11,1.15621744545019,1,2,1,30,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
12,0.659250498092375,1,2,1,32,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
13,0.611995299755395,2,6,1,38,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
14,0.705929056472778,1,4,1,42,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
15,0.805200276683491,2,6,1,48,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
16,1.07258482291159,1,8,1,56,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
17,0.83894466555381,2,2,1,58,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
18,1.02520221885475,1,2,1,60,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
19,0.5,1,4,1,64,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
20,0.5,1,7,1,71,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
1,0.61249925295567,2,5,2,5,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
2,0.906663302407805,2,-1,2,4,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
3,0.899377498524061,2,4,2,8,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
4,0.573914402868782,2,7,2,15,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
5,0.5,2,4,2,19,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
6,0.796082721692014,1,5,2,24,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
7,0.691325009659887,1,23,2,47,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
8,0.740565794016773,1,1,2,48,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
9,0.877124807663429,2,5,2,53,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
10,1.01046156757538,2,1,2,54,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
11,0.931125200711776,1,7,2,61,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
12,0.652803620035373,2,2,2,63,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
13,0.934439516925383,2,4,2,67,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
14,1.09615627458812,1,28,2,95,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
15,0.65677521351268,1,-1,2,94,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
16,0.745600603790489,2,3,2,97,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
17,0.700773674278425,1,9,2,106,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
18,1.06414200222511,2,3,2,109,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
19,0.522401938369958,2,9,2,118,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
20,0.744825699618636,2,5,2,123,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
21,0.887278637427662,1,4,2,127,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
22,1.10197600242024,2,3,2,130,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
23,1.01547178983994,2,3,2,133,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
24,1.00754026454705,1,14,2,147,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
25,0.5,1,4,2,151,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
1,0.956273743654453,1,-11,3,-11,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
2,0.647979591011541,2,5,3,-6,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
3,1.41758856520211,2,6,3,0,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
4,0.959664465640232,2,4,3,4,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
5,1.081503288642,2,9,3,13,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
6,0.976361114149427,2,6,3,19,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
7,0.669759890982379,2,5,3,24,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
8,0.916044928456663,2,4,3,28,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
9,1.16391893445576,2,4,3,32,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
10,1.09889148797277,2,8,3,40,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
11,0.763325888925523,1,3,3,43,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
12,0.570646309672236,2,4,3,47,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
13,0.5,1,-3,3,44,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
14,0.883134235545732,2,4,3,48,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
15,0.538760325508245,1,12,3,60,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
16,0.5,2,1,3,61,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
17,1.10657042011738,1,-4,3,57,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
18,0.795293458072054,2,3,3,60,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
19,1.05777933381536,2,5,3,65,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
20,1.04317784219197,2,5,3,70,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
21,0.580539938445585,2,6,3,76,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
22,1.00496112413074,2,6,3,82,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
23,0.665156429579941,1,3,3,85,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
24,0.688745009508575,2,7,3,92,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
25,1.15113999309043,1,-6,3,86,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
1,0.903829177326452,2,6,4,6,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
2,0.572034242737575,2,7,4,13,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
3,0.864065715916122,2,5,4,18,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
4,0.710681068424547,1,-1,4,17,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
5,0.659983646218584,2,10,4,27,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
6,1.00007284771223,2,5,4,32,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
7,0.864684324721629,2,6,4,38,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
8,0.936697472622932,2,5,4,43,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
9,1.61602421650981,2,1,4,44,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
10,0.911113955398515,1,2,4,46,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
11,0.5,2,7,4,53,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
12,1.05809172216009,2,5,4,58,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
13,0.967173825912886,2,4,4,62,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
14,1.12735940428858,2,4,4,66,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
15,1.28424463729645,2,1,4,67,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
16,0.586432307267034,2,3,4,70,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
17,0.998431493796213,2,10,4,80,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
18,0.5,2,3,4,83,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
19,0.928437725666279,1,7,4,90,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
20,0.915730030252173,1,-4,4,86,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
21,0.527488997053564,1,14,4,100,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
22,0.800425689746812,1,-3,4,97,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
23,1.38090953578015,1,2,4,99,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
24,0.749354183432268,2,5,4,104,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
25,0.864058360821169,2,3,4,107,"2;1","AwDnoSnu",0,1,NA,0,0.87,3
1,1.06551441811896,2,10,5,10,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
2,1.13957828866617,2,9,5,19,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
3,1.09454641620912,2,-6,5,13,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
4,0.633365398809079,1,6,5,19,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
5,0.5,2,4,5,23,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
6,0.580729727888573,1,4,5,27,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
7,0.598079450939364,1,3,5,30,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
8,1.3736419120867,1,3,5,33,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
9,0.821503567592651,1,2,5,35,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
10,0.733949458671344,1,3,5,38,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
11,1.23020373227309,1,4,5,42,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
12,0.616338147774741,2,-5,5,37,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
13,0.901254913239471,1,2,5,39,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
14,0.627237075683275,2,9,5,48,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
15,1.01692905647707,1,6,5,54,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
16,0.57849664452948,1,4,5,58,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
17,1.2179735263468,1,5,5,63,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
18,0.8243497460987,1,5,5,68,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
19,0.5,1,1,5,69,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
20,0.520661566232271,1,4,5,73,"1;2","AwDnoSnu",0,1,NA,0,0.87,3
