"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.830535874759488,1,5,1,5,"1;2","B6fNtfpM",100,4,4,2,0.8,1
2,0.658616723445929,2,1,1,6,"1;2","B6fNtfpM",100,4,4,2,0.8,1
3,0.880693145145533,2,5,1,11,"1;2","B6fNtfpM",100,4,4,2,0.8,1
4,1.32587832300443,2,5,1,16,"1;2","B6fNtfpM",100,4,4,2,0.8,1
5,1.17618316084438,2,2,1,18,"1;2","B6fNtfpM",100,4,4,2,0.8,1
6,0.770075424566239,2,2,1,20,"1;2","B6fNtfpM",100,4,4,2,0.8,1
7,1.16735703036068,1,5,1,25,"1;2","B6fNtfpM",100,4,4,2,0.8,1
8,1.02154811640587,2,8,1,33,"1;2","B6fNtfpM",100,4,4,2,0.8,1
9,0.679830962942736,2,4,1,37,"1;2","B6fNtfpM",100,4,4,2,0.8,1
10,0.691558217339285,1,6,1,43,"1;2","B6fNtfpM",100,4,4,2,0.8,1
11,0.534212615075268,1,2,1,45,"1;2","B6fNtfpM",100,4,4,2,0.8,1
12,1.02157929221482,2,1,1,46,"1;2","B6fNtfpM",100,4,4,2,0.8,1
13,1.10669058589826,2,0,1,46,"1;2","B6fNtfpM",100,4,4,2,0.8,1
14,0.575711809887661,2,3,1,49,"1;2","B6fNtfpM",100,4,4,2,0.8,1
15,0.5,2,3,1,52,"1;2","B6fNtfpM",100,4,4,2,0.8,1
16,0.848165093652543,1,1,1,53,"1;2","B6fNtfpM",100,4,4,2,0.8,1
17,1.16593582965214,2,4,1,57,"1;2","B6fNtfpM",100,4,4,2,0.8,1
18,0.971592106055109,2,1,1,58,"1;2","B6fNtfpM",100,4,4,2,0.8,1
19,0.551480914659303,1,-2,1,56,"1;2","B6fNtfpM",100,4,4,2,0.8,1
20,0.827922474454793,1,5,1,61,"1;2","B6fNtfpM",100,4,4,2,0.8,1
1,0.703584772919213,1,5,2,5,"1;2","B6fNtfpM",100,4,4,2,0.8,1
2,0.5,1,5,2,10,"1;2","B6fNtfpM",100,4,4,2,0.8,1
3,0.704704349933563,2,33,2,43,"1;2","B6fNtfpM",100,4,4,2,0.8,1
4,0.712645895804504,1,7,2,50,"1;2","B6fNtfpM",100,4,4,2,0.8,1
5,0.749366367401345,2,-8,2,42,"1;2","B6fNtfpM",100,4,4,2,0.8,1
6,0.988440233344738,1,6,2,48,"1;2","B6fNtfpM",100,4,4,2,0.8,1
7,1.17239606771083,1,3,2,51,"1;2","B6fNtfpM",100,4,4,2,0.8,1
8,1.29481188398187,1,5,2,56,"1;2","B6fNtfpM",100,4,4,2,0.8,1
9,0.570552450671063,2,0,2,56,"1;2","B6fNtfpM",100,4,4,2,0.8,1
10,0.945720314051473,2,24,2,80,"1;2","B6fNtfpM",100,4,4,2,0.8,1
11,0.5,2,-14,2,66,"1;2","B6fNtfpM",100,4,4,2,0.8,1
12,0.983769788571203,1,7,2,73,"1;2","B6fNtfpM",100,4,4,2,0.8,1
13,1.02699247038906,1,6,2,79,"1;2","B6fNtfpM",100,4,4,2,0.8,1
14,0.5,1,4,2,83,"1;2","B6fNtfpM",100,4,4,2,0.8,1
15,0.818294049492239,2,-1,2,82,"1;2","B6fNtfpM",100,4,4,2,0.8,1
