"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.689341672315328,1,3,1,3,"1;2","BneKuyrb",0,2,NA,0,0.6,2
2,0.634439436618824,1,5,1,8,"1;2","BneKuyrb",0,2,NA,0,0.6,2
3,1.0012403711374,1,2,1,10,"1;2","BneKuyrb",0,2,NA,0,0.6,2
4,0.624841200990338,1,3,1,13,"1;2","BneKuyrb",0,2,NA,0,0.6,2
5,0.5,1,3,1,16,"1;2","BneKuyrb",0,2,NA,0,0.6,2
6,1.03861793390171,1,4,1,20,"1;2","BneKuyrb",0,2,NA,0,0.6,2
7,0.836087976789369,1,4,1,24,"1;2","BneKuyrb",0,2,NA,0,0.6,2
8,0.745743656474364,1,6,1,30,"1;2","BneKuyrb",0,2,NA,0,0.6,2
9,0.550084667104091,1,1,1,31,"1;2","BneKuyrb",0,2,NA,0,0.6,2
10,0.641564521708928,1,3,1,34,"1;2","BneKuyrb",0,2,NA,0,0.6,2
11,0.663449628958332,2,6,1,40,"1;2","BneKuyrb",0,2,NA,0,0.6,2
12,0.534940943532555,1,1,1,41,"1;2","BneKuyrb",0,2,NA,0,0.6,2
13,1.06676757867015,1,2,1,43,"1;2","BneKuyrb",0,2,NA,0,0.6,2
14,0.717309001418709,1,3,1,46,"1;2","BneKuyrb",0,2,NA,0,0.6,2
15,1.23140453528924,1,4,1,50,"1;2","BneKuyrb",0,2,NA,0,0.6,2
16,0.836929711105151,1,3,1,53,"1;2","BneKuyrb",0,2,NA,0,0.6,2
17,0.579415199015381,1,3,1,56,"1;2","BneKuyrb",0,2,NA,0,0.6,2
18,0.930198736568799,1,3,1,59,"1;2","BneKuyrb",0,2,NA,0,0.6,2
19,0.562984942227685,1,5,1,64,"1;2","BneKuyrb",0,2,NA,0,0.6,2
20,0.571472164156395,1,0,1,64,"1;2","BneKuyrb",0,2,NA,0,0.6,2
1,1.13002838483103,2,-5,2,-5,"1;2","BneKuyrb",0,2,NA,0,0.6,2
2,1.12738906978634,2,-1,2,-6,"1;2","BneKuyrb",0,2,NA,0,0.6,2
3,0.683361604803159,1,4,2,-2,"1;2","BneKuyrb",0,2,NA,0,0.6,2
4,1.44735261021232,1,9,2,7,"1;2","BneKuyrb",0,2,NA,0,0.6,2
5,0.549442748284276,1,4,2,11,"1;2","BneKuyrb",0,2,NA,0,0.6,2
6,1.16737251806438,1,2,2,13,"1;2","BneKuyrb",0,2,NA,0,0.6,2
7,0.824975540307907,2,-18,2,-5,"1;2","BneKuyrb",0,2,NA,0,0.6,2
8,0.5,1,8,2,3,"1;2","BneKuyrb",0,2,NA,0,0.6,2
9,1.02610164846493,1,5,2,8,"1;2","BneKuyrb",0,2,NA,0,0.6,2
10,0.830751327754391,2,28,2,36,"1;2","BneKuyrb",0,2,NA,0,0.6,2
11,1.05917869408055,2,15,2,51,"1;2","BneKuyrb",0,2,NA,0,0.6,2
12,0.737472021374155,2,24,2,75,"1;2","BneKuyrb",0,2,NA,0,0.6,2
13,0.5,2,12,2,87,"1;2","BneKuyrb",0,2,NA,0,0.6,2
14,0.5,1,6,2,93,"1;2","BneKuyrb",0,2,NA,0,0.6,2
15,1.10853757205677,2,4,2,97,"1;2","BneKuyrb",0,2,NA,0,0.6,2
16,0.731304564637154,1,-1,2,96,"1;2","BneKuyrb",0,2,NA,0,0.6,2
17,0.991101671833403,2,7,2,103,"1;2","BneKuyrb",0,2,NA,0,0.6,2
18,1.20284194808651,2,-11,2,92,"1;2","BneKuyrb",0,2,NA,0,0.6,2
19,0.587436812937368,2,13,2,105,"1;2","BneKuyrb",0,2,NA,0,0.6,2
20,1.18338731177096,2,-22,2,83,"1;2","BneKuyrb",0,2,NA,0,0.6,2
21,0.501506606557832,1,3,2,86,"1;2","BneKuyrb",0,2,NA,0,0.6,2
22,0.668445256076193,2,5,2,91,"1;2","BneKuyrb",0,2,NA,0,0.6,2
23,0.604308904036054,1,4,2,95,"1;2","BneKuyrb",0,2,NA,0,0.6,2
24,0.706531231088088,1,2,2,97,"1;2","BneKuyrb",0,2,NA,0,0.6,2
25,0.5,1,7,2,104,"1;2","BneKuyrb",0,2,NA,0,0.6,2
1,1.05437964369724,2,1,3,1,"2;1","BneKuyrb",0,2,NA,0,0.6,2
2,0.983233511100568,2,7,3,8,"2;1","BneKuyrb",0,2,NA,0,0.6,2
3,0.853721931173361,2,5,3,13,"2;1","BneKuyrb",0,2,NA,0,0.6,2
4,0.653284369635704,2,3,3,16,"2;1","BneKuyrb",0,2,NA,0,0.6,2
5,0.741268077674269,2,0,3,16,"2;1","BneKuyrb",0,2,NA,0,0.6,2
6,0.5,1,4,3,20,"2;1","BneKuyrb",0,2,NA,0,0.6,2
7,0.699728585834682,1,-7,3,13,"2;1","BneKuyrb",0,2,NA,0,0.6,2
8,1.07480418847545,2,1,3,14,"2;1","BneKuyrb",0,2,NA,0,0.6,2
9,1.11316535621509,1,2,3,16,"2;1","BneKuyrb",0,2,NA,0,0.6,2
10,0.723795393704225,2,10,3,26,"2;1","BneKuyrb",0,2,NA,0,0.6,2
11,0.515575225938921,2,2,3,28,"2;1","BneKuyrb",0,2,NA,0,0.6,2
