"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,3,1,3,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
2,0.909781481306474,1,4,1,7,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
3,0.737341575176412,1,6,1,13,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
4,0.661195445781797,1,3,1,16,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
5,0.5,2,3,1,19,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
6,0.681368931821943,1,0,1,19,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
7,0.881109931453508,1,0,1,19,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
8,0.5,1,4,1,23,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
9,0.543260726746454,1,-1,1,22,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
10,0.69805915710908,1,3,1,25,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
11,0.862878700873541,1,3,1,28,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
12,0.621407441053932,2,5,1,33,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
13,0.895058664820481,1,3,1,36,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
14,0.999406202294801,2,2,1,38,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
15,0.561716427659651,2,5,1,43,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
16,0.735801226149154,2,3,1,46,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
17,0.6373728382588,1,3,1,49,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
18,1.38547763414901,2,1,1,50,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
19,0.784927219615472,2,5,1,55,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
20,1.02406770143294,2,3,1,58,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
1,0.956886417020747,2,6,2,6,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
2,1.22158430353867,2,1,2,7,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
3,1.29710902850404,2,-1,2,6,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
4,0.5,2,3,2,9,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
5,0.637043829073495,2,4,2,13,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
6,0.85129379021536,2,4,2,17,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
7,0.906723459003836,2,6,2,23,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
8,1.20438854468999,2,7,2,30,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
9,0.781199762751735,2,5,2,35,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
10,1.32770218469877,2,3,2,38,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
11,1.09523918555171,2,5,2,43,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
12,1.28471828090284,2,1,2,44,"2;1","C4xL7Mdg",100,5,4,0,0.8,3
