"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.27411509251331,1,3,1,3,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
2,0.799813432287665,2,2,1,5,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
3,1.35584315527054,1,-1,1,4,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
4,0.88519290535754,1,4,1,8,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
5,0.5,1,2,1,10,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
6,0.650597675897945,1,4,1,14,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
7,0.5,1,5,1,19,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
8,0.5,2,5,1,24,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
9,0.982033456862219,1,0,1,24,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
10,0.62418894782309,1,2,1,26,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
11,0.891635300498155,1,3,1,29,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
12,1.16819770926116,2,0,1,29,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
13,0.700952367235285,1,1,1,30,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
14,1.03869532896248,2,1,1,31,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
15,0.685159757882033,1,3,1,34,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
16,0.719046808578922,1,2,1,36,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
17,1.11670173034527,2,8,1,44,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
18,1.08357532831543,2,4,1,48,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
19,1.15593377078821,2,3,1,51,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
20,1.02674811894617,2,5,1,56,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
1,0.54028106795971,1,1,2,1,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
2,0.966569681886184,1,0,2,1,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
3,0.965246720736892,1,4,2,5,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
4,0.634382551083322,1,5,2,10,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
5,0.798554755577751,1,-1,2,9,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
6,0.5,1,-2,2,7,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
7,1.34574213195213,1,9,2,16,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
8,1.22246540609409,1,-3,2,13,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
9,0.929356284677624,2,3,2,16,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
10,1.14562450235748,1,7,2,23,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
11,0.821863835448302,1,4,2,27,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
12,0.725336644983444,2,10,2,37,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
13,0.5,1,3,2,40,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
14,0.5,1,3,2,43,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
15,0.912345666400206,1,-1,2,42,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
16,0.5,2,0,2,42,"1;2","CMK9Ypaq",0,3,NA,0,1.09,1
