"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,6,1,6,"1;2","CWonwkCR",100,6,3,1,0.6,3
2,0.925485006814236,1,4,1,10,"1;2","CWonwkCR",100,6,3,1,0.6,3
3,0.898888695590907,2,4,1,14,"1;2","CWonwkCR",100,6,3,1,0.6,3
4,1.00454253434087,2,2,1,16,"1;2","CWonwkCR",100,6,3,1,0.6,3
5,0.695183516054068,1,2,1,18,"1;2","CWonwkCR",100,6,3,1,0.6,3
6,0.664583028215599,1,1,1,19,"1;2","CWonwkCR",100,6,3,1,0.6,3
7,0.996066578606809,1,5,1,24,"1;2","CWonwkCR",100,6,3,1,0.6,3
8,0.571866752410459,2,4,1,28,"1;2","CWonwkCR",100,6,3,1,0.6,3
9,0.864831798818339,2,0,1,28,"1;2","CWonwkCR",100,6,3,1,0.6,3
10,0.863856525626212,1,3,1,31,"1;2","CWonwkCR",100,6,3,1,0.6,3
11,1.06556163728296,2,0,1,31,"1;2","CWonwkCR",100,6,3,1,0.6,3
12,0.57961088133779,1,0,1,31,"1;2","CWonwkCR",100,6,3,1,0.6,3
13,0.888038205758023,2,1,1,32,"1;2","CWonwkCR",100,6,3,1,0.6,3
14,0.848240158197468,2,5,1,37,"1;2","CWonwkCR",100,6,3,1,0.6,3
15,1.2487013818848,2,2,1,39,"1;2","CWonwkCR",100,6,3,1,0.6,3
16,0.903395057435348,1,3,1,42,"1;2","CWonwkCR",100,6,3,1,0.6,3
17,0.5,2,2,1,44,"1;2","CWonwkCR",100,6,3,1,0.6,3
18,0.713151693503727,2,1,1,45,"1;2","CWonwkCR",100,6,3,1,0.6,3
19,0.685304491086282,2,2,1,47,"1;2","CWonwkCR",100,6,3,1,0.6,3
20,0.5,1,-1,1,46,"1;2","CWonwkCR",100,6,3,1,0.6,3
1,0.780244745896849,1,0,2,0,"1;2","CWonwkCR",100,6,3,1,0.6,3
2,1.02810445877431,2,8,2,8,"1;2","CWonwkCR",100,6,3,1,0.6,3
3,1.33711611291524,2,-3,2,5,"1;2","CWonwkCR",100,6,3,1,0.6,3
4,0.653728470102029,2,-5,2,0,"1;2","CWonwkCR",100,6,3,1,0.6,3
5,0.635860993800864,2,11,2,11,"1;2","CWonwkCR",100,6,3,1,0.6,3
6,0.91962500217782,2,14,2,25,"1;2","CWonwkCR",100,6,3,1,0.6,3
7,0.857227165263324,2,-10,2,15,"1;2","CWonwkCR",100,6,3,1,0.6,3
8,0.867845810564646,2,21,2,36,"1;2","CWonwkCR",100,6,3,1,0.6,3
9,0.556396100021956,1,-1,2,35,"1;2","CWonwkCR",100,6,3,1,0.6,3
10,0.505394628240893,2,7,2,42,"1;2","CWonwkCR",100,6,3,1,0.6,3
11,0.743364113738101,2,12,2,54,"1;2","CWonwkCR",100,6,3,1,0.6,3
12,0.5,1,3,2,57,"1;2","CWonwkCR",100,6,3,1,0.6,3
13,0.812545628706663,2,5,2,62,"1;2","CWonwkCR",100,6,3,1,0.6,3
14,1.36010088202509,2,0,2,62,"1;2","CWonwkCR",100,6,3,1,0.6,3
15,0.84972729024276,2,12,2,74,"1;2","CWonwkCR",100,6,3,1,0.6,3
16,0.911721142331415,1,5,2,79,"1;2","CWonwkCR",100,6,3,1,0.6,3
17,0.697156649853089,2,6,2,85,"1;2","CWonwkCR",100,6,3,1,0.6,3
18,0.853971588114647,1,4,2,89,"1;2","CWonwkCR",100,6,3,1,0.6,3
19,0.5,2,9,2,98,"1;2","CWonwkCR",100,6,3,1,0.6,3
