"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.537626234034201,1,0,1,0,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
2,0.696846577787693,1,3,1,3,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
3,0.593287310720962,1,3,1,6,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
4,0.584508653561676,1,2,1,8,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
5,0.893629485761057,1,1,1,9,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
6,0.890157277147633,2,3,1,12,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
7,1.03492848372355,2,4,1,16,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
8,0.953949974207544,2,-1,1,15,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
9,0.781952193474144,1,2,1,17,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
10,1.02968462243288,1,3,1,20,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
11,1.25638375376982,1,4,1,24,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
12,0.5,1,3,1,27,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
13,0.572366740646616,2,2,1,29,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
14,0.865529973207919,1,6,1,35,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
15,0.503950601400893,1,3,1,38,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
16,0.571541187707373,1,2,1,40,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
17,0.860898639489873,1,3,1,43,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
18,0.819353172061117,1,-2,1,41,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
19,1.08701242219474,1,4,1,45,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
20,0.867852587736323,2,0,1,45,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
1,1.19225472252735,2,-3,2,-3,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
2,0.5,1,1,2,-2,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
3,0.5834816408183,1,3,2,1,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
4,0.792186017783187,1,0,2,1,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
5,0.898633079534244,1,0,2,1,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
6,0.774836794104242,1,7,2,8,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
7,0.657244754776414,1,5,2,13,"1;2","DXvrwRv2",0,1,NA,0,0.92,3
