"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.895767357562141,2,3,1,3,"1;2","DdfXnTIl",100,4,3,0,0.6,1
2,0.77148192483266,2,2,1,5,"1;2","DdfXnTIl",100,4,3,0,0.6,1
3,0.934723657413838,2,4,1,9,"1;2","DdfXnTIl",100,4,3,0,0.6,1
4,0.885310751236315,1,-2,1,7,"1;2","DdfXnTIl",100,4,3,0,0.6,1
5,1.3777011332728,1,3,1,10,"1;2","DdfXnTIl",100,4,3,0,0.6,1
6,1.14362275471063,2,1,1,11,"1;2","DdfXnTIl",100,4,3,0,0.6,1
7,0.820678377572189,2,1,1,12,"1;2","DdfXnTIl",100,4,3,0,0.6,1
8,0.890772969583371,1,7,1,19,"1;2","DdfXnTIl",100,4,3,0,0.6,1
9,1.16382092796794,1,-1,1,18,"1;2","DdfXnTIl",100,4,3,0,0.6,1
10,0.5,1,7,1,25,"1;2","DdfXnTIl",100,4,3,0,0.6,1
11,0.871648506135449,1,0,1,25,"1;2","DdfXnTIl",100,4,3,0,0.6,1
12,0.713927405906739,1,-1,1,24,"1;2","DdfXnTIl",100,4,3,0,0.6,1
13,0.526099897259104,2,-1,1,23,"1;2","DdfXnTIl",100,4,3,0,0.6,1
14,1.21127644019601,1,2,1,25,"1;2","DdfXnTIl",100,4,3,0,0.6,1
15,1.04789954998683,1,3,1,28,"1;2","DdfXnTIl",100,4,3,0,0.6,1
16,0.854458055760106,2,2,1,30,"1;2","DdfXnTIl",100,4,3,0,0.6,1
17,0.77918420443594,1,-2,1,28,"1;2","DdfXnTIl",100,4,3,0,0.6,1
18,0.919784835701472,2,4,1,32,"1;2","DdfXnTIl",100,4,3,0,0.6,1
19,0.619895312008386,2,3,1,35,"1;2","DdfXnTIl",100,4,3,0,0.6,1
20,0.87391801405529,2,3,1,38,"1;2","DdfXnTIl",100,4,3,0,0.6,1
1,0.589569660609111,2,11,2,11,"1;2","DdfXnTIl",100,4,3,0,0.6,1
2,0.783488241164327,2,15,2,26,"1;2","DdfXnTIl",100,4,3,0,0.6,1
3,0.972142382026389,2,2,2,28,"1;2","DdfXnTIl",100,4,3,0,0.6,1
4,1.02808839425547,2,25,2,53,"1;2","DdfXnTIl",100,4,3,0,0.6,1
5,1.02780447083718,2,20,2,73,"1;2","DdfXnTIl",100,4,3,0,0.6,1
6,0.979534994879878,2,-12,2,61,"1;2","DdfXnTIl",100,4,3,0,0.6,1
7,1.22503285844423,2,-5,2,56,"1;2","DdfXnTIl",100,4,3,0,0.6,1
8,1.08996434064787,1,4,2,60,"1;2","DdfXnTIl",100,4,3,0,0.6,1
9,0.78689991754369,1,6,2,66,"1;2","DdfXnTIl",100,4,3,0,0.6,1
10,0.982022079765994,1,4,2,70,"1;2","DdfXnTIl",100,4,3,0,0.6,1
11,0.93254020334313,1,6,2,76,"1;2","DdfXnTIl",100,4,3,0,0.6,1
12,1.10136256320193,2,23,2,99,"1;2","DdfXnTIl",100,4,3,0,0.6,1
13,0.7828858152711,2,6,2,105,"1;2","DdfXnTIl",100,4,3,0,0.6,1
14,0.892433528314812,2,5,2,110,"1;2","DdfXnTIl",100,4,3,0,0.6,1
15,0.775958704857963,2,0,2,110,"1;2","DdfXnTIl",100,4,3,0,0.6,1
16,0.659577986332343,1,2,2,112,"1;2","DdfXnTIl",100,4,3,0,0.6,1
17,0.764122574420762,2,0,2,112,"1;2","DdfXnTIl",100,4,3,0,0.6,1
18,0.862198122489387,1,2,2,114,"1;2","DdfXnTIl",100,4,3,0,0.6,1
19,0.5,1,4,2,118,"1;2","DdfXnTIl",100,4,3,0,0.6,1
20,0.83879437196136,1,9,2,127,"1;2","DdfXnTIl",100,4,3,0,0.6,1
21,1.07769179946129,1,3,2,130,"1;2","DdfXnTIl",100,4,3,0,0.6,1
22,1.05274326858367,1,9,2,139,"1;2","DdfXnTIl",100,4,3,0,0.6,1
23,0.830544857964561,2,10,2,149,"1;2","DdfXnTIl",100,4,3,0,0.6,1
24,0.5,1,7,2,156,"1;2","DdfXnTIl",100,4,3,0,0.6,1
25,0.666360293842556,1,8,2,164,"1;2","DdfXnTIl",100,4,3,0,0.6,1
1,0.945776823558925,1,3,3,3,"2;1","DdfXnTIl",100,4,3,0,0.6,1
2,0.53352112540408,1,-6,3,-3,"2;1","DdfXnTIl",100,4,3,0,0.6,1
3,0.749733554007782,2,3,3,0,"2;1","DdfXnTIl",100,4,3,0,0.6,1
4,0.608847640381463,2,0,3,0,"2;1","DdfXnTIl",100,4,3,0,0.6,1
5,0.816033397304584,2,4,3,4,"2;1","DdfXnTIl",100,4,3,0,0.6,1
6,0.650074304317139,2,2,3,6,"2;1","DdfXnTIl",100,4,3,0,0.6,1
7,0.952639997381959,2,5,3,11,"2;1","DdfXnTIl",100,4,3,0,0.6,1
8,0.949034046771334,2,4,3,15,"2;1","DdfXnTIl",100,4,3,0,0.6,1
9,1.18202903468917,1,-30,3,-15,"2;1","DdfXnTIl",100,4,3,0,0.6,1
10,0.5,2,3,3,-12,"2;1","DdfXnTIl",100,4,3,0,0.6,1
11,1.09088530159989,1,-5,3,-17,"2;1","DdfXnTIl",100,4,3,0,0.6,1
12,0.795513376490247,2,4,3,-13,"2;1","DdfXnTIl",100,4,3,0,0.6,1
13,1.34687339305014,2,4,3,-9,"2;1","DdfXnTIl",100,4,3,0,0.6,1
14,0.616625685885884,2,4,3,-5,"2;1","DdfXnTIl",100,4,3,0,0.6,1
15,1.13906780938939,2,4,3,-1,"2;1","DdfXnTIl",100,4,3,0,0.6,1
16,0.624435747345486,2,2,3,1,"2;1","DdfXnTIl",100,4,3,0,0.6,1
17,0.958585873344877,2,1,3,2,"2;1","DdfXnTIl",100,4,3,0,0.6,1
18,0.725461278982292,2,5,3,7,"2;1","DdfXnTIl",100,4,3,0,0.6,1
19,0.864924633634612,2,6,3,13,"2;1","DdfXnTIl",100,4,3,0,0.6,1
20,0.869965345812758,2,6,3,19,"2;1","DdfXnTIl",100,4,3,0,0.6,1
21,0.64571443843842,2,5,3,24,"2;1","DdfXnTIl",100,4,3,0,0.6,1
22,0.770262215959823,2,5,3,29,"2;1","DdfXnTIl",100,4,3,0,0.6,1
23,0.642196491005296,2,3,3,32,"2;1","DdfXnTIl",100,4,3,0,0.6,1
24,0.944941438679767,2,9,3,41,"2;1","DdfXnTIl",100,4,3,0,0.6,1
25,0.803067486356844,2,7,3,48,"2;1","DdfXnTIl",100,4,3,0,0.6,1
