"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.557651908505057,1,5,1,5,"1;2","E8DOej9o",100,6,4,0,0.8,1
2,0.54252071713876,1,5,1,10,"1;2","E8DOej9o",100,6,4,0,0.8,1
3,0.859171659195503,1,1,1,11,"1;2","E8DOej9o",100,6,4,0,0.8,1
4,0.515619498839176,1,5,1,16,"1;2","E8DOej9o",100,6,4,0,0.8,1
5,0.700802515274033,2,4,1,20,"1;2","E8DOej9o",100,6,4,0,0.8,1
6,0.701460824938363,1,8,1,28,"1;2","E8DOej9o",100,6,4,0,0.8,1
7,0.992827922125901,2,1,1,29,"1;2","E8DOej9o",100,6,4,0,0.8,1
8,0.574830972216047,1,3,1,32,"1;2","E8DOej9o",100,6,4,0,0.8,1
9,0.924420327464428,1,4,1,36,"1;2","E8DOej9o",100,6,4,0,0.8,1
10,1.01645776865042,1,3,1,39,"1;2","E8DOej9o",100,6,4,0,0.8,1
11,0.5,1,4,1,43,"1;2","E8DOej9o",100,6,4,0,0.8,1
12,1.34609533463615,2,2,1,45,"1;2","E8DOej9o",100,6,4,0,0.8,1
13,0.537564158634712,2,7,1,52,"1;2","E8DOej9o",100,6,4,0,0.8,1
14,1.03968755802046,2,3,1,55,"1;2","E8DOej9o",100,6,4,0,0.8,1
15,0.743463438059177,1,5,1,60,"1;2","E8DOej9o",100,6,4,0,0.8,1
16,1.22431527313435,2,1,1,61,"1;2","E8DOej9o",100,6,4,0,0.8,1
17,0.783225292643274,1,2,1,63,"1;2","E8DOej9o",100,6,4,0,0.8,1
18,0.853117930330975,1,4,1,67,"1;2","E8DOej9o",100,6,4,0,0.8,1
19,1.06165252028295,1,6,1,73,"1;2","E8DOej9o",100,6,4,0,0.8,1
20,0.700515764113103,1,0,1,73,"1;2","E8DOej9o",100,6,4,0,0.8,1
1,0.662468366181588,2,4,2,4,"2;1","E8DOej9o",100,6,4,0,0.8,1
2,0.924333892897526,2,0,2,4,"2;1","E8DOej9o",100,6,4,0,0.8,1
3,1.16157221745451,1,14,2,18,"2;1","E8DOej9o",100,6,4,0,0.8,1
4,0.973800702372028,2,-1,2,17,"2;1","E8DOej9o",100,6,4,0,0.8,1
5,1.23133859997026,1,0,2,17,"2;1","E8DOej9o",100,6,4,0,0.8,1
6,0.928716384140893,2,-1,2,16,"2;1","E8DOej9o",100,6,4,0,0.8,1
