"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.943822998880615,2,5,1,5,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
2,0.5,1,-2,1,3,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
3,0.961033040824256,1,2,1,5,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
4,0.835995677432446,1,4,1,9,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
5,0.896704777525428,2,4,1,13,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
6,1.05458814873479,2,3,1,16,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
7,0.854138044740907,2,6,1,22,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
8,1.0341318969141,2,1,1,23,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
9,0.843048847144832,2,5,1,28,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
10,0.576111644622945,2,5,1,33,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
11,0.85072915031689,2,5,1,38,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
12,0.769303247600296,2,5,1,43,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
13,1.00911054083241,1,5,1,48,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
14,1.18377825388637,1,-1,1,47,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
15,1.01604656890658,2,3,1,50,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
16,0.809875153688353,1,6,1,56,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
17,1.03891991070543,2,0,1,56,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
18,0.689842931794947,2,2,1,58,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
19,0.5,2,4,1,62,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
20,0.571532627052299,2,2,1,64,"1;2","EIeG28Ob",0,2,NA,0,0.84,2
1,0.853572491804314,2,4,2,4,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
2,0.5,1,9,2,13,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
3,0.807606248757984,2,8,2,21,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
4,0.910567175245643,2,1,2,22,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
5,0.940437079862976,2,0,2,22,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
6,0.800038639928699,1,14,2,36,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
7,1.03242762508142,2,2,2,38,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
8,0.660386256891614,2,1,2,39,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
9,1.11572658021915,2,5,2,44,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
10,0.513949519900648,2,4,2,48,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
11,0.557850003137828,2,4,2,52,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
12,0.916589400940871,2,4,2,56,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
13,0.516080358028661,1,-9,2,47,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
14,0.67895399069402,1,11,2,58,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
15,0.898380386457997,1,-6,2,52,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
16,0.510911754820614,1,1,2,53,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
17,0.782430072603418,1,-6,2,47,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
18,1.11984156263566,2,3,2,50,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
19,1.17708068473544,2,8,2,58,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
20,0.586819558105231,2,2,2,60,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
21,1.38695470844622,2,4,2,64,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
22,0.811394362368191,2,3,2,67,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
23,0.918086037525883,2,3,2,70,"2;1","EIeG28Ob",0,2,NA,0,0.84,2
