"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.873275611336521,2,2,1,2,"1;2","EMtQhtzm",100,4,5,0,1,3
2,0.936748443049797,2,4,1,6,"1;2","EMtQhtzm",100,4,5,0,1,3
3,1.08177888019734,2,1,1,7,"1;2","EMtQhtzm",100,4,5,0,1,3
4,1.14956685265402,2,1,1,8,"1;2","EMtQhtzm",100,4,5,0,1,3
5,0.818568730245682,1,2,1,10,"1;2","EMtQhtzm",100,4,5,0,1,3
6,0.591026102691608,2,3,1,13,"1;2","EMtQhtzm",100,4,5,0,1,3
7,0.74816815668752,2,1,1,14,"1;2","EMtQhtzm",100,4,5,0,1,3
8,0.921102141182005,2,3,1,17,"1;2","EMtQhtzm",100,4,5,0,1,3
9,0.806373456033073,2,-1,1,16,"1;2","EMtQhtzm",100,4,5,0,1,3
10,1.01613797461644,2,3,1,19,"1;2","EMtQhtzm",100,4,5,0,1,3
11,0.803995737092997,1,1,1,20,"1;2","EMtQhtzm",100,4,5,0,1,3
12,0.988863452683746,1,3,1,23,"1;2","EMtQhtzm",100,4,5,0,1,3
13,0.859865983710242,1,3,1,26,"1;2","EMtQhtzm",100,4,5,0,1,3
14,0.716799412534299,2,2,1,28,"1;2","EMtQhtzm",100,4,5,0,1,3
15,0.5,2,4,1,32,"1;2","EMtQhtzm",100,4,5,0,1,3
16,0.658910937155111,2,0,1,32,"1;2","EMtQhtzm",100,4,5,0,1,3
17,1.33424850004946,1,5,1,37,"1;2","EMtQhtzm",100,4,5,0,1,3
18,0.81097590012735,2,4,1,41,"1;2","EMtQhtzm",100,4,5,0,1,3
19,0.620881207234255,1,4,1,45,"1;2","EMtQhtzm",100,4,5,0,1,3
20,0.87935065571244,2,4,1,49,"1;2","EMtQhtzm",100,4,5,0,1,3
1,1.03902190252588,2,10,2,10,"2;1","EMtQhtzm",100,4,5,0,1,3
2,0.5,2,2,2,12,"2;1","EMtQhtzm",100,4,5,0,1,3
3,0.946652587838405,2,7,2,19,"2;1","EMtQhtzm",100,4,5,0,1,3
4,0.5,2,-1,2,18,"2;1","EMtQhtzm",100,4,5,0,1,3
5,0.576264351903196,2,6,2,24,"2;1","EMtQhtzm",100,4,5,0,1,3
6,0.874130939870743,2,2,2,26,"2;1","EMtQhtzm",100,4,5,0,1,3
7,1.14424753596624,1,-7,2,19,"2;1","EMtQhtzm",100,4,5,0,1,3
8,0.618668849744562,2,6,2,25,"2;1","EMtQhtzm",100,4,5,0,1,3
9,0.795034835223913,2,5,2,30,"2;1","EMtQhtzm",100,4,5,0,1,3
10,0.623078659337214,2,9,2,39,"2;1","EMtQhtzm",100,4,5,0,1,3
11,1.37646989533054,2,4,2,43,"2;1","EMtQhtzm",100,4,5,0,1,3
12,0.593334071538521,2,4,2,47,"2;1","EMtQhtzm",100,4,5,0,1,3
13,0.5,2,4,2,51,"2;1","EMtQhtzm",100,4,5,0,1,3
14,0.850223390800202,2,8,2,59,"2;1","EMtQhtzm",100,4,5,0,1,3
15,0.736819512770016,1,31,2,90,"2;1","EMtQhtzm",100,4,5,0,1,3
16,1.15021616970117,2,3,2,93,"2;1","EMtQhtzm",100,4,5,0,1,3
17,0.809631651474579,2,2,2,95,"2;1","EMtQhtzm",100,4,5,0,1,3
18,1.20506825603422,1,-11,2,84,"2;1","EMtQhtzm",100,4,5,0,1,3
19,0.567802913543266,2,3,2,87,"2;1","EMtQhtzm",100,4,5,0,1,3
20,0.814340879304861,2,6,2,93,"2;1","EMtQhtzm",100,4,5,0,1,3
21,0.801326714781785,2,5,2,98,"2;1","EMtQhtzm",100,4,5,0,1,3
22,0.978741120955911,2,5,2,103,"2;1","EMtQhtzm",100,4,5,0,1,3
23,0.707562128731897,2,6,2,109,"2;1","EMtQhtzm",100,4,5,0,1,3
24,0.94342017752459,2,1,2,110,"2;1","EMtQhtzm",100,4,5,0,1,3
25,0.528665890610222,2,4,2,114,"2;1","EMtQhtzm",100,4,5,0,1,3
1,0.655940961843684,1,20,3,20,"2;1","EMtQhtzm",100,4,5,0,1,3
2,1.02975746036559,1,6,3,26,"2;1","EMtQhtzm",100,4,5,0,1,3
3,0.72402083647328,2,5,3,31,"2;1","EMtQhtzm",100,4,5,0,1,3
4,0.5,1,9,3,40,"2;1","EMtQhtzm",100,4,5,0,1,3
5,0.767000908243523,1,13,3,53,"2;1","EMtQhtzm",100,4,5,0,1,3
6,0.756167264790673,1,-7,3,46,"2;1","EMtQhtzm",100,4,5,0,1,3
7,0.624474120282126,1,5,3,51,"2;1","EMtQhtzm",100,4,5,0,1,3
8,0.651344977919453,1,11,3,62,"2;1","EMtQhtzm",100,4,5,0,1,3
9,0.534803360890304,2,6,3,68,"2;1","EMtQhtzm",100,4,5,0,1,3
10,1.24547264286821,2,6,3,74,"2;1","EMtQhtzm",100,4,5,0,1,3
11,0.943707435270796,2,5,3,79,"2;1","EMtQhtzm",100,4,5,0,1,3
12,0.5,2,3,3,82,"2;1","EMtQhtzm",100,4,5,0,1,3
13,1.10073922505425,2,3,3,85,"2;1","EMtQhtzm",100,4,5,0,1,3
14,1.09001548728478,2,3,3,88,"2;1","EMtQhtzm",100,4,5,0,1,3
15,0.681823998546022,2,1,3,89,"2;1","EMtQhtzm",100,4,5,0,1,3
16,1.15767754563092,1,16,3,105,"2;1","EMtQhtzm",100,4,5,0,1,3
17,0.909502018933304,2,4,3,109,"2;1","EMtQhtzm",100,4,5,0,1,3
18,0.900502347513668,2,8,3,117,"2;1","EMtQhtzm",100,4,5,0,1,3
19,1.2634304020292,2,4,3,121,"2;1","EMtQhtzm",100,4,5,0,1,3
20,0.5,2,4,3,125,"2;1","EMtQhtzm",100,4,5,0,1,3
21,1.00104559981287,2,8,3,133,"2;1","EMtQhtzm",100,4,5,0,1,3
22,0.710665289019913,2,6,3,139,"2;1","EMtQhtzm",100,4,5,0,1,3
23,0.926425072995412,2,2,3,141,"2;1","EMtQhtzm",100,4,5,0,1,3
24,0.766542462379388,2,1,3,142,"2;1","EMtQhtzm",100,4,5,0,1,3
25,0.517199164446167,2,5,3,147,"2;1","EMtQhtzm",100,4,5,0,1,3
1,1.2667624607964,2,-11,4,-11,"1;2","EMtQhtzm",100,4,5,0,1,3
2,0.956514736346846,2,9,4,-2,"1;2","EMtQhtzm",100,4,5,0,1,3
3,0.836328895556061,2,28,4,26,"1;2","EMtQhtzm",100,4,5,0,1,3
4,0.72477233852761,2,6,4,32,"1;2","EMtQhtzm",100,4,5,0,1,3
5,0.550564717254568,2,13,4,45,"1;2","EMtQhtzm",100,4,5,0,1,3
6,0.57518619113106,2,-9,4,36,"1;2","EMtQhtzm",100,4,5,0,1,3
7,0.5,2,-5,4,31,"1;2","EMtQhtzm",100,4,5,0,1,3
8,0.865994227317179,2,11,4,42,"1;2","EMtQhtzm",100,4,5,0,1,3
9,0.590362710988187,2,6,4,48,"1;2","EMtQhtzm",100,4,5,0,1,3
10,1.33776401328563,1,7,4,55,"1;2","EMtQhtzm",100,4,5,0,1,3
11,0.5,2,12,4,67,"1;2","EMtQhtzm",100,4,5,0,1,3
12,0.836504031807825,2,-5,4,62,"1;2","EMtQhtzm",100,4,5,0,1,3
13,0.783022714920829,2,14,4,76,"1;2","EMtQhtzm",100,4,5,0,1,3
14,0.86377708692358,2,5,4,81,"1;2","EMtQhtzm",100,4,5,0,1,3
15,0.796381893805555,2,2,4,83,"1;2","EMtQhtzm",100,4,5,0,1,3
16,0.813409240803114,2,-12,4,71,"1;2","EMtQhtzm",100,4,5,0,1,3
17,0.718383471570325,2,-13,4,58,"1;2","EMtQhtzm",100,4,5,0,1,3
18,0.858745161004897,2,3,4,61,"1;2","EMtQhtzm",100,4,5,0,1,3
19,1.19236552234548,2,-5,4,56,"1;2","EMtQhtzm",100,4,5,0,1,3
20,0.5,2,0,4,56,"1;2","EMtQhtzm",100,4,5,0,1,3
21,1.05632255585694,2,11,4,67,"1;2","EMtQhtzm",100,4,5,0,1,3
22,0.54860716166032,2,7,4,74,"1;2","EMtQhtzm",100,4,5,0,1,3
23,0.907363299111851,2,-1,4,73,"1;2","EMtQhtzm",100,4,5,0,1,3
24,0.825248254297178,2,-7,4,66,"1;2","EMtQhtzm",100,4,5,0,1,3
25,0.927820552789904,1,9,4,75,"1;2","EMtQhtzm",100,4,5,0,1,3
1,1.02016696232114,1,11,5,11,"1;2","EMtQhtzm",100,4,5,0,1,3
2,0.715606383351667,1,2,5,13,"1;2","EMtQhtzm",100,4,5,0,1,3
3,0.831251521121156,1,-1,5,12,"1;2","EMtQhtzm",100,4,5,0,1,3
4,0.669044485172389,1,4,5,16,"1;2","EMtQhtzm",100,4,5,0,1,3
