"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.37063555589725,2,2,1,2,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
2,0.591954346095103,2,4,1,6,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
3,0.802818623089822,2,2,1,8,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
4,0.526002673927361,2,4,1,12,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
5,0.944979248557781,2,2,1,14,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
6,0.770651468993526,2,6,1,20,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
7,1.04977289573442,2,0,1,20,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
8,0.834915232605387,2,6,1,26,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
9,0.5,2,0,1,26,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
10,0.989212266862002,1,-2,1,24,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
11,0.5,2,3,1,27,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
12,0.927233385540267,1,0,1,27,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
13,0.626722306617292,2,4,1,31,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
14,1.10190032433023,2,0,1,31,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
15,0.911131401847021,1,1,1,32,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
16,0.953971998313513,1,2,1,34,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
17,0.5,1,4,1,38,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
18,1.21233034405026,2,4,1,42,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
19,0.920494589596379,1,5,1,47,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
20,0.768868636186184,2,3,1,50,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
1,0.808739891290756,1,5,2,5,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
2,0.592653270590435,1,1,2,6,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
3,1.19884807380918,1,3,2,9,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
4,0.750647548589778,1,3,2,12,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
5,1.18921523162207,1,3,2,15,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
6,0.574260877492105,1,5,2,20,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
7,0.51636126788252,1,6,2,26,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
8,1.10494917035995,1,1,2,27,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
9,1.10486325659574,1,7,2,34,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
10,0.740817714088809,2,12,2,46,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
11,0.740185647978786,1,8,2,54,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
12,1.27759309151474,1,9,2,63,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
13,0.637814277413919,1,0,2,63,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
14,0.5,2,4,2,67,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
15,1.03144475412286,1,4,2,71,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
16,0.542556691297509,1,1,2,72,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
17,1.48663126447727,1,0,2,72,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
18,0.570113735459724,1,2,2,74,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
19,0.75163890937298,1,5,2,79,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
20,0.574289913931027,2,-9,2,70,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
21,1.14153061856827,1,-1,2,69,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
22,1.09329594699874,2,10,2,79,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
23,0.650409334588892,1,4,2,83,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
24,0.515952727632141,2,4,2,87,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
25,1.08603504629244,1,2,2,89,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
1,0.84778399564385,1,7,3,7,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
2,0.778872473771569,1,8,3,15,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
3,0.667071158786589,1,5,3,20,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
4,0.5,1,5,3,25,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
5,0.706266455069405,1,7,3,32,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
6,0.776187334946521,1,5,3,37,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
7,0.637640206969559,2,1,3,38,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
8,0.794852202112047,2,3,3,41,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
9,1.12064261972916,1,6,3,47,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
10,0.590893917270037,2,3,3,50,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
11,0.52147406393355,2,12,3,62,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
12,0.521668437599739,2,-14,3,48,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
13,0.813013044030119,1,4,3,52,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
14,0.795228392319362,1,7,3,59,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
15,0.5,1,11,3,70,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
16,1.05925379280864,1,3,3,73,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
17,0.576058594190693,1,6,3,79,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
18,0.967758598893153,1,5,3,84,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
19,1.0281670610253,1,7,3,91,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
20,0.937077563521592,1,6,3,97,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
21,0.904259039928112,1,0,3,97,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
22,0.5,1,3,3,100,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
23,1.11966186465346,2,8,3,108,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
24,0.651966218495587,1,1,3,109,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
25,0.5,1,4,3,113,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
1,0.932002837096216,1,17,4,17,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
2,0.971064007521294,1,-2,4,15,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
3,1.22474467062181,2,6,4,21,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
4,0.733023456325658,2,4,4,25,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
5,0.698510303397249,2,7,4,32,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
6,0.992349064219307,2,5,4,37,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
7,0.993958401283277,2,3,4,40,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
8,1.02240449378944,2,5,4,45,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
9,0.630890548325679,2,6,4,51,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
10,0.913372660340158,2,6,4,57,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
11,1.22670231066309,2,0,4,57,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
12,0.892706414133486,2,4,4,61,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
13,0.83787390297981,2,3,4,64,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
14,0.586925543864608,2,5,4,69,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
15,0.520992455025263,2,5,4,74,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
16,0.821641582458124,2,2,4,76,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
17,0.993478036562324,2,7,4,83,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
18,1.01108241132745,2,2,4,85,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
19,0.739117316747933,2,6,4,91,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
20,0.772376857079311,2,5,4,96,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
21,1.17709934701342,2,4,4,100,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
22,0.5,2,2,4,102,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
23,0.842201470345485,1,6,4,108,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
24,0.719213077589009,2,2,4,110,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
25,0.547351869480476,1,4,4,114,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
1,0.629565641388375,1,0,5,0,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
2,0.5,1,1,5,1,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
3,0.676038752208413,1,20,5,21,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
4,0.85433468122864,2,1,5,22,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
5,1.04302527153332,2,4,5,26,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
6,1.09588390208745,2,7,5,33,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
7,0.5,2,7,5,40,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
8,0.528302735976866,2,3,5,43,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
9,0.743925482848183,2,7,5,50,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
10,0.5,2,6,5,56,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
11,0.513286003198127,2,3,5,59,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
12,0.915203803308363,2,4,5,63,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
13,0.931531223257977,2,7,5,70,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
14,0.717787722382589,2,0,5,70,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
15,0.923651456997353,2,1,5,71,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
16,0.924227862365839,2,6,5,77,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
17,0.678084246275069,2,1,5,78,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
18,1.10047038361472,2,1,5,79,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
19,0.588395610539088,2,7,5,86,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
20,1.03164819486568,2,5,5,91,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
21,1.02408870430732,2,3,5,94,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
22,0.765795501329103,2,1,5,95,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
23,0.728294370369232,2,8,5,103,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
24,0.5,1,-25,5,78,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
25,0.5,1,2,5,80,"2;1","ETQbfu2u",0,1,NA,0,1.09,2
1,0.512911345005557,1,4,6,4,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
2,0.76367407176584,1,4,6,8,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
3,0.719421669806032,1,2,6,10,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
4,0.656153467925416,1,4,6,14,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
5,0.769814359476447,2,-6,6,8,"1;2","ETQbfu2u",0,1,NA,0,1.09,2
