"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.674366045624243,1,-2,1,-2,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
2,1.01326744327859,1,4,1,2,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
3,0.803783575110392,1,4,1,6,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
4,0.651448386532916,2,2,1,8,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
5,0.579584962737627,2,5,1,13,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
6,1.27195978911182,2,1,1,14,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
7,0.955664324041842,1,4,1,18,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
8,0.796595240729755,2,0,1,18,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
9,0.935949502676116,2,1,1,19,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
10,1.16738239842929,1,3,1,22,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
11,1.12841124499458,1,3,1,25,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
12,0.5,1,6,1,31,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
13,0.651733358491605,1,3,1,34,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
14,0.699785542085976,2,2,1,36,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
15,0.827433074128173,1,4,1,40,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
16,0.911702294275916,1,2,1,42,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
17,0.640404982465346,1,4,1,46,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
18,0.93147125163742,2,3,1,49,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
19,0.751045330848851,1,6,1,55,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
20,0.776151525240092,2,3,1,58,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
1,0.5,1,2,2,2,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
2,0.65705126441169,1,4,2,6,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
3,0.5,1,2,2,8,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
4,0.846609865796206,1,1,2,9,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
5,0.804782834742676,2,30,2,39,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
6,0.5,2,1,2,40,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
7,1.07057593644364,1,3,2,43,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
8,0.942292900737582,1,8,2,51,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
9,0.843229062989898,1,2,2,53,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
10,0.829385305428964,1,5,2,58,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
11,0.827114376100799,2,6,2,64,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
12,0.834150586177563,1,5,2,69,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
13,0.967815072005177,2,19,2,88,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
14,0.631305227998697,1,2,2,90,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
15,0.589104283580066,1,5,2,95,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
16,0.5,2,16,2,111,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
17,0.646139842745531,1,3,2,114,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
18,0.537246429551773,1,0,2,114,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
19,0.86433057450011,1,3,2,117,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
20,0.634037453562853,1,2,2,119,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
21,0.56786554694196,1,10,2,129,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
22,1.01077859199833,2,3,2,132,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
23,1.4783377584106,2,-1,2,131,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
24,0.82797906181401,1,4,2,135,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
25,0.681071937492202,1,4,2,139,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
1,0.803327723420221,1,2,3,2,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
2,1.17675113250192,1,7,3,9,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
3,1.24647640382142,1,9,3,18,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
4,0.773675391625528,2,-7,3,11,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
5,0.564473511202468,1,2,3,13,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
6,0.680186158677837,2,18,3,31,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
7,0.778122056740262,2,-6,3,25,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
8,0.647449630045051,2,-4,3,21,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
9,1.42352676272538,1,7,3,28,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
10,0.77013374826822,1,2,3,30,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
11,0.569160851108421,1,4,3,34,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
12,0.512455078734336,2,32,3,66,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
13,0.5,1,1,3,67,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
14,0.851608081323451,2,5,3,72,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
15,0.5,2,26,3,98,"1;2","EXvF7tlM",0,1,NA,0,1.16,3
