"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.25270962934401,1,0,1,0,"1;2","FPLg6THU",0,1,NA,1,0.91,2
2,1.13177286738978,1,6,1,6,"1;2","FPLg6THU",0,1,NA,1,0.91,2
3,1.32283478527964,1,0,1,6,"1;2","FPLg6THU",0,1,NA,1,0.91,2
4,0.826592356266638,1,5,1,11,"1;2","FPLg6THU",0,1,NA,1,0.91,2
5,1.11298680186656,1,2,1,13,"1;2","FPLg6THU",0,1,NA,1,0.91,2
6,1.20069046340764,1,6,1,19,"1;2","FPLg6THU",0,1,NA,1,0.91,2
7,0.5,1,1,1,20,"1;2","FPLg6THU",0,1,NA,1,0.91,2
8,1.15041877539524,1,3,1,23,"1;2","FPLg6THU",0,1,NA,1,0.91,2
9,0.667695232097539,1,5,1,28,"1;2","FPLg6THU",0,1,NA,1,0.91,2
10,0.63006221689211,1,0,1,28,"1;2","FPLg6THU",0,1,NA,1,0.91,2
11,0.5,1,4,1,32,"1;2","FPLg6THU",0,1,NA,1,0.91,2
12,0.889268180024212,1,3,1,35,"1;2","FPLg6THU",0,1,NA,1,0.91,2
13,0.753372277256293,1,3,1,38,"1;2","FPLg6THU",0,1,NA,1,0.91,2
14,0.959914305055502,1,2,1,40,"1;2","FPLg6THU",0,1,NA,1,0.91,2
15,0.689938672592567,1,2,1,42,"1;2","FPLg6THU",0,1,NA,1,0.91,2
16,0.940589546796942,1,1,1,43,"1;2","FPLg6THU",0,1,NA,1,0.91,2
17,0.76208572948593,1,4,1,47,"1;2","FPLg6THU",0,1,NA,1,0.91,2
18,1.15454134666355,1,5,1,52,"1;2","FPLg6THU",0,1,NA,1,0.91,2
19,0.713544241395228,1,3,1,55,"1;2","FPLg6THU",0,1,NA,1,0.91,2
20,0.584009613743277,1,6,1,61,"1;2","FPLg6THU",0,1,NA,1,0.91,2
1,0.773188913188416,2,7,2,7,"2;1","FPLg6THU",0,1,NA,1,0.91,2
2,0.567098026153122,2,3,2,10,"2;1","FPLg6THU",0,1,NA,1,0.91,2
3,0.87671948260257,2,-1,2,9,"2;1","FPLg6THU",0,1,NA,1,0.91,2
4,0.719287097628587,2,4,2,13,"2;1","FPLg6THU",0,1,NA,1,0.91,2
5,0.624794532912783,2,5,2,18,"2;1","FPLg6THU",0,1,NA,1,0.91,2
6,0.908260132517424,2,6,2,24,"2;1","FPLg6THU",0,1,NA,1,0.91,2
7,0.859123902824071,2,1,2,25,"2;1","FPLg6THU",0,1,NA,1,0.91,2
8,1.05244166979226,2,7,2,32,"2;1","FPLg6THU",0,1,NA,1,0.91,2
9,1.09740420836513,2,6,2,38,"2;1","FPLg6THU",0,1,NA,1,0.91,2
10,0.747802465849853,2,5,2,43,"2;1","FPLg6THU",0,1,NA,1,0.91,2
11,0.885333475683197,2,6,2,49,"2;1","FPLg6THU",0,1,NA,1,0.91,2
12,0.918434318956385,2,7,2,56,"2;1","FPLg6THU",0,1,NA,1,0.91,2
13,0.911205850181647,2,4,2,60,"2;1","FPLg6THU",0,1,NA,1,0.91,2
14,0.690082991466422,2,3,2,63,"2;1","FPLg6THU",0,1,NA,1,0.91,2
15,0.897120562874377,2,8,2,71,"2;1","FPLg6THU",0,1,NA,1,0.91,2
16,0.992940953469212,2,0,2,71,"2;1","FPLg6THU",0,1,NA,1,0.91,2
17,0.580304383697089,2,7,2,78,"2;1","FPLg6THU",0,1,NA,1,0.91,2
18,1.18666900093644,1,-5,2,73,"2;1","FPLg6THU",0,1,NA,1,0.91,2
19,0.879276279428457,2,7,2,80,"2;1","FPLg6THU",0,1,NA,1,0.91,2
20,0.774257274425041,2,10,2,90,"2;1","FPLg6THU",0,1,NA,1,0.91,2
21,1.26656451047712,2,6,2,96,"2;1","FPLg6THU",0,1,NA,1,0.91,2
22,1.08439092864661,2,1,2,97,"2;1","FPLg6THU",0,1,NA,1,0.91,2
23,0.5,2,2,2,99,"2;1","FPLg6THU",0,1,NA,1,0.91,2
24,1.02745460132872,2,3,2,102,"2;1","FPLg6THU",0,1,NA,1,0.91,2
25,0.5,2,2,2,104,"2;1","FPLg6THU",0,1,NA,1,0.91,2
1,0.824415857771736,1,-8,3,-8,"2;1","FPLg6THU",0,1,NA,1,0.91,2
2,0.788144410463089,2,10,3,2,"2;1","FPLg6THU",0,1,NA,1,0.91,2
3,0.5,2,6,3,8,"2;1","FPLg6THU",0,1,NA,1,0.91,2
4,0.585707266252054,2,4,3,12,"2;1","FPLg6THU",0,1,NA,1,0.91,2
5,1.07043194933382,2,8,3,20,"2;1","FPLg6THU",0,1,NA,1,0.91,2
6,0.874499367988227,2,7,3,27,"2;1","FPLg6THU",0,1,NA,1,0.91,2
7,1.01527882717973,2,6,3,33,"2;1","FPLg6THU",0,1,NA,1,0.91,2
8,1.09423853008592,2,6,3,39,"2;1","FPLg6THU",0,1,NA,1,0.91,2
9,0.767830758963506,2,0,3,39,"2;1","FPLg6THU",0,1,NA,1,0.91,2
10,0.536188113490827,2,1,3,40,"2;1","FPLg6THU",0,1,NA,1,0.91,2
11,0.571267102803118,2,8,3,48,"2;1","FPLg6THU",0,1,NA,1,0.91,2
12,0.793558270331118,2,5,3,53,"2;1","FPLg6THU",0,1,NA,1,0.91,2
13,1.06824845983514,2,2,3,55,"2;1","FPLg6THU",0,1,NA,1,0.91,2
14,0.858326364041472,2,1,3,56,"2;1","FPLg6THU",0,1,NA,1,0.91,2
15,0.709477472114021,2,10,3,66,"2;1","FPLg6THU",0,1,NA,1,0.91,2
16,0.5,2,4,3,70,"2;1","FPLg6THU",0,1,NA,1,0.91,2
17,0.761131277661901,2,6,3,76,"2;1","FPLg6THU",0,1,NA,1,0.91,2
18,1.03349086175347,2,4,3,80,"2;1","FPLg6THU",0,1,NA,1,0.91,2
19,0.838051112981742,2,1,3,81,"2;1","FPLg6THU",0,1,NA,1,0.91,2
20,0.5,2,4,3,85,"2;1","FPLg6THU",0,1,NA,1,0.91,2
21,1.2187694495736,2,0,3,85,"2;1","FPLg6THU",0,1,NA,1,0.91,2
22,0.544728735150842,2,5,3,90,"2;1","FPLg6THU",0,1,NA,1,0.91,2
