"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.03151045510486,2,2,1,2,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
2,0.869510457882126,1,3,1,5,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
3,0.819934303202185,1,5,1,10,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
4,0.5,2,5,1,15,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
5,0.908988695510708,2,3,1,18,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
6,1.01784299163193,2,3,1,21,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
7,0.9321194020186,2,-1,1,20,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
8,0.713339573438542,1,4,1,24,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
9,0.728238960716563,2,3,1,27,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
10,0.95144549817418,2,-1,1,26,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
11,1.06942591566197,2,4,1,30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
12,0.791701050078055,1,1,1,31,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
13,1.11537249989517,1,3,1,34,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
14,0.656498068228293,2,5,1,39,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
15,1.09277576180269,2,4,1,43,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
16,1.09325774129902,1,5,1,48,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
17,1.03618081885328,1,5,1,53,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
18,0.971514032881581,1,2,1,55,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
19,0.5,2,6,1,61,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
20,0.56171514592636,1,2,1,63,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
1,0.89856891922706,2,-1,2,-1,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
2,0.826593879879626,1,0,2,-1,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
3,0.848046534485923,1,3,2,2,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
4,0.984204512628849,2,23,2,25,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
5,1.04496362224387,2,2,2,27,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
6,0.877174988607644,2,5,2,32,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
7,0.760866634083973,2,-2,2,30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
8,0.882908811514421,2,0,2,30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
9,0.899733888850798,2,5,2,35,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
10,0.851483890661341,2,-1,2,34,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
11,0.5,2,-10,2,24,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
12,0.531858133246553,2,7,2,31,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
13,0.899922597691729,2,-1,2,30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
14,1.33029599041931,2,2,2,32,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
15,0.935780850450876,2,23,2,55,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
16,0.699263407066614,2,23,2,78,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
17,1.2917933591956,2,6,2,84,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
18,0.740572531590841,2,15,2,99,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
19,0.692216804194549,2,16,2,115,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
20,0.733136662807915,1,3,2,118,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
21,0.863721136913063,1,1,2,119,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
22,0.5,1,0,2,119,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
23,0.94216715328762,1,2,2,121,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
24,0.899542097992575,1,-2,2,119,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
25,0.629369380320307,1,4,2,123,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
1,0.598268326232094,1,10,3,10,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
2,0.942791868789523,1,2,3,12,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
3,0.87119647464428,1,2,3,14,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
4,0.651022552643935,1,-3,3,11,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
5,0.559842625772785,1,15,3,26,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
6,0.808510046025293,1,-7,3,19,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
7,0.521402150679817,1,-3,3,16,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
8,0.5,1,33,3,49,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
9,0.815766617083578,1,12,3,61,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
10,0.995940859864697,1,6,3,67,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
11,0.681772580600801,1,7,3,74,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
12,1.20251678551038,1,7,3,81,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
13,0.719166175034676,1,6,3,87,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
14,0.818690109916548,2,3,3,90,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
15,0.98384496074493,1,9,3,99,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
16,0.778236029883313,1,5,3,104,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
17,0.764731046943772,2,3,3,107,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
18,0.745495651116517,2,3,3,110,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
19,0.5,2,2,3,112,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
20,0.682388715844353,2,1,3,113,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
21,0.5,2,-3,3,110,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
22,0.914662791611727,2,8,3,118,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
23,0.824529012312115,2,4,3,122,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
24,0.5,1,26,3,148,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
25,1.08784684061547,2,2,3,150,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
1,0.840797816084579,2,1,4,1,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
2,1.09485442823255,1,-3,4,-2,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
3,1.04987030474781,1,3,4,1,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
4,0.5,1,-3,4,-2,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
5,0.808678276528102,1,4,4,2,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
6,0.685175407864093,1,1,4,3,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
7,0.803065996406148,1,-3,4,0,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
8,0.752017476241621,1,0,4,0,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
9,0.806585316403785,2,16,4,16,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
10,0.984373613308973,2,11,4,27,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
11,0.5,2,-11,4,16,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
12,0.848886915638146,2,-2,4,14,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
13,0.979773660600349,1,2,4,16,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
14,1.13364117772122,2,14,4,30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
15,0.662288269696041,2,-4,4,26,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
16,0.780151441189733,2,-6,4,20,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
17,0.963653088707382,1,4,4,24,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
18,0.5,1,3,4,27,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
19,0.858182256856708,2,1,4,28,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
20,0.685063934469901,2,-4,4,24,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
21,0.778398156726082,2,3,4,27,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
22,0.602102481082836,2,-13,4,14,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
23,0.996806547588848,2,-7,4,7,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
24,1.06254372090646,1,8,4,15,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
25,0.530772964565973,2,14,4,29,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
1,0.683099522680919,2,0,5,0,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
2,0.636511285077294,2,1,5,1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
3,0.960356935792045,2,-4,5,-3,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
4,1.25203405131235,1,2,5,-1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
5,1.39063948911366,2,7,5,6,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
6,0.689820025374121,2,4,5,10,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
7,1.19825675290946,2,2,5,12,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
8,1.10984133224496,2,0,5,12,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
9,0.740111382191484,1,-5,5,7,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
10,0.563056571459925,1,-5,5,2,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
11,0.816536669891219,2,-1,5,1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
12,0.606905023885592,2,0,5,1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
13,0.862607679499577,1,22,5,23,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
14,0.910137825679461,1,9,5,32,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
15,1.09491378263194,1,22,5,54,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
16,0.580511535926669,1,19,5,73,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
17,0.77476183817076,1,-12,5,61,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
18,0.659673037068066,2,7,5,68,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
19,0.857301262765961,1,-2,5,66,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
20,0.755242664100216,2,3,5,69,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
21,0.691927456763979,1,2,5,71,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
22,0.9121745701894,1,-10,5,61,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
23,0.622688440269488,1,5,5,66,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
24,0.913754637303731,1,10,5,76,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
25,0.721870237496683,2,4,5,80,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
1,0.822844325571209,2,1,6,1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
2,0.765972731264759,1,-28,6,-27,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
3,1.33890906636591,2,0,6,-27,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
4,0.770181390420415,1,4,6,-23,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
5,0.859064761487722,1,-22,6,-45,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
6,0.630026261476068,1,6,6,-39,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
7,1.14626150563278,1,7,6,-32,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
8,0.5,1,6,6,-26,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
9,0.707304279950172,2,4,6,-22,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
10,0.893135277818081,2,8,6,-14,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
11,0.990928578619223,1,3,6,-11,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
12,0.881090859098177,1,5,6,-6,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
13,1.11701185744059,1,-21,6,-27,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
14,0.728845470286484,1,8,6,-19,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
15,1.13629989026406,1,18,6,-1,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
16,0.527190073090204,1,7,6,6,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
17,0.98347337439212,2,2,6,8,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
18,0.794361581794818,2,2,6,10,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
19,0.5,2,3,6,13,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
20,0.99179114377722,1,9,6,22,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
21,0.791316283735462,1,2,6,24,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
22,0.897999463166019,1,-9,6,15,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
23,1.18880236685009,2,4,6,19,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
24,0.5,1,2,6,21,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
25,0.877306187938411,1,8,6,29,"2;1","FbJ8HoyX",100,6,7,0,1.4,1
1,0.834939844257529,1,6,7,6,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
2,1.27399560078746,1,8,7,14,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
3,0.699387218099515,2,-15,7,-1,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
4,0.825906572476671,2,-6,7,-7,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
5,1.24741797212168,2,-23,7,-30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
6,0.80181388137256,1,0,7,-30,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
7,0.984334759815933,1,-1,7,-31,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
8,0.890251714780936,1,3,7,-28,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
9,1.24834435129483,1,5,7,-23,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
10,0.5,2,13,7,-10,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
11,0.874569636159746,2,19,7,9,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
12,0.748796005918143,2,23,7,32,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
13,0.909308023089819,2,18,7,50,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
14,1.12204923278394,2,9,7,59,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
15,1.1900523837642,2,-8,7,51,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
16,0.756418742109798,1,3,7,54,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
17,0.739315340049406,2,9,7,63,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
18,0.970047768913837,2,14,7,77,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
19,0.881947681137728,2,-10,7,67,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
20,1.15683401988304,2,1,7,68,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
21,0.886342628482575,2,1,7,69,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
22,0.722489476364001,1,0,7,69,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
23,0.952411391069933,2,20,7,89,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
24,0.885889133040109,2,17,7,106,"1;2","FbJ8HoyX",100,6,7,0,1.4,1
