"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.637202237406151,1,3,1,3,"1;2","FexHL13L",100,5,2,0,0.4,1
2,0.845636377536807,1,1,1,4,"1;2","FexHL13L",100,5,2,0,0.4,1
3,0.890878000117391,1,3,1,7,"1;2","FexHL13L",100,5,2,0,0.4,1
4,0.971275313261003,1,-1,1,6,"1;2","FexHL13L",100,5,2,0,0.4,1
5,0.5,1,2,1,8,"1;2","FexHL13L",100,5,2,0,0.4,1
6,0.801050711127362,1,3,1,11,"1;2","FexHL13L",100,5,2,0,0.4,1
7,1.19884877023085,2,2,1,13,"1;2","FexHL13L",100,5,2,0,0.4,1
8,0.730020722463067,2,3,1,16,"1;2","FexHL13L",100,5,2,0,0.4,1
9,0.557572398509875,1,5,1,21,"1;2","FexHL13L",100,5,2,0,0.4,1
10,1.18739093446374,2,3,1,24,"1;2","FexHL13L",100,5,2,0,0.4,1
11,0.631203998983609,2,-1,1,23,"1;2","FexHL13L",100,5,2,0,0.4,1
12,0.66796963323626,2,4,1,27,"1;2","FexHL13L",100,5,2,0,0.4,1
13,0.596221850038038,1,3,1,30,"1;2","FexHL13L",100,5,2,0,0.4,1
14,0.5,1,5,1,35,"1;2","FexHL13L",100,5,2,0,0.4,1
15,0.708224736591969,1,4,1,39,"1;2","FexHL13L",100,5,2,0,0.4,1
16,0.5,2,2,1,41,"1;2","FexHL13L",100,5,2,0,0.4,1
17,0.889790102751478,1,3,1,44,"1;2","FexHL13L",100,5,2,0,0.4,1
18,0.619595216566909,1,2,1,46,"1;2","FexHL13L",100,5,2,0,0.4,1
19,0.548322144036588,1,3,1,49,"1;2","FexHL13L",100,5,2,0,0.4,1
20,0.768959199972852,1,4,1,53,"1;2","FexHL13L",100,5,2,0,0.4,1
1,0.502844408539523,2,8,2,8,"2;1","FexHL13L",100,5,2,0,0.4,1
2,0.870044704398258,2,1,2,9,"2;1","FexHL13L",100,5,2,0,0.4,1
3,0.643911405015714,2,-4,2,5,"2;1","FexHL13L",100,5,2,0,0.4,1
4,0.766431228309423,2,2,2,7,"2;1","FexHL13L",100,5,2,0,0.4,1
5,0.653868078892115,2,7,2,14,"2;1","FexHL13L",100,5,2,0,0.4,1
6,0.657116542380898,2,1,2,15,"2;1","FexHL13L",100,5,2,0,0.4,1
7,1.25286207858271,2,0,2,15,"2;1","FexHL13L",100,5,2,0,0.4,1
8,0.685164269940704,1,11,2,26,"2;1","FexHL13L",100,5,2,0,0.4,1
9,0.659365745992947,2,1,2,27,"2;1","FexHL13L",100,5,2,0,0.4,1
10,0.541297884908059,2,7,2,34,"2;1","FexHL13L",100,5,2,0,0.4,1
11,0.65245407080866,2,5,2,39,"2;1","FexHL13L",100,5,2,0,0.4,1
12,0.691357550113051,1,4,2,43,"2;1","FexHL13L",100,5,2,0,0.4,1
13,0.906950962033631,1,-11,2,32,"2;1","FexHL13L",100,5,2,0,0.4,1
14,0.541653535909958,2,4,2,36,"2;1","FexHL13L",100,5,2,0,0.4,1
15,0.864882145796531,1,8,2,44,"2;1","FexHL13L",100,5,2,0,0.4,1
16,0.844401431717991,1,6,2,50,"2;1","FexHL13L",100,5,2,0,0.4,1
17,0.736780560834889,2,2,2,52,"2;1","FexHL13L",100,5,2,0,0.4,1
18,0.633791141482028,1,-12,2,40,"2;1","FexHL13L",100,5,2,0,0.4,1
19,0.959876358838375,2,3,2,43,"2;1","FexHL13L",100,5,2,0,0.4,1
20,0.817852726263184,2,5,2,48,"2;1","FexHL13L",100,5,2,0,0.4,1
21,1.38291610527885,2,7,2,55,"2;1","FexHL13L",100,5,2,0,0.4,1
22,0.5,1,-13,2,42,"2;1","FexHL13L",100,5,2,0,0.4,1
23,0.940811052062007,1,7,2,49,"2;1","FexHL13L",100,5,2,0,0.4,1
24,1.14340857501178,1,4,2,53,"2;1","FexHL13L",100,5,2,0,0.4,1
25,1.42946271890382,2,4,2,57,"2;1","FexHL13L",100,5,2,0,0.4,1
1,1.08975541966857,2,15,3,15,"1;2","FexHL13L",100,5,2,0,0.4,1
2,0.95722374915713,2,7,3,22,"1;2","FexHL13L",100,5,2,0,0.4,1
3,0.835167953330752,1,8,3,30,"1;2","FexHL13L",100,5,2,0,0.4,1
4,0.753886559255194,2,-8,3,22,"1;2","FexHL13L",100,5,2,0,0.4,1
5,0.5,2,19,3,41,"1;2","FexHL13L",100,5,2,0,0.4,1
6,0.557191742178906,2,11,3,52,"1;2","FexHL13L",100,5,2,0,0.4,1
7,0.96360359664589,1,5,3,57,"1;2","FexHL13L",100,5,2,0,0.4,1
8,0.705156764325481,2,0,3,57,"1;2","FexHL13L",100,5,2,0,0.4,1
9,0.543156551919181,2,6,3,63,"1;2","FexHL13L",100,5,2,0,0.4,1
10,0.933021377929111,2,13,3,76,"1;2","FexHL13L",100,5,2,0,0.4,1
11,0.665789408364237,1,7,3,83,"1;2","FexHL13L",100,5,2,0,0.4,1
12,0.967825753674462,1,3,3,86,"1;2","FexHL13L",100,5,2,0,0.4,1
13,0.630490864750102,1,3,3,89,"1;2","FexHL13L",100,5,2,0,0.4,1
14,1.18147861555405,1,4,3,93,"1;2","FexHL13L",100,5,2,0,0.4,1
15,0.674966178056619,1,8,3,101,"1;2","FexHL13L",100,5,2,0,0.4,1
16,0.79788208351874,2,-15,3,86,"1;2","FexHL13L",100,5,2,0,0.4,1
17,0.813625231942745,1,6,3,92,"1;2","FexHL13L",100,5,2,0,0.4,1
18,0.5,1,3,3,95,"1;2","FexHL13L",100,5,2,0,0.4,1
19,0.862546934068083,1,2,3,97,"1;2","FexHL13L",100,5,2,0,0.4,1
20,0.5,1,4,3,101,"1;2","FexHL13L",100,5,2,0,0.4,1
21,0.779784806645135,1,5,3,106,"1;2","FexHL13L",100,5,2,0,0.4,1
22,0.715819887601842,1,2,3,108,"1;2","FexHL13L",100,5,2,0,0.4,1
23,1.06782933146099,1,7,3,115,"1;2","FexHL13L",100,5,2,0,0.4,1
24,0.997958974416423,1,4,3,119,"1;2","FexHL13L",100,5,2,0,0.4,1
25,1.22022051604662,2,9,3,128,"1;2","FexHL13L",100,5,2,0,0.4,1
1,0.5,2,-17,4,-17,"1;2","FexHL13L",100,5,2,0,0.4,1
2,0.61548884690345,2,10,4,-7,"1;2","FexHL13L",100,5,2,0,0.4,1
3,1.57294326273204,2,-14,4,-21,"1;2","FexHL13L",100,5,2,0,0.4,1
4,0.5,1,0,4,-21,"1;2","FexHL13L",100,5,2,0,0.4,1
5,0.700166383685678,2,31,4,10,"1;2","FexHL13L",100,5,2,0,0.4,1
6,0.813271455793448,2,-10,4,0,"1;2","FexHL13L",100,5,2,0,0.4,1
7,0.63184194210586,2,-1,4,-1,"1;2","FexHL13L",100,5,2,0,0.4,1
8,0.786619328872483,1,2,4,1,"1;2","FexHL13L",100,5,2,0,0.4,1
9,0.907995811752024,2,-9,4,-8,"1;2","FexHL13L",100,5,2,0,0.4,1
10,0.691904481390997,2,2,4,-6,"1;2","FexHL13L",100,5,2,0,0.4,1
11,0.881006431223617,2,-5,4,-11,"1;2","FexHL13L",100,5,2,0,0.4,1
12,0.820329005710363,2,-13,4,-24,"1;2","FexHL13L",100,5,2,0,0.4,1
13,0.897224439429535,1,5,4,-19,"1;2","FexHL13L",100,5,2,0,0.4,1
14,0.714497757492281,2,-16,4,-35,"1;2","FexHL13L",100,5,2,0,0.4,1
15,0.923607399658471,2,9,4,-26,"1;2","FexHL13L",100,5,2,0,0.4,1
16,1.31604196871265,1,4,4,-22,"1;2","FexHL13L",100,5,2,0,0.4,1
17,0.691207756281469,2,0,4,-22,"1;2","FexHL13L",100,5,2,0,0.4,1
18,0.924626944172295,1,1,4,-21,"1;2","FexHL13L",100,5,2,0,0.4,1
19,1.07454425868217,2,-3,4,-24,"1;2","FexHL13L",100,5,2,0,0.4,1
20,0.879555217864032,1,1,4,-23,"1;2","FexHL13L",100,5,2,0,0.4,1
21,1.17294798793972,2,-2,4,-25,"1;2","FexHL13L",100,5,2,0,0.4,1
22,0.623275841347813,2,8,4,-17,"1;2","FexHL13L",100,5,2,0,0.4,1
