"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.555337092337711,1,3,1,3,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
2,0.600548836471838,1,3,1,6,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
3,0.840226603360063,1,2,1,8,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
4,0.5,1,7,1,15,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
5,0.776055421079834,1,3,1,18,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
6,0.731811289198088,2,3,1,21,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
7,0.873467844633287,2,5,1,26,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
8,1.30111921345482,1,2,1,28,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
9,1.12649265671213,2,3,1,31,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
10,0.925781360667156,2,3,1,34,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
11,0.710708695801419,1,5,1,39,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
12,0.826905260383096,1,3,1,42,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
13,0.959133557353237,2,1,1,43,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
14,0.938215764289504,1,-1,1,42,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
15,0.977412565769517,2,4,1,46,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
16,0.641831137132817,2,1,1,47,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
17,1.04187258886219,2,0,1,47,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
18,0.5,1,5,1,52,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
19,0.726369389514369,2,1,1,53,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
20,0.93229552517828,2,5,1,58,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
1,1.01144584169798,1,4,2,4,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
2,1.21028891175951,1,8,2,12,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
3,0.781752156775174,1,-1,2,11,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
4,0.821243179479225,2,-1,2,10,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
5,0.935737982702353,1,5,2,15,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
6,0.917155395739033,1,2,2,17,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
7,0.88728404096108,1,2,2,19,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
8,1.13448723025123,1,3,2,22,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
9,0.88402956054622,2,-18,2,4,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
10,0.979081091648527,1,2,2,6,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
11,0.700441955909477,2,-2,2,4,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
12,0.713698068479007,1,4,2,8,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
13,0.823942167877691,2,-8,2,0,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
14,0.611935058907433,1,3,2,3,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
15,0.960068171818163,2,7,2,10,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
16,0.819584639145311,1,2,2,12,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
17,0.743987468829452,2,10,2,22,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
18,0.5,2,21,2,43,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
19,0.640690938938112,1,6,2,49,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
20,0.92146556121241,2,1,2,50,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
21,0.605848733992844,1,5,2,55,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
22,0.689876973017917,1,2,2,57,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
23,0.980495314524586,2,2,2,59,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
24,0.863891476632933,1,7,2,66,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
25,0.989296051339752,1,10,2,76,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
1,0.8110637357768,1,6,3,6,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
2,0.699790456324033,2,8,3,14,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
3,0.596004136663167,1,3,3,17,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
4,1.03598628766501,2,-8,3,9,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
5,0.839140787594477,2,24,3,33,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
6,0.538346910247558,1,6,3,39,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
7,0.985034261626768,2,13,3,52,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
8,0.5,2,9,3,61,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
9,1.05770959027766,1,2,3,63,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
10,0.839383038563556,1,9,3,72,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
11,0.922134106599034,1,7,3,79,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
12,0.81736415457205,1,6,3,85,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
13,0.691781644840481,2,0,3,85,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
14,1.10330716596042,1,4,3,89,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
15,0.563144871673292,1,5,3,94,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
16,1.00016451225194,2,-3,3,91,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
17,0.725476864183119,1,6,3,97,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
18,0.64870744748519,1,6,3,103,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
19,0.500606008767969,1,4,3,107,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
20,0.5,1,7,3,114,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
21,0.642748977196041,2,-14,3,100,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
22,0.5,1,4,3,104,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
23,1.02787706775185,1,2,3,106,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
24,0.686230301759817,1,6,3,112,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
25,0.834328492965108,1,4,3,116,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
1,0.992661531430163,2,17,4,17,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
2,0.761275571030703,1,4,4,21,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
3,0.858541497782531,1,1,4,22,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
4,0.978545558467766,2,3,4,25,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
5,0.928719119375431,1,2,4,27,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
6,0.597015515723478,1,3,4,30,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
7,0.656109628645101,1,6,4,36,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
8,0.504201554974117,1,3,4,39,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
9,0.5,1,3,4,42,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
10,0.830936639786427,1,6,4,48,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
11,0.950647478162685,1,1,4,49,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
12,1.0662496435919,2,1,4,50,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
13,0.5,1,3,4,53,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
14,0.538804823590301,1,2,4,55,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
15,0.950373280322263,1,5,4,60,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
16,0.598196111903686,2,19,4,79,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
17,0.524719189685521,1,4,4,83,"1;2","FsTYZOQb",0,1,NA,0,1.13,3
