"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.838872248521263,1,4,1,4,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
2,0.893821058702464,1,1,1,5,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
3,0.794222237887201,1,4,1,9,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
4,0.87242889220395,1,2,1,11,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
5,1.2481231588653,1,6,1,17,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
6,0.991389690356964,1,1,1,18,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
7,1.02821031678785,1,3,1,21,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
8,0.5,1,4,1,25,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
9,0.591714310512502,2,6,1,31,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
10,1.11292830541039,1,1,1,32,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
11,0.755294110425342,1,7,1,39,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
12,0.990047535175043,1,4,1,43,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
13,0.5,1,5,1,48,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
14,0.922527114320351,1,3,1,51,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
15,0.5,1,3,1,54,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
16,0.5,1,3,1,57,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
17,0.6885886720534,1,3,1,60,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
18,0.658511626482407,2,3,1,63,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
19,0.957772591489545,1,3,1,66,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
20,0.883226279303427,1,6,1,72,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
1,0.63663453126025,1,7,2,7,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
2,1.05235442634813,2,10,2,17,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
3,0.765802681161967,2,-10,2,7,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
4,0.961512199143426,1,4,2,11,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
5,0.721967338871748,1,6,2,17,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
6,0.834154711399214,2,6,2,23,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
7,0.688222448981501,2,4,2,27,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
8,0.6468845487145,1,2,2,29,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
9,0.517179231878245,2,-5,2,24,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
10,0.5,1,9,2,33,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
11,0.994691009594754,1,4,2,37,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
12,0.839176989199654,1,3,2,40,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
13,1.21824280206238,2,-5,2,35,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
14,1.05920824113582,1,6,2,41,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
15,1.21047548355569,1,5,2,46,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
16,0.797932431964857,1,4,2,50,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
17,0.64758102723132,1,4,2,54,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
18,0.5,1,2,2,56,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
19,0.747613194547558,1,5,2,61,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
20,0.5,2,-10,2,51,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
21,0.71606153464636,1,1,2,52,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
22,0.587242558226569,1,9,2,61,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
23,1.09816203181504,1,5,2,66,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
24,0.81786253345814,1,2,2,68,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
25,0.850857040944158,2,34,2,102,"1;2","GXeQ7CRj",100,5,3,1,0.6,3
1,0.669876589640885,1,16,3,16,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
2,0.6066858738248,1,6,3,22,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
3,0.920139202444347,2,4,3,26,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
4,0.823331271992205,2,5,3,31,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
5,0.90312900632769,1,-1,3,30,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
6,0.5,1,15,3,45,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
7,0.770117477768125,2,0,3,45,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
8,0.508763889014831,1,21,3,66,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
9,0.5,1,-6,3,60,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
10,1.38665014198012,2,3,3,63,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
11,0.5,2,4,3,67,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
12,0.827559089473153,1,5,3,72,"2;1","GXeQ7CRj",100,5,3,1,0.6,3
