"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.715381282164348,1,4,1,4,"2;1","GgGXwqdb",100,5,1,0,0.2,1
2,0.5,1,1,1,5,"2;1","GgGXwqdb",100,5,1,0,0.2,1
3,0.580884371070441,2,3,1,8,"2;1","GgGXwqdb",100,5,1,0,0.2,1
4,0.977654390094489,1,3,1,11,"2;1","GgGXwqdb",100,5,1,0,0.2,1
5,0.76390323720137,1,3,1,14,"2;1","GgGXwqdb",100,5,1,0,0.2,1
6,0.929653387479118,2,2,1,16,"2;1","GgGXwqdb",100,5,1,0,0.2,1
7,1.07689755465705,2,0,1,16,"2;1","GgGXwqdb",100,5,1,0,0.2,1
8,1.155550416967,1,5,1,21,"2;1","GgGXwqdb",100,5,1,0,0.2,1
9,0.903317895138708,1,3,1,24,"2;1","GgGXwqdb",100,5,1,0,0.2,1
10,0.894396198915432,2,5,1,29,"2;1","GgGXwqdb",100,5,1,0,0.2,1
11,0.5220287439502,2,7,1,36,"2;1","GgGXwqdb",100,5,1,0,0.2,1
12,0.5,1,1,1,37,"2;1","GgGXwqdb",100,5,1,0,0.2,1
13,0.534347825208782,2,1,1,38,"2;1","GgGXwqdb",100,5,1,0,0.2,1
14,1.18051882826755,2,5,1,43,"2;1","GgGXwqdb",100,5,1,0,0.2,1
15,0.944674917916948,2,3,1,46,"2;1","GgGXwqdb",100,5,1,0,0.2,1
16,1.10365702321143,1,1,1,47,"2;1","GgGXwqdb",100,5,1,0,0.2,1
17,0.786045251144521,1,4,1,51,"2;1","GgGXwqdb",100,5,1,0,0.2,1
18,0.582894289848642,1,5,1,56,"2;1","GgGXwqdb",100,5,1,0,0.2,1
19,0.759293320206136,2,6,1,62,"2;1","GgGXwqdb",100,5,1,0,0.2,1
20,1.1656127519804,1,4,1,66,"2;1","GgGXwqdb",100,5,1,0,0.2,1
1,1.06488550653882,2,3,2,3,"2;1","GgGXwqdb",100,5,1,0,0.2,1
2,0.728244776576912,1,8,2,11,"2;1","GgGXwqdb",100,5,1,0,0.2,1
3,0.597073547742124,1,-7,2,4,"2;1","GgGXwqdb",100,5,1,0,0.2,1
4,1.03063134119717,1,22,2,26,"2;1","GgGXwqdb",100,5,1,0,0.2,1
5,0.507258164539531,1,5,2,31,"2;1","GgGXwqdb",100,5,1,0,0.2,1
6,0.525710661577112,1,-1,2,30,"2;1","GgGXwqdb",100,5,1,0,0.2,1
7,0.560544869596987,1,5,2,35,"2;1","GgGXwqdb",100,5,1,0,0.2,1
8,1.07933903683442,1,0,2,35,"2;1","GgGXwqdb",100,5,1,0,0.2,1
9,0.861482451213316,2,-1,2,34,"2;1","GgGXwqdb",100,5,1,0,0.2,1
10,1.41522044487629,1,-1,2,33,"2;1","GgGXwqdb",100,5,1,0,0.2,1
11,0.86130740439941,1,-13,2,20,"2;1","GgGXwqdb",100,5,1,0,0.2,1
12,0.520116051541741,1,10,2,30,"2;1","GgGXwqdb",100,5,1,0,0.2,1
13,1.00416542271459,1,4,2,34,"2;1","GgGXwqdb",100,5,1,0,0.2,1
14,0.627375321740642,1,8,2,42,"2;1","GgGXwqdb",100,5,1,0,0.2,1
15,0.775368828206318,1,-8,2,34,"2;1","GgGXwqdb",100,5,1,0,0.2,1
16,1.13247760991311,1,6,2,40,"2;1","GgGXwqdb",100,5,1,0,0.2,1
17,0.774035895216723,1,-15,2,25,"2;1","GgGXwqdb",100,5,1,0,0.2,1
18,0.5,1,0,2,25,"2;1","GgGXwqdb",100,5,1,0,0.2,1
19,0.820264998349343,1,13,2,38,"2;1","GgGXwqdb",100,5,1,0,0.2,1
20,0.931051906495885,1,-3,2,35,"2;1","GgGXwqdb",100,5,1,0,0.2,1
21,0.699668007024518,1,-18,2,17,"2;1","GgGXwqdb",100,5,1,0,0.2,1
22,1.07090075779126,1,21,2,38,"2;1","GgGXwqdb",100,5,1,0,0.2,1
23,0.765642491271528,1,15,2,53,"2;1","GgGXwqdb",100,5,1,0,0.2,1
24,0.732594439779842,1,-1,2,52,"2;1","GgGXwqdb",100,5,1,0,0.2,1
25,0.552542929798922,1,32,2,84,"2;1","GgGXwqdb",100,5,1,0,0.2,1
1,0.984617793628303,2,-15,3,-15,"1;2","GgGXwqdb",100,5,1,0,0.2,1
2,0.825135362671137,2,-12,3,-27,"1;2","GgGXwqdb",100,5,1,0,0.2,1
3,1.01700041125385,1,5,3,-22,"1;2","GgGXwqdb",100,5,1,0,0.2,1
4,0.5,2,-17,3,-39,"1;2","GgGXwqdb",100,5,1,0,0.2,1
5,0.5,1,0,3,-39,"1;2","GgGXwqdb",100,5,1,0,0.2,1
6,0.745435130805857,1,5,3,-34,"1;2","GgGXwqdb",100,5,1,0,0.2,1
