"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.748873729558174,1,3,1,3,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
2,1.07841860076803,1,0,1,3,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
3,0.676103254264618,2,6,1,9,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
4,0.5,1,4,1,13,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
5,0.62287411137516,1,6,1,19,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
6,0.7093685826874,1,5,1,24,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
7,0.935158412499456,1,5,1,29,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
8,0.736191082949868,1,5,1,34,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
9,0.932181449099005,1,3,1,37,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
10,0.5,1,0,1,37,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
11,0.5,1,6,1,43,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
12,0.919588116861496,1,1,1,44,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
13,0.710363900338131,1,2,1,46,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
14,0.747796193141246,1,3,1,49,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
15,0.831561803768765,1,3,1,52,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
16,0.5,1,4,1,56,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
17,1.4019753371994,2,4,1,60,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
18,0.5,1,1,1,61,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
19,0.635924306611622,1,3,1,64,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
20,0.605642183056538,2,1,1,65,"2;1","Gk9SU5yr",100,6,8,1,1.6,1
1,0.5,1,0,2,0,"1;2","Gk9SU5yr",100,6,8,1,1.6,1
2,0.701897413105609,1,1,2,1,"1;2","Gk9SU5yr",100,6,8,1,1.6,1
