"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,3,1,3,"1;2","GmrMlISa",100,5,3,0,0.6,2
2,0.5,2,3,1,6,"1;2","GmrMlISa",100,5,3,0,0.6,2
3,0.852130143118617,2,0,1,6,"1;2","GmrMlISa",100,5,3,0,0.6,2
4,0.938355583940896,2,3,1,9,"1;2","GmrMlISa",100,5,3,0,0.6,2
5,0.620182660979744,2,1,1,10,"1;2","GmrMlISa",100,5,3,0,0.6,2
6,1.11985916029691,2,7,1,17,"1;2","GmrMlISa",100,5,3,0,0.6,2
7,0.5,2,2,1,19,"1;2","GmrMlISa",100,5,3,0,0.6,2
8,1.13576450920145,1,1,1,20,"1;2","GmrMlISa",100,5,3,0,0.6,2
9,0.834127148149265,2,0,1,20,"1;2","GmrMlISa",100,5,3,0,0.6,2
10,0.683453440797706,2,1,1,21,"1;2","GmrMlISa",100,5,3,0,0.6,2
11,0.883610458113255,2,3,1,24,"1;2","GmrMlISa",100,5,3,0,0.6,2
12,0.944567666113132,2,7,1,31,"1;2","GmrMlISa",100,5,3,0,0.6,2
13,1.29496461358097,2,5,1,36,"1;2","GmrMlISa",100,5,3,0,0.6,2
14,0.831081234560923,2,5,1,41,"1;2","GmrMlISa",100,5,3,0,0.6,2
15,0.588966034672339,2,2,1,43,"1;2","GmrMlISa",100,5,3,0,0.6,2
16,0.738952419113854,2,6,1,49,"1;2","GmrMlISa",100,5,3,0,0.6,2
17,0.631228302471281,2,1,1,50,"1;2","GmrMlISa",100,5,3,0,0.6,2
18,1.29053675353317,2,1,1,51,"1;2","GmrMlISa",100,5,3,0,0.6,2
19,0.794971923332686,2,2,1,53,"1;2","GmrMlISa",100,5,3,0,0.6,2
20,0.5,2,4,1,57,"1;2","GmrMlISa",100,5,3,0,0.6,2
1,0.826406777158208,1,9,2,9,"2;1","GmrMlISa",100,5,3,0,0.6,2
