"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.62245745750202,2,0,1,0,"1;2","GsJQv9lY",100,4,6,1,1.2,1
2,0.5,2,3,1,3,"1;2","GsJQv9lY",100,4,6,1,1.2,1
3,1.0253285106106,1,4,1,7,"1;2","GsJQv9lY",100,4,6,1,1.2,1
4,0.771177224389569,2,8,1,15,"1;2","GsJQv9lY",100,4,6,1,1.2,1
5,0.845155951502369,1,4,1,19,"1;2","GsJQv9lY",100,4,6,1,1.2,1
6,0.89601875557517,1,5,1,24,"1;2","GsJQv9lY",100,4,6,1,1.2,1
7,0.516893832082076,2,4,1,28,"1;2","GsJQv9lY",100,4,6,1,1.2,1
8,0.807413870032226,1,-1,1,27,"1;2","GsJQv9lY",100,4,6,1,1.2,1
9,0.850143763884406,2,7,1,34,"1;2","GsJQv9lY",100,4,6,1,1.2,1
10,0.5,2,-1,1,33,"1;2","GsJQv9lY",100,4,6,1,1.2,1
11,1.21342118710776,2,3,1,36,"1;2","GsJQv9lY",100,4,6,1,1.2,1
12,0.754742552975083,2,5,1,41,"1;2","GsJQv9lY",100,4,6,1,1.2,1
13,0.705918818173792,2,1,1,42,"1;2","GsJQv9lY",100,4,6,1,1.2,1
14,0.5,1,3,1,45,"1;2","GsJQv9lY",100,4,6,1,1.2,1
15,0.757652020839353,1,7,1,52,"1;2","GsJQv9lY",100,4,6,1,1.2,1
16,0.951334123268606,1,6,1,58,"1;2","GsJQv9lY",100,4,6,1,1.2,1
17,0.5,2,6,1,64,"1;2","GsJQv9lY",100,4,6,1,1.2,1
18,1.28199278768776,2,0,1,64,"1;2","GsJQv9lY",100,4,6,1,1.2,1
19,0.661553393904334,1,4,1,68,"1;2","GsJQv9lY",100,4,6,1,1.2,1
20,0.981112234676069,1,2,1,70,"1;2","GsJQv9lY",100,4,6,1,1.2,1
1,0.643168398011077,2,-1,2,-1,"2;1","GsJQv9lY",100,4,6,1,1.2,1
2,1.17021756906152,2,5,2,4,"2;1","GsJQv9lY",100,4,6,1,1.2,1
3,1.18139514952415,2,5,2,9,"2;1","GsJQv9lY",100,4,6,1,1.2,1
4,0.874472231154124,2,2,2,11,"2;1","GsJQv9lY",100,4,6,1,1.2,1
5,0.642216179581612,1,5,2,16,"2;1","GsJQv9lY",100,4,6,1,1.2,1
6,0.885365511252718,1,-1,2,15,"2;1","GsJQv9lY",100,4,6,1,1.2,1
7,0.744581884424489,1,-20,2,-5,"2;1","GsJQv9lY",100,4,6,1,1.2,1
8,0.5,1,19,2,14,"2;1","GsJQv9lY",100,4,6,1,1.2,1
9,1.55724267320686,2,5,2,19,"2;1","GsJQv9lY",100,4,6,1,1.2,1
10,0.710176496020299,2,6,2,25,"2;1","GsJQv9lY",100,4,6,1,1.2,1
11,0.864859741072411,2,6,2,31,"2;1","GsJQv9lY",100,4,6,1,1.2,1
12,0.5,2,5,2,36,"2;1","GsJQv9lY",100,4,6,1,1.2,1
13,0.583073388310871,2,6,2,42,"2;1","GsJQv9lY",100,4,6,1,1.2,1
14,0.667578550834841,2,9,2,51,"2;1","GsJQv9lY",100,4,6,1,1.2,1
15,0.5,1,12,2,63,"2;1","GsJQv9lY",100,4,6,1,1.2,1
16,0.784521191012081,2,-1,2,62,"2;1","GsJQv9lY",100,4,6,1,1.2,1
