"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
2,0.90604945200051,1,4,1,8,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
3,0.957600430716037,1,-1,1,7,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
4,1.16569284019153,1,3,1,10,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
5,0.653940147790808,1,6,1,16,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
6,0.882749825036423,1,2,1,18,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
7,0.908755047989069,1,3,1,21,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
8,0.524828714874599,1,2,1,23,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
9,0.691157880010799,1,2,1,25,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
10,1.1036035966656,1,4,1,29,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
11,0.931950156008162,1,2,1,31,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
12,0.751863595269356,1,4,1,35,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
13,0.616684869106638,1,3,1,38,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
14,0.700633949779151,1,3,1,41,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
15,0.797323739989182,1,3,1,44,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
16,0.5,1,1,1,45,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
17,0.881297467033524,1,8,1,53,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
18,0.751139775635927,1,4,1,57,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
19,0.589885420208927,1,6,1,63,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
20,0.805993031559545,1,1,1,64,"1;2","GzhiXYRj",0,2,NA,0,0.96,1
1,0.929096976452584,2,10,2,10,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
2,0.549709209646173,2,3,2,13,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
3,1.12571326293656,2,5,2,18,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
4,0.908327823307823,2,4,2,22,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
5,1.27692962276823,2,4,2,26,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
6,0.993959805080687,2,2,2,28,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
7,0.640707192191917,2,4,2,32,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
8,1.06527229075889,2,11,2,43,"2;1","GzhiXYRj",0,2,NA,0,0.96,1
