"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.57666789579697,2,5,1,5,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
2,0.807673547065119,2,7,1,12,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
3,0.808153748743223,2,2,1,14,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
4,1.16866920544823,2,6,1,20,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
5,0.859729471746426,2,-1,1,19,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
6,0.668038713237312,2,5,1,24,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
7,0.5,2,2,1,26,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
8,1.0553536064986,2,3,1,29,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
9,0.877254822712265,2,2,1,31,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
10,0.657550480367815,2,2,1,33,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
11,0.731184946078365,2,3,1,36,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
12,1.16689545457626,2,4,1,40,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
13,1.1798443155237,2,4,1,44,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
14,0.817599814404898,2,6,1,50,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
15,0.926849144653547,2,4,1,54,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
16,0.601310674813645,2,2,1,56,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
17,0.720864945132043,1,4,1,60,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
18,0.565248615953523,2,-1,1,59,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
19,0.922635321193572,1,4,1,63,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
20,0.8087583074348,1,1,1,64,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
1,0.5,2,3,2,3,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
2,0.821751692291798,1,3,2,6,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
3,0.895637532986026,1,11,2,17,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
4,0.934407991183138,1,20,2,37,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
5,0.800840597557182,1,-6,2,31,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
6,0.5,1,-2,2,29,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
7,0.5,1,10,2,39,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
8,0.714905053124576,1,-17,2,22,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
9,0.950718779877248,1,-3,2,19,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
10,0.5,1,-8,2,11,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
11,0.995938660323179,2,-2,2,9,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
12,0.979841186419371,1,-27,2,-18,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
13,1.49217919075845,1,5,2,-13,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
14,0.906557287631583,1,-9,2,-22,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
15,0.5,1,-16,2,-38,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
16,0.677832400788521,1,2,2,-36,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
17,0.666032227817036,1,20,2,-16,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
18,0.878123914295365,1,7,2,-9,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
19,0.720631226964642,1,17,2,8,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
20,0.831088934338321,1,1,2,9,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
21,0.687488019834815,1,17,2,26,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
22,0.811812934647992,2,2,2,28,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
23,1.27834135548074,1,22,2,50,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
24,0.978519619143683,1,-19,2,31,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
25,0.854577860791374,1,-3,2,28,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
1,1.33156619035882,2,6,3,6,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
2,0.780680410033878,2,1,3,7,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
3,1.4457600273241,2,2,3,9,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
4,0.821461501730862,2,3,3,12,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
5,1.13625971788184,2,1,3,13,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
6,1.09683700369429,2,3,3,16,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
7,0.850640605606112,2,3,3,19,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
8,1.3524126811449,2,-1,3,18,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
9,0.864739031645041,2,8,3,26,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
10,0.5,2,4,3,30,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
11,0.861731471756515,1,8,3,38,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
12,0.64302585125216,2,2,3,40,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
13,1.04044520422669,2,4,3,44,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
14,0.751293839454825,1,-2,3,42,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
15,1.04326458178718,1,-14,3,28,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
16,0.5,1,13,3,41,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
17,0.649601807090901,2,5,3,46,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
18,0.70028097713302,1,8,3,54,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
19,1.06040112271088,1,-23,3,31,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
20,0.681169459459972,1,8,3,39,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
21,0.785361781279906,1,-3,3,36,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
22,1.0994017147611,1,25,3,61,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
23,1.0060480397767,1,-7,3,54,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
24,0.698691768290883,1,11,3,65,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
25,0.997055169441775,1,4,3,69,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
1,0.839929833819252,2,-7,4,-7,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
2,0.686500383493663,2,4,4,-3,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
3,0.548139290714053,1,0,4,-3,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
4,0.828696888256329,2,9,4,6,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
5,0.882922106741358,2,8,4,14,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
6,0.669904957458874,2,-11,4,3,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
7,0.602425413135336,2,10,4,13,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
8,0.5,2,-2,4,11,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
9,1.01309979464753,1,2,4,13,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
10,0.5,2,5,4,18,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
11,0.824103707596808,2,12,4,30,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
12,0.722946374431659,2,-8,4,22,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
13,1.13767010770128,1,3,4,25,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
14,0.975810796029,2,16,4,41,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
15,0.773859036562083,2,18,4,59,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
16,0.993578093668128,1,1,4,60,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
17,0.938944257048302,2,4,4,64,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
18,1.15756971438975,2,-8,4,56,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
19,0.965761838627424,2,4,4,60,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
20,1.015086008272,1,3,4,63,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
21,1.12477644495613,2,2,4,65,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
22,1.1079183801316,2,2,4,67,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
23,0.974837270968597,2,-19,4,48,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
24,0.791737567156723,2,8,4,56,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
25,1.06345637677759,2,2,4,58,"1;2","HCw7ZOF3",100,6,2,0,0.4,1
1,0.641185706734222,1,-7,5,-7,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
2,0.5,1,-11,5,-18,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
3,0.5,1,0,5,-18,"2;1","HCw7ZOF3",100,6,2,0,0.4,1
