"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.836562312817386,2,5,1,5,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
2,0.5,2,4,1,9,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
3,0.806214312800564,2,4,1,13,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
4,0.899651601338845,2,4,1,17,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
5,1.10384911319096,1,5,1,22,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
6,1.22076157565234,2,3,1,25,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
7,0.730344385200782,1,5,1,30,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
8,0.967603375989536,2,5,1,35,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
9,0.712256890699542,2,8,1,43,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
10,1.0338836410701,1,1,1,44,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
11,0.720263339220857,1,7,1,51,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
12,0.5,1,3,1,54,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
13,0.696834433827858,2,5,1,59,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
14,0.952243442993956,1,4,1,63,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
15,0.62927319939321,1,9,1,72,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
16,0.957388694173618,1,3,1,75,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
17,1.17678398108566,2,0,1,75,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
18,1.10606956696626,2,4,1,79,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
19,0.528943684481966,1,2,1,81,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
20,0.745345327141658,1,5,1,86,"1;2","HvwYJCq2",0,2,NA,1,0.63,1
1,0.501234969558511,1,-9,2,-9,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
2,0.671087098756203,1,-7,2,-16,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
3,0.76772580925418,1,11,2,-5,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
4,0.551567147327666,2,5,2,0,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
5,0.982874436103459,2,3,2,3,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
6,0.525996914217257,1,8,2,11,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
7,0.60283674128516,1,6,2,17,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
8,0.819703349776952,1,-2,2,15,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
9,0.877415658728131,2,4,2,19,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
10,1.18912986467434,1,-3,2,16,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
11,0.543585133532324,2,3,2,19,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
12,0.696706324532408,2,9,2,28,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
13,0.950832107633928,1,-9,2,19,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
14,1.21893668813177,1,-14,2,5,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
15,0.530700856564429,2,3,2,8,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
16,0.805519132005324,2,2,2,10,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
17,0.814751585637554,2,7,2,17,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
18,1.09818447596346,2,0,2,17,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
19,0.61653231655932,2,5,2,22,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
20,0.877097142758456,1,-10,2,12,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
21,0.796636801282383,2,4,2,16,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
22,1.11639559942597,2,1,2,17,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
23,0.612574873695783,1,-11,2,6,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
24,0.812820272163933,1,4,2,10,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
25,0.953581863325053,1,-4,2,6,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
1,0.871238865559114,1,-14,3,-14,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
2,0.791657387283086,2,6,3,-8,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
3,0.618651905972065,2,2,3,-6,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
4,0.918135762151531,1,15,3,9,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
5,1.15698728196827,1,15,3,24,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
6,0.739417727595698,2,4,3,28,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
7,1.14214438408704,1,-7,3,21,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
8,0.585802894041028,1,8,3,29,"2;1","HvwYJCq2",0,2,NA,1,0.63,1
