"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.557871989864971,1,3,1,3,"1;2","Hz8awCc2",100,4,6,0,1.2,3
2,1.12929771562941,2,4,1,7,"1;2","Hz8awCc2",100,4,6,0,1.2,3
3,0.557575334155937,2,2,1,9,"1;2","Hz8awCc2",100,4,6,0,1.2,3
4,0.872005437447213,2,5,1,14,"1;2","Hz8awCc2",100,4,6,0,1.2,3
5,0.691914860165731,2,6,1,20,"1;2","Hz8awCc2",100,4,6,0,1.2,3
6,0.736973251637981,2,4,1,24,"1;2","Hz8awCc2",100,4,6,0,1.2,3
7,0.681480205078454,2,5,1,29,"1;2","Hz8awCc2",100,4,6,0,1.2,3
8,0.920742027662479,2,3,1,32,"1;2","Hz8awCc2",100,4,6,0,1.2,3
9,0.876679888004991,2,5,1,37,"1;2","Hz8awCc2",100,4,6,0,1.2,3
10,0.709775868707793,2,3,1,40,"1;2","Hz8awCc2",100,4,6,0,1.2,3
11,0.721184122470077,2,4,1,44,"1;2","Hz8awCc2",100,4,6,0,1.2,3
12,0.637166713239836,2,5,1,49,"1;2","Hz8awCc2",100,4,6,0,1.2,3
13,0.552532295493382,2,3,1,52,"1;2","Hz8awCc2",100,4,6,0,1.2,3
14,1.06479731652932,2,4,1,56,"1;2","Hz8awCc2",100,4,6,0,1.2,3
15,0.785806572647463,2,1,1,57,"1;2","Hz8awCc2",100,4,6,0,1.2,3
16,0.663469664560637,2,1,1,58,"1;2","Hz8awCc2",100,4,6,0,1.2,3
17,1.04417446888363,2,5,1,63,"1;2","Hz8awCc2",100,4,6,0,1.2,3
18,0.924982622568248,1,2,1,65,"1;2","Hz8awCc2",100,4,6,0,1.2,3
19,1.4170178028111,2,5,1,70,"1;2","Hz8awCc2",100,4,6,0,1.2,3
20,0.709080913159828,1,3,1,73,"1;2","Hz8awCc2",100,4,6,0,1.2,3
1,0.583767455884452,1,1,2,1,"1;2","Hz8awCc2",100,4,6,0,1.2,3
2,0.599326817782403,2,22,2,23,"1;2","Hz8awCc2",100,4,6,0,1.2,3
3,0.955903030187383,2,13,2,36,"1;2","Hz8awCc2",100,4,6,0,1.2,3
4,0.516335163831176,1,4,2,40,"1;2","Hz8awCc2",100,4,6,0,1.2,3
5,0.717547045578536,1,10,2,50,"1;2","Hz8awCc2",100,4,6,0,1.2,3
6,0.968090068748281,1,0,2,50,"1;2","Hz8awCc2",100,4,6,0,1.2,3
7,1.15995377179236,2,2,2,52,"1;2","Hz8awCc2",100,4,6,0,1.2,3
8,0.943243635055083,1,1,2,53,"1;2","Hz8awCc2",100,4,6,0,1.2,3
9,0.5,2,9,2,62,"1;2","Hz8awCc2",100,4,6,0,1.2,3
10,0.914492849249767,2,2,2,64,"1;2","Hz8awCc2",100,4,6,0,1.2,3
11,0.695899269809798,2,13,2,77,"1;2","Hz8awCc2",100,4,6,0,1.2,3
12,0.87025174914547,2,14,2,91,"1;2","Hz8awCc2",100,4,6,0,1.2,3
13,1.29907844189659,2,-4,2,87,"1;2","Hz8awCc2",100,4,6,0,1.2,3
14,0.852516593710778,2,-2,2,85,"1;2","Hz8awCc2",100,4,6,0,1.2,3
15,0.5,2,27,2,112,"1;2","Hz8awCc2",100,4,6,0,1.2,3
16,0.796225922244188,2,-1,2,111,"1;2","Hz8awCc2",100,4,6,0,1.2,3
17,0.749522911919674,2,12,2,123,"1;2","Hz8awCc2",100,4,6,0,1.2,3
18,0.687618638096756,2,-4,2,119,"1;2","Hz8awCc2",100,4,6,0,1.2,3
19,0.967681394113861,2,5,2,124,"1;2","Hz8awCc2",100,4,6,0,1.2,3
20,0.759025914523277,2,-6,2,118,"1;2","Hz8awCc2",100,4,6,0,1.2,3
21,0.995603346231826,1,9,2,127,"1;2","Hz8awCc2",100,4,6,0,1.2,3
22,0.5,1,2,2,129,"1;2","Hz8awCc2",100,4,6,0,1.2,3
23,0.864265884978485,1,6,2,135,"1;2","Hz8awCc2",100,4,6,0,1.2,3
24,1.31421724711902,1,2,2,137,"1;2","Hz8awCc2",100,4,6,0,1.2,3
25,0.900446055945243,2,17,2,154,"1;2","Hz8awCc2",100,4,6,0,1.2,3
1,0.903647617962131,2,-6,3,-6,"1;2","Hz8awCc2",100,4,6,0,1.2,3
2,0.608491153340965,1,5,3,-1,"1;2","Hz8awCc2",100,4,6,0,1.2,3
3,1.30786182809123,1,5,3,4,"1;2","Hz8awCc2",100,4,6,0,1.2,3
4,0.661930001912587,1,6,3,10,"1;2","Hz8awCc2",100,4,6,0,1.2,3
5,0.669078919865485,2,-3,3,7,"1;2","Hz8awCc2",100,4,6,0,1.2,3
6,0.527414480171101,2,16,3,23,"1;2","Hz8awCc2",100,4,6,0,1.2,3
7,0.867246805429827,2,23,3,46,"1;2","Hz8awCc2",100,4,6,0,1.2,3
8,0.5,2,8,3,54,"1;2","Hz8awCc2",100,4,6,0,1.2,3
9,1.0480649278605,1,4,3,58,"1;2","Hz8awCc2",100,4,6,0,1.2,3
10,0.577030093404322,1,7,3,65,"1;2","Hz8awCc2",100,4,6,0,1.2,3
11,0.925260911603212,2,13,3,78,"1;2","Hz8awCc2",100,4,6,0,1.2,3
12,1.20318276323503,2,-1,3,77,"1;2","Hz8awCc2",100,4,6,0,1.2,3
13,1.10272281165114,2,15,3,92,"1;2","Hz8awCc2",100,4,6,0,1.2,3
14,0.511489676512216,2,0,3,92,"1;2","Hz8awCc2",100,4,6,0,1.2,3
15,0.564417485480234,2,-12,3,80,"1;2","Hz8awCc2",100,4,6,0,1.2,3
