"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.658326067900029,1,6,1,6,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
2,0.925843774229293,1,2,1,8,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
3,0.902120461627116,1,1,1,9,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
4,0.53238306719942,1,2,1,11,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
5,0.803863044852812,1,5,1,16,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
6,0.800360406135433,1,3,1,19,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
7,0.505140754314642,1,2,1,21,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
8,0.783206416417986,1,2,1,23,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
9,1.11461544115981,1,6,1,29,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
10,0.748520717959681,1,5,1,34,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
11,1.03365796700435,1,2,1,36,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
12,0.533480404032087,1,0,1,36,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
13,0.862371510177198,1,-1,1,35,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
14,0.5,1,0,1,35,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
15,0.69709062936427,1,5,1,40,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
16,0.898512949935096,1,6,1,46,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
17,0.731317339065222,1,0,1,46,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
18,1.03973494462967,1,0,1,46,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
19,1.01058501407539,1,4,1,50,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
20,0.680374138808664,1,4,1,54,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
1,1.23436006789442,1,3,2,3,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
2,0.833937245963042,1,2,2,5,"1;2","I2ExpFuQ",100,4,4,0,0.8,2
