"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.999075199583836,2,2,1,2,"2;1","I54KePpA",100,5,4,0,0.8,2
2,0.635660711196669,1,3,1,5,"2;1","I54KePpA",100,5,4,0,0.8,2
3,0.893761375863167,1,2,1,7,"2;1","I54KePpA",100,5,4,0,0.8,2
4,0.5,2,3,1,10,"2;1","I54KePpA",100,5,4,0,0.8,2
5,0.568766003101277,2,3,1,13,"2;1","I54KePpA",100,5,4,0,0.8,2
6,1.03236440141468,1,6,1,19,"2;1","I54KePpA",100,5,4,0,0.8,2
7,0.657330835065763,2,6,1,25,"2;1","I54KePpA",100,5,4,0,0.8,2
8,0.628803200223653,2,4,1,29,"2;1","I54KePpA",100,5,4,0,0.8,2
9,0.999645705595605,2,1,1,30,"2;1","I54KePpA",100,5,4,0,0.8,2
10,0.898411840339821,2,2,1,32,"2;1","I54KePpA",100,5,4,0,0.8,2
11,1.43160676709991,2,3,1,35,"2;1","I54KePpA",100,5,4,0,0.8,2
12,0.721075015306449,1,2,1,37,"2;1","I54KePpA",100,5,4,0,0.8,2
13,0.631040983478314,1,6,1,43,"2;1","I54KePpA",100,5,4,0,0.8,2
14,1.25403418032123,2,5,1,48,"2;1","I54KePpA",100,5,4,0,0.8,2
15,0.501287168213756,1,3,1,51,"2;1","I54KePpA",100,5,4,0,0.8,2
16,0.905279125635905,1,2,1,53,"2;1","I54KePpA",100,5,4,0,0.8,2
17,0.98507476562495,1,4,1,57,"2;1","I54KePpA",100,5,4,0,0.8,2
18,0.524897305418702,2,-1,1,56,"2;1","I54KePpA",100,5,4,0,0.8,2
19,0.653562360940334,2,0,1,56,"2;1","I54KePpA",100,5,4,0,0.8,2
20,1.29222037990108,2,7,1,63,"2;1","I54KePpA",100,5,4,0,0.8,2
1,1.17229169237907,1,19,2,19,"2;1","I54KePpA",100,5,4,0,0.8,2
2,0.685565210668344,1,18,2,37,"2;1","I54KePpA",100,5,4,0,0.8,2
3,1.0822847372799,1,11,2,48,"2;1","I54KePpA",100,5,4,0,0.8,2
4,0.699476505740551,2,5,2,53,"2;1","I54KePpA",100,5,4,0,0.8,2
5,0.792016695839736,2,2,2,55,"2;1","I54KePpA",100,5,4,0,0.8,2
6,0.5,1,13,2,68,"2;1","I54KePpA",100,5,4,0,0.8,2
7,1.03563025902518,2,4,2,72,"2;1","I54KePpA",100,5,4,0,0.8,2
8,0.508053439584284,1,14,2,86,"2;1","I54KePpA",100,5,4,0,0.8,2
9,0.725902537250306,1,-9,2,77,"2;1","I54KePpA",100,5,4,0,0.8,2
10,1.25715744861228,1,15,2,92,"2;1","I54KePpA",100,5,4,0,0.8,2
11,0.565535791721969,1,17,2,109,"2;1","I54KePpA",100,5,4,0,0.8,2
12,0.630428562330048,2,2,2,111,"2;1","I54KePpA",100,5,4,0,0.8,2
13,0.563565331196814,2,6,2,117,"2;1","I54KePpA",100,5,4,0,0.8,2
14,0.577375418199653,1,-4,2,113,"2;1","I54KePpA",100,5,4,0,0.8,2
15,0.644130042801607,2,1,2,114,"2;1","I54KePpA",100,5,4,0,0.8,2
16,1.12002391034608,2,-1,2,113,"2;1","I54KePpA",100,5,4,0,0.8,2
17,1.07854204415402,1,-1,2,112,"2;1","I54KePpA",100,5,4,0,0.8,2
18,0.822199409478551,1,-8,2,104,"2;1","I54KePpA",100,5,4,0,0.8,2
19,0.841832312727645,2,2,2,106,"2;1","I54KePpA",100,5,4,0,0.8,2
20,0.715514092250471,2,5,2,111,"2;1","I54KePpA",100,5,4,0,0.8,2
21,0.613999427427512,1,-1,2,110,"2;1","I54KePpA",100,5,4,0,0.8,2
22,0.5,2,3,2,113,"2;1","I54KePpA",100,5,4,0,0.8,2
23,0.827854180827484,1,16,2,129,"2;1","I54KePpA",100,5,4,0,0.8,2
24,0.5,2,11,2,140,"2;1","I54KePpA",100,5,4,0,0.8,2
25,0.5,1,3,2,143,"2;1","I54KePpA",100,5,4,0,0.8,2
1,0.962002410378302,2,4,3,4,"2;1","I54KePpA",100,5,4,0,0.8,2
2,0.5,1,4,3,8,"2;1","I54KePpA",100,5,4,0,0.8,2
3,0.60001432320083,1,-13,3,-5,"2;1","I54KePpA",100,5,4,0,0.8,2
4,0.825137418339535,2,4,3,-1,"2;1","I54KePpA",100,5,4,0,0.8,2
5,0.741177631839716,1,-6,3,-7,"2;1","I54KePpA",100,5,4,0,0.8,2
6,0.5,1,6,3,-1,"2;1","I54KePpA",100,5,4,0,0.8,2
7,1.12519911493962,1,4,3,3,"2;1","I54KePpA",100,5,4,0,0.8,2
8,0.5,1,-1,3,2,"2;1","I54KePpA",100,5,4,0,0.8,2
9,0.846077005789705,1,3,3,5,"2;1","I54KePpA",100,5,4,0,0.8,2
10,0.915841611304516,2,-2,3,3,"2;1","I54KePpA",100,5,4,0,0.8,2
11,0.848765232524283,2,1,3,4,"2;1","I54KePpA",100,5,4,0,0.8,2
12,0.646104355303826,1,3,3,7,"2;1","I54KePpA",100,5,4,0,0.8,2
13,0.87748514836195,1,11,3,18,"2;1","I54KePpA",100,5,4,0,0.8,2
14,0.783593752873097,1,-2,3,16,"2;1","I54KePpA",100,5,4,0,0.8,2
15,0.867404627544483,2,2,3,18,"2;1","I54KePpA",100,5,4,0,0.8,2
16,0.849415146519106,1,-3,3,15,"2;1","I54KePpA",100,5,4,0,0.8,2
17,0.607440088744415,2,3,3,18,"2;1","I54KePpA",100,5,4,0,0.8,2
18,1.07734094836122,2,1,3,19,"2;1","I54KePpA",100,5,4,0,0.8,2
19,0.5,1,16,3,35,"2;1","I54KePpA",100,5,4,0,0.8,2
20,0.68103624849198,1,-3,3,32,"2;1","I54KePpA",100,5,4,0,0.8,2
21,0.564653089720751,2,8,3,40,"2;1","I54KePpA",100,5,4,0,0.8,2
22,0.763256330261052,1,10,3,50,"2;1","I54KePpA",100,5,4,0,0.8,2
23,0.854609517979595,1,3,3,53,"2;1","I54KePpA",100,5,4,0,0.8,2
24,0.5,1,-5,3,48,"2;1","I54KePpA",100,5,4,0,0.8,2
25,0.64426959590473,1,-4,3,44,"2;1","I54KePpA",100,5,4,0,0.8,2
1,0.866012669044727,2,3,4,3,"2;1","I54KePpA",100,5,4,0,0.8,2
2,0.730885947195106,1,-2,4,1,"2;1","I54KePpA",100,5,4,0,0.8,2
3,0.801394487119972,2,-1,4,0,"2;1","I54KePpA",100,5,4,0,0.8,2
4,0.930283250051381,1,7,4,7,"2;1","I54KePpA",100,5,4,0,0.8,2
5,0.669983085852347,2,1,4,8,"2;1","I54KePpA",100,5,4,0,0.8,2
6,0.787839219421014,1,21,4,29,"2;1","I54KePpA",100,5,4,0,0.8,2
7,0.679038582860221,1,6,4,35,"2;1","I54KePpA",100,5,4,0,0.8,2
8,0.724132125703454,1,17,4,52,"2;1","I54KePpA",100,5,4,0,0.8,2
9,0.658768959950785,2,5,4,57,"2;1","I54KePpA",100,5,4,0,0.8,2
10,0.85906425941899,2,6,4,63,"2;1","I54KePpA",100,5,4,0,0.8,2
11,0.68227904653612,1,12,4,75,"2;1","I54KePpA",100,5,4,0,0.8,2
12,0.788725079401935,1,-3,4,72,"2;1","I54KePpA",100,5,4,0,0.8,2
13,0.900629154077877,1,17,4,89,"2;1","I54KePpA",100,5,4,0,0.8,2
14,0.964941192481419,2,5,4,94,"2;1","I54KePpA",100,5,4,0,0.8,2
15,1.00016278026517,1,-9,4,85,"2;1","I54KePpA",100,5,4,0,0.8,2
16,0.636482848037141,2,3,4,88,"2;1","I54KePpA",100,5,4,0,0.8,2
17,0.947038755597203,1,-1,4,87,"2;1","I54KePpA",100,5,4,0,0.8,2
18,0.5,2,1,4,88,"2;1","I54KePpA",100,5,4,0,0.8,2
19,0.5,1,-3,4,85,"2;1","I54KePpA",100,5,4,0,0.8,2
20,1.13345869558134,2,4,4,89,"2;1","I54KePpA",100,5,4,0,0.8,2
21,0.5,1,-5,4,84,"2;1","I54KePpA",100,5,4,0,0.8,2
22,0.961839654226308,2,5,4,89,"2;1","I54KePpA",100,5,4,0,0.8,2
23,1.02016463527136,1,5,4,94,"2;1","I54KePpA",100,5,4,0,0.8,2
24,0.665873421775476,2,2,4,96,"2;1","I54KePpA",100,5,4,0,0.8,2
25,1.04838106782487,1,3,4,99,"2;1","I54KePpA",100,5,4,0,0.8,2
1,0.712379076073311,1,5,5,5,"1;2","I54KePpA",100,5,4,0,0.8,2
2,0.697890772586035,1,13,5,18,"1;2","I54KePpA",100,5,4,0,0.8,2
3,0.814963514241277,2,14,5,32,"1;2","I54KePpA",100,5,4,0,0.8,2
4,0.917792747870738,1,3,5,35,"1;2","I54KePpA",100,5,4,0,0.8,2
5,1.0734006719945,1,0,5,35,"1;2","I54KePpA",100,5,4,0,0.8,2
6,0.5,1,3,5,38,"1;2","I54KePpA",100,5,4,0,0.8,2
